label,depth,width,float32_seconds,float64_seconds,speedup_float32_over_float64,float32_outer_avg,float64_outer_avg,float32_newton_avg_per_call,float64_newton_avg_per_call,baseline_updater,new_updater,baseline_meta,new_meta
1H/64,1,64,4.199441218748689,2.574875337071717,1.6309299166011328,9.0,9.0,7.0,1.8885802469135802,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-170020_double_diode_exponential/codex_cpu_rerun/20260319-150015_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-170020_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160846_double_diode_exponential/validation_metadata.json
1H/128,1,128,1.917005643248558,2.0038081044331193,0.9566812505685929,8.969444444444445,8.969444444444445,1.001238773614122,1.0,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_128/20260311-162256_double_diode_exponential/codex_cpu_rerun/20260319-150024_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_128/20260311-162256_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160852_double_diode_exponential/validation_metadata.json
1H/256,1,256,4.542832791805267,2.831394115462899,1.604450884105397,9.0,9.0,7.0,1.9657407407407408,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-170041_double_diode_exponential/codex_cpu_rerun/20260319-150031_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-170041_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160857_double_diode_exponential/validation_metadata.json
1H/512,1,512,4.965651172213256,3.0510037755593657,1.6275467149505125,9.0,9.0,7.0,1.9962962962962962,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-170102_double_diode_exponential/codex_cpu_rerun/20260319-150040_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-170102_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160903_double_diode_exponential/validation_metadata.json
1H/1024,1,1024,5.754299493506551,3.5796652510762215,1.6074965366598255,9.0,9.0,7.0,2.0,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-170123_double_diode_exponential/codex_cpu_rerun/20260319-150049_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-170123_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160910_double_diode_exponential/validation_metadata.json
2H/64,2,64,5.677523140795529,5.844131239689887,0.9714913830540194,16.747222222222224,16.752777777777776,1.0021562448167192,1.0,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_64/20260311-170549_double_diode_exponential/codex_cpu_rerun/20260319-150100_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_64/20260311-170549_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160917_double_diode_exponential/validation_metadata.json
2H/128,2,128,11.504380335099995,6.143221139907837,1.8726951338874622,15.841666666666667,15.83611111111111,6.880501490443626,1.2117172425890195,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/codex_cpu_rerun/20260319-150110_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160926_double_diode_exponential/validation_metadata.json
2H/256,2,256,10.326773123815656,7.275139237754047,1.419460547260082,18.030555555555555,18.030555555555555,3.3185179479279,1.0,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_256/20260311-170612_double_diode_exponential/codex_cpu_rerun/20260319-150126_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_256/20260311-170612_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160936_double_diode_exponential/validation_metadata.json
2H/512,2,512,19.10831497516483,12.041170606389642,1.5869150599880224,26.53611111111111,26.544444444444444,4.0,1.0,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_512/20260311-170652_double_diode_exponential/codex_cpu_rerun/20260319-150141_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_512/20260311-170652_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-160946_double_diode_exponential/validation_metadata.json
2H/1024,2,1024,29.50315625127405,20.97213969565928,1.40677854903763,31.733333333333334,31.733333333333334,4.0,1.0,overrelaxed,float64_timed_overrelaxed,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_1024/20260311-170758_double_diode_exponential/codex_cpu_rerun/20260319-150205_double_diode_exponential/validation_metadata.json,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_1024/20260311-170758_double_diode_exponential/codex_cpu_rerun_float64_overrelaxed/20260320-161002_double_diode_exponential/validation_metadata.json
