nonlinearity,hidden_layers,hidden_size,mean_absolute_error,p50_relative_error,p90_relative_error,p99_relative_error,error_summary_rel_path
double_diode_exponential,1,64,9.724870035897812e-06,1.2569847308895733e-05,1.467926081686466e-05,1.5838415633435743e-05,hidden_1/hidden_64/20260311-170020_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160846_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,1,128,1.879667619047813e-06,8.724641812327775e-06,9.934930561508936e-06,1.0688027034063576e-05,hidden_1/hidden_128/20260311-162256_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160852_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,1,256,6.377972226630019e-06,1.1343902384029174e-05,1.2588472517029746e-05,1.3449560487660334e-05,hidden_1/hidden_256/20260311-170041_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160857_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,1,512,6.848885097435717e-06,1.1622849389082396e-05,1.2475639727833075e-05,1.3006247051338482e-05,hidden_1/hidden_512/20260311-170102_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160903_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,1,1024,7.88789966157429e-06,1.2147554390522368e-05,1.2757176357624603e-05,1.3242023440878886e-05,hidden_1/hidden_1024/20260311-170123_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160910_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,2,64,1.849843735688956e-06,1.3682753177253173e-05,1.7941899016711597e-05,2.1553584293969404e-05,hidden_2/hidden_64/20260311-170549_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160917_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,2,128,1.4143402955091362e-05,1.1686184042931946e-05,1.2476628413028227e-05,1.299271921062517e-05,hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160926_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,2,256,1.5605815690114975e-06,1.6383733583946808e-05,2.060288584115635e-05,2.2846868758983258e-05,hidden_2/hidden_256/20260311-170612_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160936_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,2,512,1.6931071003909905e-06,2.2132943212802266e-05,2.639117249311723e-05,2.865579674170305e-05,hidden_2/hidden_512/20260311-170652_double_diode_exponential/codex_cpu_rerun_float_64/20260320-160946_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
double_diode_exponential,3,64,2.1024707003877657e-05,1.1901015939756205e-05,1.256087748077624e-05,1.3019392596763691e-05,hidden_3/hidden_64/20260311-185700_double_diode_exponential/codex_cpu_rerun_float_64/20260320-161026_double_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
