depth,width,user_time_seconds,source_rel_path,source_path
1,64,17.07,hidden_1/hidden_64/20260311-170020_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-170020_double_diode_exponential/time_digits_validate_with_residual.log
1,128,3.72,hidden_1/hidden_128/20260311-162256_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_128/20260311-162256_double_diode_exponential/time_digits_validate_with_residual.log
1,256,17.11,hidden_1/hidden_256/20260311-170041_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-170041_double_diode_exponential/time_digits_validate_with_residual.log
1,512,17.48,hidden_1/hidden_512/20260311-170102_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-170102_double_diode_exponential/time_digits_validate_with_residual.log
1,1024,17.89,hidden_1/hidden_1024/20260311-170123_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-170123_double_diode_exponential/time_digits_validate_with_residual.log
2,64,19.02,hidden_2/hidden_64/20260311-170549_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_64/20260311-170549_double_diode_exponential/time_digits_validate_with_residual.log
2,128,44.0,hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/time_digits_validate_with_residual.log
2,256,36.48,hidden_2/hidden_256/20260311-170612_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_256/20260311-170612_double_diode_exponential/time_digits_validate_with_residual.log
2,512,61.9,hidden_2/hidden_512/20260311-170652_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_512/20260311-170652_double_diode_exponential/time_digits_validate_with_residual.log
2,1024,73.62,hidden_2/hidden_1024/20260311-170758_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_1024/20260311-170758_double_diode_exponential/time_digits_validate_with_residual.log
3,64,76.64,hidden_3/hidden_64/20260311-185700_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_64/20260311-185700_double_diode_exponential/time_digits_validate_with_residual.log
3,128,79.19,hidden_3/hidden_128/20260313-155212_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_128/20260313-155212_double_diode_exponential/time_digits_validate_with_residual.log
3,256,69.34,hidden_3/hidden_256/validation/20260317-161243_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/extracted_timings/hidden_3/hidden_256/validation/20260317-161243_double_diode_exponential/time_digits_validate_with_residual.log
3,512,155.48,hidden_3/hidden_512/validation/20260311-185941_double_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_512/validation/20260311-185941_double_diode_exponential/time_digits_validate_with_residual.log
