depth,width,source_rel_path,copied_rel_path,netlist_seconds,simulation_seconds,total_seconds,timestamp
1,64,hidden_1/hidden_64/validation/validation_states_spice_layers.timing.json,hidden_1/hidden_64/validation/validation_states_spice_layers.timing.json,0.03818162903189659,21.012701522093266,22.06463937018998,2026-03-04 18:02:51
1,128,hidden_1/hidden_128/validation_states_spice_layers.timing.json,hidden_1/hidden_128/validation_states_spice_layers.timing.json,0.0796945400070399,72.5132916169241,73.60776480892673,2026-02-23 16:40:58
1,256,hidden_1/hidden_256/validation/validation_states_spice_layers.timing.json,hidden_1/hidden_256/validation/validation_states_spice_layers.timing.json,0.1700953480321914,99.31486064987257,100.49945606896654,2026-03-04 18:06:01
1,512,hidden_1/hidden_512/validation/validation_states_spice_layers.timing.json,hidden_1/hidden_512/validation/validation_states_spice_layers.timing.json,0.30696118995547295,308.2582849350292,309.58070794213563,2026-03-04 18:01:04
1,1024,hidden_1/hidden_1024/validation/validation_states_spice_layers.timing.json,hidden_1/hidden_1024/validation/validation_states_spice_layers.timing.json,0.625414727954194,1105.7011419390328,1107.3490477870218,2026-03-04 17:55:53
2,64,hidden_2/hidden_64/validation/validation_states_spice_layers.timing.json,hidden_2/hidden_64/validation/validation_states_spice_layers.timing.json,0.06797531503252685,67.3464512010105,68.51403796602972,2026-03-04 19:52:34
2,128,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,0.13988216302823275,548.799074987066,549.9558434470091,2026-02-26 18:44:33
2,256,hidden_2/hidden_256/validation_states_spice_layers.timing.json,hidden_2/hidden_256/validation_states_spice_layers.timing.json,0.49637495703063905,4310.639295357047,4312.23443189892,2026-03-04 21:04:27
2,512,hidden_2/hidden_512/20260311-170652_double_diode_exponential/validation_states_spice_layers.timing.json,hidden_2/hidden_512/20260311-170652_double_diode_exponential/validation_states_spice_layers.timing.json,1.648036007070914,51765.679935642285,51768.449848369,2026-03-13 02:53:28
3,64,hidden_3/hidden_64/validation_states_spice_layers.timing.json,hidden_3/hidden_64/validation_states_spice_layers.timing.json,0.07111892616376281,166.515909969341,168.08995010424405,2026-03-16 12:12:09
3,128,hidden_3/hidden_128/excellent_trained_amp4/validation_states_spice_layers.timing.json,hidden_3/hidden_128/excellent_trained_amp4/validation_states_spice_layers.timing.json,0.20745449303649366,1182.2824833269697,1183.5095278018853,2026-02-26 18:29:47
3,256,hidden_3/hidden_256/validation_states_spice_layers.timing.json,hidden_3/hidden_256/validation_states_spice_layers.timing.json,0.6914491853676736,14360.108733910136,14361.823428260162,2026-03-16 16:11:32
