depth,width,coord_user_time_seconds,coord_validation_total_seconds,coord_accuracy,coord_avg_iterations,coord_source_rel_path,coord_metadata_rel_path,spice_netlist_seconds,spice_simulation_seconds,spice_total_seconds,spice_timestamp,spice_source_rel_path,p50_rel_l1_node_weighted,p90_rel_l1_node_weighted,p99_rel_l1_node_weighted,mean_mae_node_weighted,error_summary_rel_path,note
1,64,5.16,5.3059760658070445,0.95,13.780555555555555,hidden_1/hidden_64/20260317-113144_experimental/codex_cpu_rerun/20260320-132051_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_64/20260317-113144_experimental/codex_cpu_rerun/20260320-132051_experimental/validation_metadata.json,0.040092861047014594,20.96885287296027,22.023331308970228,2026-03-04 18:09:41,hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states_spice_layers.timing.json,1.3718252538941466e-05,1.5793165090031604e-05,1.74064423813336e-05,1.0598541010678742e-05,hidden_1/hidden_64/20260317-113144_experimental/codex_cpu_rerun/20260320-132051_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
1,128,1.26,1.3858249364420772,0.9166666666666666,14.147222222222222,hidden_1/hidden_128/20260317-113144_experimental/codex_cpu_rerun/20260320-132213_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_128/20260317-113144_experimental/codex_cpu_rerun/20260320-132213_experimental/validation_metadata.json,0.07591803895775229,37.97930694196839,39.070677741081454,2026-02-25 12:05:05,hidden_1/hidden_128/validation_states_spice_layers.timing.json,1.3638853473937754e-05,1.660018352369205e-05,1.9804689295568125e-05,2.9449136529318327e-06,hidden_1/hidden_128/20260317-113144_experimental/codex_cpu_rerun/20260320-132213_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
1,256,3.66,3.79892931971699,0.9555555555555556,8.047222222222222,hidden_1/hidden_256/20260317-113706_experimental/codex_cpu_rerun/20260320-132218_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_256/20260317-113706_experimental/codex_cpu_rerun/20260320-132218_experimental/validation_metadata.json,0.15656674816273153,93.62051490182057,94.7898937149439,2026-03-04 18:11:17,hidden_1/hidden_256/validation_states_spice_layers.timing.json,1.1690525974367621e-05,1.283148123242519e-05,1.3451782647103764e-05,6.5338893685365266e-06,hidden_1/hidden_256/20260317-113706_experimental/codex_cpu_rerun/20260320-132218_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
1,512,3.85,3.99214134644717,0.9611111111111111,7.233333333333333,hidden_1/hidden_512/20260317-113706_experimental/codex_cpu_rerun/20260320-132225_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_512/20260317-113706_experimental/codex_cpu_rerun/20260320-132225_experimental/validation_metadata.json,0.3647950098384172,309.7582719491329,311.14014074695297,2026-03-04 18:16:29,hidden_1/hidden_512/validation_states_spice_layers.timing.json,1.1685319213222423e-05,1.2566535264304984e-05,1.32615613581839e-05,6.907685247566452e-06,hidden_1/hidden_512/20260317-113706_experimental/codex_cpu_rerun/20260320-132225_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
1,1024,4.59,4.736403568647802,0.95,5.758333333333334,hidden_1/hidden_1024/20260317-113706_experimental/codex_cpu_rerun/20260320-132232_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_1024/20260317-113706_experimental/codex_cpu_rerun/20260320-132232_experimental/validation_metadata.json,0.659197264816612,1093.2722801950295,1094.951770302141,2026-03-04 18:34:45,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,1.2139255119262267e-05,1.2763082553288098e-05,1.3318703719831961e-05,7.87771291769857e-06,hidden_1/hidden_1024/20260317-113706_experimental/codex_cpu_rerun/20260320-132232_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
2,64,4.29,4.44640454929322,0.9388888888888889,33.4,hidden_2/hidden_64/20260313-150228_experimental/codex_cpu_rerun/20260320-133359_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_64/20260313-150228_experimental/codex_cpu_rerun/20260320-133359_experimental/validation_metadata.json,0.06722920690663159,60.15447337599471,61.481018747901544,2026-03-05 11:22:06,hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json,6.832878515778846e-05,8.033726814158354e-05,8.666856688019866e-05,9.118847265822666e-06,hidden_2/hidden_64/20260313-150228_experimental/codex_cpu_rerun/20260320-133359_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
2,128,5.23,5.388705927878618,0.9444444444444444,21.241666666666667,hidden_2/hidden_128/20260313-150244_experimental/codex_cpu_rerun/20260320-133407_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_128/20260313-150244_experimental/codex_cpu_rerun/20260320-133407_experimental/validation_metadata.json,0.14257801603525877,542.5731786359102,543.7305558170192,2026-03-02 15:37:10,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,1.208222131643416e-05,1.3559067219050867e-05,1.6835700707085268e-05,1.4864469352054221e-05,hidden_2/hidden_128/20260313-150244_experimental/codex_cpu_rerun/20260320-133407_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
2,256,5.99,6.1438468135893345,0.9361111111111111,39.95,hidden_2/hidden_256/20260313-150302_experimental/codex_cpu_rerun/20260320-133415_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_256/20260313-150302_experimental/codex_cpu_rerun/20260320-133415_experimental/validation_metadata.json,0.4471110620070249,4299.695159645984,4301.242321081925,2026-03-05 12:33:49,hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json,6.34524779280016e-05,7.390486051092965e-05,8.395839090360541e-05,6.129734739732572e-06,hidden_2/hidden_256/20260313-150302_experimental/codex_cpu_rerun/20260320-133415_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
2,512,11.26,11.82926631718874,0.9333333333333333,61.986111111111114,hidden_2/hidden_512/20260313-150320_experimental/codex_cpu_rerun/20260320-133425_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_512/20260313-150320_experimental/codex_cpu_rerun/20260320-133425_experimental/validation_metadata.json,1.4962918017990887,52006.47794447793,52009.10704533104,2026-03-14 07:04:24,/home/filip/paper_simulation_results_/digits_simulations/experimental/hidden_2/hidden_512/validation/validation_states_spice_layers.timing.json,8.022618742146347e-05,8.959729344029981e-05,0.00010236394229512623,6.176685760666973e-06,hidden_2/hidden_512/20260313-150320_experimental/codex_cpu_rerun/20260320-133425_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,SPICE timing/error sourced from paper_simulation_results_ validation folder; weights match exactly.
2,1024,19.62,22.30694753769785,0.8611111111111112,68.50277777777778,hidden_2/hidden_1024/20260313-150347_experimental/codex_cpu_rerun/20260320-133440_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_1024/20260313-150347_experimental/codex_cpu_rerun/20260320-133440_experimental/validation_metadata.json,,,,,,,,,,,Missing SPICE states/timing.
3,64,6.74,6.900183388963342,0.825,7.425,hidden_3/hidden_64/validation/20260313-151007_experimental/codex_cpu_rerun/20260320-133506_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation/20260313-151007_experimental/codex_cpu_rerun/20260320-133506_experimental/validation_metadata.json,0.0727189730387181,163.99301343597472,165.07923992117867,2026-03-11 16:23:08,hidden_3/hidden_64/validation_states_spice_layers.timing.json,1.2033111895484657e-05,1.2733730329452698e-05,1.3694128176242633e-05,2.1286864220317202e-05,hidden_3/hidden_64/validation/20260313-151007_experimental/codex_cpu_rerun/20260320-133506_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
3,128,12.73,12.899679130874574,0.9611111111111111,26.23611111111111,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/codex_cpu_rerun/20260320-133516_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/codex_cpu_rerun/20260320-133516_experimental/validation_metadata.json,0.20281082205474377,1130.263826085953,1131.4812394059263,2026-03-02 16:08:24,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json,1.2170634006590766e-05,1.4610225998034376e-05,2.0558166512414312e-05,1.2426087131682079e-05,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/codex_cpu_rerun/20260320-133516_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json,
