depth,width,user_time_seconds,validation_total_seconds,validation_accuracy,avg_iterations,source_rel_path,metadata_rel_path
1,64,5.16,5.3059760658070445,0.95,13.780555555555555,hidden_1/hidden_64/20260317-113144_experimental/codex_cpu_rerun/20260320-132051_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_64/20260317-113144_experimental/codex_cpu_rerun/20260320-132051_experimental/validation_metadata.json
1,128,1.26,1.3858249364420772,0.9166666666666666,14.147222222222222,hidden_1/hidden_128/20260317-113144_experimental/codex_cpu_rerun/20260320-132213_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_128/20260317-113144_experimental/codex_cpu_rerun/20260320-132213_experimental/validation_metadata.json
1,256,3.66,3.79892931971699,0.9555555555555556,8.047222222222222,hidden_1/hidden_256/20260317-113706_experimental/codex_cpu_rerun/20260320-132218_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_256/20260317-113706_experimental/codex_cpu_rerun/20260320-132218_experimental/validation_metadata.json
1,512,3.85,3.99214134644717,0.9611111111111111,7.233333333333333,hidden_1/hidden_512/20260317-113706_experimental/codex_cpu_rerun/20260320-132225_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_512/20260317-113706_experimental/codex_cpu_rerun/20260320-132225_experimental/validation_metadata.json
1,1024,4.59,4.736403568647802,0.95,5.758333333333334,hidden_1/hidden_1024/20260317-113706_experimental/codex_cpu_rerun/20260320-132232_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_1024/20260317-113706_experimental/codex_cpu_rerun/20260320-132232_experimental/validation_metadata.json
2,64,4.29,4.44640454929322,0.9388888888888889,33.4,hidden_2/hidden_64/20260313-150228_experimental/codex_cpu_rerun/20260320-133359_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_64/20260313-150228_experimental/codex_cpu_rerun/20260320-133359_experimental/validation_metadata.json
2,128,5.23,5.388705927878618,0.9444444444444444,21.241666666666667,hidden_2/hidden_128/20260313-150244_experimental/codex_cpu_rerun/20260320-133407_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_128/20260313-150244_experimental/codex_cpu_rerun/20260320-133407_experimental/validation_metadata.json
2,256,5.99,6.1438468135893345,0.9361111111111111,39.95,hidden_2/hidden_256/20260313-150302_experimental/codex_cpu_rerun/20260320-133415_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_256/20260313-150302_experimental/codex_cpu_rerun/20260320-133415_experimental/validation_metadata.json
2,512,11.26,11.82926631718874,0.9333333333333333,61.986111111111114,hidden_2/hidden_512/20260313-150320_experimental/codex_cpu_rerun/20260320-133425_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_512/20260313-150320_experimental/codex_cpu_rerun/20260320-133425_experimental/validation_metadata.json
2,1024,19.62,22.30694753769785,0.8611111111111112,68.50277777777778,hidden_2/hidden_1024/20260313-150347_experimental/codex_cpu_rerun/20260320-133440_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_1024/20260313-150347_experimental/codex_cpu_rerun/20260320-133440_experimental/validation_metadata.json
3,64,6.74,6.900183388963342,0.825,7.425,hidden_3/hidden_64/validation/20260313-151007_experimental/codex_cpu_rerun/20260320-133506_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation/20260313-151007_experimental/codex_cpu_rerun/20260320-133506_experimental/validation_metadata.json
3,128,12.73,12.899679130874574,0.9611111111111111,26.23611111111111,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/codex_cpu_rerun/20260320-133516_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/codex_cpu_rerun/20260320-133516_experimental/validation_metadata.json
3,256,5.21,5.3481221543625,0.8277777777777777,13.166666666666666,hidden_3/hidden_256/validation/20260313-151121_experimental/codex_cpu_rerun/20260320-133532_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_256/validation/20260313-151121_experimental/codex_cpu_rerun/20260320-133532_experimental/validation_metadata.json
3,512,18.49,19.389768349006772,0.9194444444444444,69.71666666666667,hidden_3/hidden_512/validation/20260313-171929_experimental/codex_cpu_rerun/20260320-133540_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_512/validation/20260313-171929_experimental/codex_cpu_rerun/20260320-133540_experimental/validation_metadata.json
