num_hidden_layers,hidden_size,p90,run_npz,spice_npz,summary_json
1,64,1.4912187168162295e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260313-144600_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260313-144600_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
1,128,1.66878106160385e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260313-144733_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260313-144733_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
1,256,1.2821976883221957e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260313-144757_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260313-144757_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
1,512,1.2557506139178732e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260313-144824_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260313-144824_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
1,1024,1.2750385360954464e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260313-145623_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260313-145623_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
2,64,7.961957189244209e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
2,128,1.3533619079228063e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
2,256,7.417910452865455e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
3,64,1.272795072927572e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
3,128,1.4852313428213184e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/error_vs_spice_layers/cross_layer_rel_l1_percentiles_node_weighted.json
3,256,1.1902235658402203e-05,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-151121_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/spice_validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-151121_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
