depth,width,user_time_seconds,source_rel_path,source_path
1,64,39.94,hidden_1/hidden_64/20260311-172944_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260311-172944_experimental/time_digits_validate_with_residual.log
1,128,3.19,hidden_1/hidden_128/20260312-143619_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260312-143619_experimental/time_digits_validate_with_residual.log
1,256,25.18,hidden_1/hidden_256/20260311-173028_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260311-173028_experimental/time_digits_validate_with_residual.log
1,512,22.63,hidden_1/hidden_512/20260311-173056_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260311-173056_experimental/time_digits_validate_with_residual.log
1,1024,21.05,hidden_1/hidden_1024/20260311-173123_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260311-173123_experimental/time_digits_validate_with_residual.log
2,64,12.4,hidden_2/hidden_64/20260311-171025_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental/time_digits_validate_with_residual.log
2,128,30.26,hidden_2/hidden_128/20260312-114258_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260312-114258_experimental/time_digits_validate_with_residual.log
2,256,14.66,hidden_2/hidden_256/20260311-171041_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental/time_digits_validate_with_residual.log
2,512,22.69,hidden_2/hidden_512/20260311-171059_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_512/20260311-171059_experimental/time_digits_validate_with_residual.log
2,1024,24.97,hidden_2/hidden_1024/20260311-171126_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_1024/20260311-171126_experimental/time_digits_validate_with_residual.log
3,64,20.85,hidden_3/hidden_64/validation/20260313-125137_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-125137_experimental/time_digits_validate_with_residual.log
3,128,38.66,hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/time_digits_validate_with_residual.log
3,256,13.07,hidden_3/hidden_256/validation/20260313-125843_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-125843_experimental/time_digits_validate_with_residual.log
