depth,width,user_time_seconds,source_rel_path,source_path
1,64,5.10,hidden_1/hidden_64/20260317-113144_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260317-113144_experimental/time_digits_validate_with_residual.log
1,128,1.29,hidden_1/hidden_128/20260317-113144_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260317-113144_experimental/time_digits_validate_with_residual.log
1,256,3.67,hidden_1/hidden_256/20260317-113706_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260317-113706_experimental/time_digits_validate_with_residual.log
1,512,3.84,hidden_1/hidden_512/20260317-113706_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260317-113706_experimental/time_digits_validate_with_residual.log
1,1024,4.54,hidden_1/hidden_1024/20260317-113706_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260317-113706_experimental/time_digits_validate_with_residual.log
2,64,12.45,hidden_2/hidden_64/20260313-150228_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental/time_digits_validate_with_residual.log
2,128,14.69,hidden_2/hidden_128/20260313-150244_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental/time_digits_validate_with_residual.log
2,256,14.37,hidden_2/hidden_256/20260313-150302_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental/time_digits_validate_with_residual.log
2,512,22.35,hidden_2/hidden_512/20260313-150320_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_512/20260313-150320_experimental/time_digits_validate_with_residual.log
2,1024,25.94,hidden_2/hidden_1024/20260313-150347_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_1024/20260313-150347_experimental/time_digits_validate_with_residual.log
3,64,23.85,hidden_3/hidden_64/validation/20260313-151007_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/time_digits_validate_with_residual.log
3,128,41.67,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/time_digits_validate_with_residual.log
3,256,13.40,hidden_3/hidden_256/validation/20260317-161514_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/extracted_timings/hidden_3/hidden_256/validation/20260317-161514_experimental/time_digits_validate_with_residual.log
3,512,36.27,hidden_3/hidden_512/validation/20260313-171929_experimental/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_512/validation/20260313-171929_experimental/time_digits_validate_with_residual.log
