depth,width,status,p90_node_weighted_error,p90_nodewise_abs_error,p90_residual_excl_layer0,mean_node_weighted_error,mean_residual_excl_layer0,num_common_layers,nodes_total_over_layers,samples,coord_run_dir,spice_npz,missing_reason
1,64,ok,1.2488548215594836e-05,3.446584701529698e-05,7.525581979751588,9.933298049940585e-06,2.9222576403414777,2,84,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260313-144600_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/spice_validation/validation_states_spice_layers.npz,
1,128,ok,3.5977953317026606e-06,6.098624706291077e-06,9.610876441001896e-06,2.9605895811513337e-06,3.679565925267525e-05,2,148,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260313-144733_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/spice_validation/validation_states_spice_layers.npz,
1,256,ok,7.377510397218864e-06,2.2748451232912373e-05,5.732611894607545,6.52574536609012e-06,2.2823715846442307,2,276,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260313-144757_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/spice_validation/validation_states_spice_layers.npz,
1,512,ok,7.687047094719347e-06,2.5433616638181894e-05,4.833755493164063,6.902318186770365e-06,2.050959550990309,2,532,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260313-144824_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/spice_validation/validation_states_spice_layers.npz,
1,1024,ok,8.48518074523662e-06,2.9877872467065643e-05,5.171628570556641,7.87010196969388e-06,2.2675809119698696,2,1044,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260313-145623_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/spice_validation/validation_states_spice_layers.npz,
2,64,ok,1.0605166650793586e-05,3.271572206020312e-05,4.76837158203125e-06,9.118499364620147e-06,1.6998535270600029e-06,3,148,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260313-150228_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/spice_validation/validation_states_spice_layers.npz,
2,128,ok,1.5860569933383088e-05,4.1374950408945575e-05,0.5354513227939606,1.4834493242362072e-05,0.15591046715871926,3,276,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260313-150244_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/spice_validation/validation_states_spice_layers.npz,
2,256,ok,7.216012248935788e-06,9.186549025774933e-06,7.152557373046875e-06,6.169970603590182e-06,2.59040973981394e-06,3,532,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260313-150302_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/spice_validation/validation_states_spice_layers.npz,
2,512,missing_inputs,,,,,,,,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_512/20260313-150320_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_512/spice_validation/validation_states_spice_layers.npz,missing_spice_validation_states
2,1024,missing_inputs,,,,,,,,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_1024/20260313-150347_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_1024/spice_validation/validation_states_spice_layers.npz,missing_spice_validation_states
3,64,ok,2.2612772683993353e-05,4.425542831412168e-05,12.684559249877932,2.1291063803155582e-05,3.3338709541342033,4,212,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-151007_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/spice_validation/validation_states_spice_layers.npz,
3,128,ok,1.4139897522386662e-05,3.863281250009454e-05,5.147022151947031,1.2503477076768561e-05,2.0587457758181262,4,404,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_128/spice_validation/validation_states_spice_layers.npz,
3,256,ok,0.03814931637668681,0.06737171455192568,0.23817484229803096,0.02505396545840199,0.06379106943731029,4,788,360,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/validation/20260313-151121_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_256/spice_validation/validation_states_spice_layers.npz,
3,512,missing_inputs,,,,,,,,,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_512/validation/20260313-171929_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_512/spice_validation/validation_states_spice_layers.npz,missing_spice_validation_states
