depth,width,cpu_user_time_seconds,cpu_wall_time_seconds,cpu_validation_total_seconds,cpu_accuracy,cpu_avg_iterations,cpu_rerun_timestamp,cpu_metadata_rel_path,cpu_log_rel_path,cuda_user_time_seconds,cuda_wall_time_seconds,cuda_validation_total_seconds,cuda_accuracy,cuda_avg_iterations,cuda_rerun_timestamp,cuda_metadata_rel_path,cuda_log_rel_path
1,64,2.1,2.16,2.1570780938491225,0.725,5.544444444444444,20260319-151912_single_diode_exponential,hidden_1/hidden_64/20260317-170659_single_diode_exponential/codex_cpu_rerun/20260319-151912_single_diode_exponential/validation_metadata.json,hidden_1/hidden_64/20260317-170659_single_diode_exponential/codex_cpu_rerun/20260319-151912_single_diode_exponential/time_digits_validate_with_residual.log,6.25,6.46,6.462337091565132,0.725,5.538888888888889,20260319-152043_single_diode_exponential,hidden_1/hidden_64/20260317-170659_single_diode_exponential/codex_cuda_rerun/20260319-152043_single_diode_exponential/validation_metadata.json,hidden_1/hidden_64/20260317-170659_single_diode_exponential/codex_cuda_rerun/20260319-152043_single_diode_exponential/time_digits_validate_with_residual.log
1,128,3.57,3.64,3.639927822165191,0.95,9.0,20260319-151919_single_diode_exponential,hidden_1/hidden_128/20260316-172522_single_diode_exponential/codex_cpu_rerun/20260319-151919_single_diode_exponential/validation_metadata.json,hidden_1/hidden_128/20260316-172522_single_diode_exponential/codex_cpu_rerun/20260319-151919_single_diode_exponential/time_digits_validate_with_residual.log,10.28,10.55,10.549685999751091,0.95,9.0,20260319-152054_single_diode_exponential,hidden_1/hidden_128/20260316-172522_single_diode_exponential/codex_cuda_rerun/20260319-152054_single_diode_exponential/validation_metadata.json,hidden_1/hidden_128/20260316-172522_single_diode_exponential/codex_cuda_rerun/20260319-152054_single_diode_exponential/time_digits_validate_with_residual.log
1,256,2.54,2.61,2.6082527805119753,0.9555555555555556,5.872222222222222,20260319-151927_single_diode_exponential,hidden_1/hidden_256/20260311-170349_single_diode_exponential/codex_cpu_rerun/20260319-151927_single_diode_exponential/validation_metadata.json,hidden_1/hidden_256/20260311-170349_single_diode_exponential/codex_cpu_rerun/20260319-151927_single_diode_exponential/time_digits_validate_with_residual.log,7.01,7.21,7.213531114161015,0.9555555555555556,5.877777777777778,20260319-152110_single_diode_exponential,hidden_1/hidden_256/20260311-170349_single_diode_exponential/codex_cuda_rerun/20260319-152110_single_diode_exponential/validation_metadata.json,hidden_1/hidden_256/20260311-170349_single_diode_exponential/codex_cuda_rerun/20260319-152110_single_diode_exponential/time_digits_validate_with_residual.log
1,512,1.96,2.02,2.0182508807629347,0.9638888888888889,5.475,20260319-151934_single_diode_exponential,hidden_1/hidden_512/20260311-170405_single_diode_exponential/codex_cpu_rerun/20260319-151934_single_diode_exponential/validation_metadata.json,hidden_1/hidden_512/20260311-170405_single_diode_exponential/codex_cpu_rerun/20260319-151934_single_diode_exponential/time_digits_validate_with_residual.log,4.74,4.92,4.923665010370314,0.9638888888888889,5.472222222222222,20260319-152121_single_diode_exponential,hidden_1/hidden_512/20260311-170405_single_diode_exponential/codex_cuda_rerun/20260319-152121_single_diode_exponential/validation_metadata.json,hidden_1/hidden_512/20260311-170405_single_diode_exponential/codex_cuda_rerun/20260319-152121_single_diode_exponential/time_digits_validate_with_residual.log
1,1024,2.56,2.62,2.6209905799478292,0.975,5.108333333333333,20260319-151941_single_diode_exponential,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/codex_cpu_rerun/20260319-151941_single_diode_exponential/validation_metadata.json,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/codex_cpu_rerun/20260319-151941_single_diode_exponential/time_digits_validate_with_residual.log,6.11,6.35,6.354337836615741,0.975,5.105555555555555,20260319-152131_single_diode_exponential,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/codex_cuda_rerun/20260319-152131_single_diode_exponential/validation_metadata.json,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/codex_cuda_rerun/20260319-152131_single_diode_exponential/time_digits_validate_with_residual.log
2,64,7.71,7.81,7.80562146473676,0.8555555555555555,15.169444444444444,20260319-114011_single_diode_exponential,hidden_2/hidden_64/20260317-103528_single_diode_exponential/codex_cpu_rerun/20260319-114011_single_diode_exponential/validation_metadata.json,hidden_2/hidden_64/20260317-103528_single_diode_exponential/codex_cpu_rerun/20260319-114011_single_diode_exponential/time_digits_validate_with_residual.log,23.48,23.8,23.800307992845774,0.8555555555555555,15.172222222222222,20260319-114036_single_diode_exponential,hidden_2/hidden_64/20260317-103528_single_diode_exponential/codex_cuda_rerun/20260319-114036_single_diode_exponential/validation_metadata.json,hidden_2/hidden_64/20260317-103528_single_diode_exponential/codex_cuda_rerun/20260319-114036_single_diode_exponential/time_digits_validate_with_residual.log
2,128,7.5,7.58,7.581706562079489,0.9388888888888889,14.877777777777778,20260319-114106_single_diode_exponential,hidden_2/hidden_128/20260314-160910_single_diode_exponential/codex_cpu_rerun/20260319-114106_single_diode_exponential/validation_metadata.json,hidden_2/hidden_128/20260314-160910_single_diode_exponential/codex_cpu_rerun/20260319-114106_single_diode_exponential/time_digits_validate_with_residual.log,21.97,22.31,22.306123829446733,0.9388888888888889,14.869444444444444,20260319-114134_single_diode_exponential,hidden_2/hidden_128/20260314-160910_single_diode_exponential/codex_cuda_rerun/20260319-114134_single_diode_exponential/validation_metadata.json,hidden_2/hidden_128/20260314-160910_single_diode_exponential/codex_cuda_rerun/20260319-114134_single_diode_exponential/time_digits_validate_with_residual.log
2,256,10.25,10.34,10.335061233490705,0.8944444444444445,21.461111111111112,20260319-114203_single_diode_exponential,hidden_2/hidden_256/20260317-094836_single_diode_exponential/codex_cpu_rerun/20260319-114203_single_diode_exponential/validation_metadata.json,hidden_2/hidden_256/20260317-094836_single_diode_exponential/codex_cpu_rerun/20260319-114203_single_diode_exponential/time_digits_validate_with_residual.log,28.18,28.5,28.500414074398577,0.8944444444444445,21.427777777777777,20260319-114243_single_diode_exponential,hidden_2/hidden_256/20260317-094836_single_diode_exponential/codex_cuda_rerun/20260319-114243_single_diode_exponential/validation_metadata.json,hidden_2/hidden_256/20260317-094836_single_diode_exponential/codex_cuda_rerun/20260319-114243_single_diode_exponential/time_digits_validate_with_residual.log
2,512,16.92,17.04,17.040330532938242,0.8361111111111111,31.77777777777778,20260319-114318_single_diode_exponential,hidden_2/hidden_512/20260317-105922_single_diode_exponential/codex_cpu_rerun/20260319-114318_single_diode_exponential/validation_metadata.json,hidden_2/hidden_512/20260317-105922_single_diode_exponential/codex_cpu_rerun/20260319-114318_single_diode_exponential/time_digits_validate_with_residual.log,41.5,41.89,41.88836352247745,0.8361111111111111,31.72222222222222,20260319-114355_single_diode_exponential,hidden_2/hidden_512/20260317-105922_single_diode_exponential/codex_cuda_rerun/20260319-114355_single_diode_exponential/validation_metadata.json,hidden_2/hidden_512/20260317-105922_single_diode_exponential/codex_cuda_rerun/20260319-114355_single_diode_exponential/time_digits_validate_with_residual.log
2,1024,19.57,19.92,19.92255392484367,0.9305555555555556,27.586111111111112,20260319-155124_single_diode_exponential,hidden_2/hidden_1024/20260317-110028_single_diode_exponential/codex_cpu_rerun/20260319-155124_single_diode_exponential/validation_metadata.json,hidden_2/hidden_1024/20260317-110028_single_diode_exponential/codex_cpu_rerun/20260319-155124_single_diode_exponential/time_digits_validate_with_residual.log,36.28,36.64,36.64354731421918,0.9305555555555556,27.583333333333332,20260319-154145_single_diode_exponential,hidden_2/hidden_1024/20260317-110028_single_diode_exponential/codex_cuda_rerun/20260319-154145_single_diode_exponential/validation_metadata.json,hidden_2/hidden_1024/20260317-110028_single_diode_exponential/codex_cuda_rerun/20260319-154145_single_diode_exponential/time_digits_validate_with_residual.log
