depth,width,user_time_seconds,source_rel_path,source_path
1,64,6.31,hidden_1/hidden_64/20260317-170659_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_64/20260317-170659_single_diode_exponential/time_digits_validate_with_residual.log
1,128,10.31,hidden_1/hidden_128/20260316-172522_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_128/20260316-172522_single_diode_exponential/time_digits_validate_with_residual.log
1,256,11.75,hidden_1/hidden_256/20260311-170349_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_256/20260311-170349_single_diode_exponential/time_digits_validate_with_residual.log
1,512,10.68,hidden_1/hidden_512/20260311-170405_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_512/20260311-170405_single_diode_exponential/time_digits_validate_with_residual.log
1,1024,10.96,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_1/hidden_1024/20260311-170419_single_diode_exponential/time_digits_validate_with_residual.log
2,64,23.64,hidden_2/hidden_64/20260317-103528_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_64/20260317-103528_single_diode_exponential/time_digits_validate_with_residual.log
2,128,24.94,hidden_2/hidden_128/20260314-160910_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_128/20260314-160910_single_diode_exponential/time_digits_validate_with_residual.log
2,256,22.35,hidden_2/hidden_256/20260317-094836_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_256/20260317-094836_single_diode_exponential/time_digits_validate_with_residual.log
2,512,41.15,hidden_2/hidden_512/20260317-105922_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_512/20260317-105922_single_diode_exponential/time_digits_validate_with_residual.log
2,1024,36.14,hidden_2/hidden_1024/20260317-110028_single_diode_exponential/time_digits_validate_with_residual.log,/home/filip/server_code/labs/figures_for_paper_digits/timings/single_diode_exponential/hidden_2/hidden_1024/20260317-110028_single_diode_exponential/time_digits_validate_with_residual.log
