nonlinearity,plot_variants,depth,width,p90_rel_l1_node_weighted,mean_mae_node_weighted,status,layers_compared,cd_npz,spice_npz,error
double_diode_exponential,all_hidden_newton,1,64,1.4636218062529553e-05,9.717485464900032e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-170020_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/validation/validation_states_spice_layers.npz,
double_diode_exponential,hidden_1_no_newton,1,64,1.4630043344923876e-05,9.716709775986855e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-163222_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/validation/validation_states_spice_layers.npz,
double_diode_exponential,all_hidden_newton;hidden_1_no_newton,1,128,9.898573083257389e-06,1.8685193673716239e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_128/20260311-162256_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_128/validation_states_spice_layers.npz,
double_diode_exponential,all_hidden_newton,1,256,1.2551161020352704e-05,6.365698320827314e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-170041_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/validation/validation_states_spice_layers.npz,
double_diode_exponential,hidden_1_no_newton,1,256,1.255430319654261e-05,6.366005906453669e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-163230_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/validation/validation_states_spice_layers.npz,
double_diode_exponential,all_hidden_newton,1,512,1.2464083769731423e-05,6.83530804433829e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-170102_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/validation/validation_states_spice_layers.npz,
double_diode_exponential,hidden_1_no_newton,1,512,1.2466420753623632e-05,6.834995144625095e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-163238_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/validation/validation_states_spice_layers.npz,
double_diode_exponential,all_hidden_newton,1,1024,1.2733703089352909e-05,7.877346931209646e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-170123_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/validation/validation_states_spice_layers.npz,
double_diode_exponential,hidden_1_no_newton,1,1024,1.2737786256074457e-05,7.877132596588665e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/validation/validation_states_spice_layers.npz,
double_diode_exponential,all_hidden_newton;hidden_1_no_newton,2,64,1.7463513749644296e-05,1.8147526041955045e-06,ok,Layer_1;Layer_2;Layer_3,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_64/20260311-170549_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_2/hidden_64/validation/validation_states_spice_layers.npz,
