nonlinearity,plot_variant,depth,width,coord_user_time_seconds,spice_total_seconds,validation_accuracy,validation_correct,validation_total,p90_rel_l1_node_weighted,mean_mae_node_weighted,coord_source_rel_path,spice_source_rel_path,error_summary_rel_path
double_diode_exponential,all_hidden_newton,1,64,17.07,22.06463937018998,0.95,342,360,1.4636218062529553e-05,9.717485464900032e-06,hidden_1/hidden_64/20260311-170020_double_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_64/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_64/20260311-170020_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,1,128,3.72,73.60776480892673,0.9166666666666666,330,360,9.898573083257389e-06,1.8685193673716237e-06,hidden_1/hidden_128/20260311-162256_double_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_128/20260311-162256_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,1,256,17.11,100.49945606896654,0.9555555555555556,344,360,1.2551161020352704e-05,6.365698320827313e-06,hidden_1/hidden_256/20260311-170041_double_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_256/20260311-170041_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,1,512,17.48,309.58070794213563,0.9611111111111111,346,360,1.2464083769731423e-05,6.835308044338289e-06,hidden_1/hidden_512/20260311-170102_double_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_512/20260311-170102_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,1,1024,17.89,1107.3490477870218,0.95,342,360,1.2733703089352909e-05,7.877346931209646e-06,hidden_1/hidden_1024/20260311-170123_double_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_1024/20260311-170123_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,2,64,19.02,68.51403796602972,0.9388888888888889,338,360,1.7463513749644296e-05,1.814752604195504e-06,hidden_2/hidden_64/20260311-170549_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_64/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_64/20260311-170549_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,2,128,44.0,549.9558434470091,0.9444444444444444,340,360,1.246081780685235e-05,1.414340493564351e-05,hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,2,256,36.48,4312.23443189892,0.9361111111111111,337,360,2.005530590736902e-05,1.5608299458345693e-06,hidden_2/hidden_256/20260311-170612_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_256/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_256/20260311-170612_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,all_hidden_newton,2,512,61.9,51768.449848369,0.9333333333333333,336,360,,,hidden_2/hidden_512/20260311-170652_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_512/20260311-170652_double_diode_exponential/validation_states_spice_layers.timing.json,
double_diode_exponential,all_hidden_newton,2,1024,73.62,,0.8611111111111112,310,360,,,hidden_2/hidden_1024/20260311-170758_double_diode_exponential/time_digits_validate_with_residual.log,,
