architecture,phase,seed,beta,init_min_cosine,trained_min_cosine,init_max_norm_delta,trained_max_norm_delta,failed_layer_batches,layer_batches,gradient_passed,equilibrium_passed,result,result_sha256
conv3,selection,0,100,0.9673926637228818,0.9994211245704718,0.1842596479603944,0.01602008191749466,7,288,False,False,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv3_baseline_seed0_beta100/result.json,b2f4841e741df20769e66eaf69390faa8723f23d8b8a7a6bdb0e69df3cf47f09
conv3,selection,0,200,0.9407996323627008,0.9989425182448423,0.2618029684534783,0.02372309831624124,16,288,False,False,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv3_baseline_seed0_beta200/result.json,de25bcc4035146ee6de5956f714e0d1656dc97f3e5a7f4a0e323d385659cde7b
conv3,selection,0,300,0.9314210196957116,0.9986845459026813,0.28685105633939145,0.02492302497555784,29,288,False,False,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv3_baseline_seed0_beta300/result.json,2e7241d1badc3e0f2f0e9783ad0a44fddda31ef3099a9a78d241ecbbc530cee3
conv2,selection,0,100,0.9920294361443316,0.9981459576702337,0.06251516649620752,0.012342877562098582,0,216,True,True,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv2_baseline_seed0_beta100/result.json,88f7798b70e984d01ea74a04b0681556ab67a863ccf94713836ca18c4aceb8f8
conv2,selection,0,200,0.9843964357962667,0.9966849693569214,0.08044941198763214,0.026914401799390888,3,216,False,True,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv2_baseline_seed0_beta200/result.json,b60f2a94a60eb52e34a467872f54577af76ef20c678b9bb4de5ca101e06fa853
conv2,selection,0,300,0.9733545459898693,0.9936336897378975,0.09074819844232217,0.03856161224668144,7,216,False,True,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv2_baseline_seed0_beta300/result.json,378a046aeacf8b6a33664e958d5d58bb776f239d67ae1856a65b0f21893f3cc7
conv1,selection,0,100,0.9997107382460938,0.9976162238183232,0.003193783380884773,0.01344189048562237,0,144,True,True,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv1_baseline_seed0_beta100/result.json,b5e84cb96871726a22b58a7519ebb2319e936284f08daea4c26ce68d9a3196c3
conv1,selection,0,200,0.9994814157999954,0.9945161944061491,0.0043952392012233,0.016226906123374837,0,144,True,True,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv1_baseline_seed0_beta200/result.json,1b54c1646882ed6c0270926998804264b8f12440a049d06afcd1cab5d233ef74
conv1,selection,0,300,0.9992843914086615,0.9922382620274695,0.005865026316683501,0.028337776370339535,0,144,True,True,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv1_baseline_seed0_beta300/result.json,8f6267b5fae9fc71496e5a76dcf9ff4f592a854841f1392718c9442dc48e2bd7
conv2,confirmation,0,100,0.991172742293222,0.9937844418638806,0.04637441488127268,0.009351612963309709,0,216,True,True,results/eqprop-beta-selection-audit-20260914-v1/confirmation/confirmation_conv2_baseline_seed0_beta100/result.json,e9dc7c50055cd9f4372607cad0eae148210a33716808ee16557bea5ced5c0fa9
conv2,confirmation,1,100,0.9940655003498763,0.9983929341524329,0.0555683063614808,0.017691986688941036,0,216,True,True,results/eqprop-beta-selection-audit-20260914-v1/confirmation/confirmation_conv2_baseline_seed1_beta100/result.json,0f032cf40a8c92bb612b4fce4db3509752a00b52bfc50cb7415b42acc9b06efe
conv2,confirmation,2,100,0.9965039161124329,0.9972313145010311,0.060712135349853216,0.019173155104996068,0,216,True,True,results/eqprop-beta-selection-audit-20260914-v1/confirmation/confirmation_conv2_baseline_seed2_beta100/result.json,ff4affef48c28bae19d800038b7ebe44257b86f25a377393ea5c0bba4fef1e82
conv1,confirmation,0,300,0.9991694265099987,0.9939255430476396,0.007806717686085234,0.028822041586598172,0,144,True,True,results/eqprop-beta-selection-audit-20260914-v1/confirmation/confirmation_conv1_baseline_seed0_beta300/result.json,a14d0437772a9bd87f271e236ed903e3fb9a205da3d194075d565b2845290261
conv1,confirmation,1,300,0.998935608239323,0.9913132176650765,0.01052795785333447,0.03286564071808725,0,144,True,True,results/eqprop-beta-selection-audit-20260914-v1/confirmation/confirmation_conv1_baseline_seed1_beta300/result.json,49fb0f3dbb73f70dd7b5a97004bb59d1e8d4eabfd35ff23906a9afe91d7e623b
conv1,confirmation,2,300,0.9988434784167932,0.9764620945226339,0.007451952321747621,0.06842976927817909,3,144,False,True,results/eqprop-beta-selection-audit-20260914-v1/confirmation/confirmation_conv1_baseline_seed2_beta300/result.json,b9af7b6a5aeb0a6a16e78c0edf450fe904479c3cff5c5f9b5f514f9faafae69e
