phase,architecture,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,minimum_cosine,fifth_percentile_cosine,median_cosine,maximum_norm_delta,cosine_failures,norm_failures,combined_failures
selection,conv3,0,100.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9879829844450931,0.9895438587851442,0.9989040221425565,0.03811710911904174,1,0,1
selection,conv3,0,100.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9955153410198897,0.9958323224440292,0.997682731061609,0.008896361128071014,0,0,0
selection,conv3,0,100.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9973547953550643,0.9973822405237679,0.9976840064915888,0.0073990410815800425,0,0,0
selection,conv3,0,100.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999921124171502,0.9999923108403937,0.999993464647332,0.0003291005883255897,0,0,0
selection,conv3,0,100.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9673926637228818,0.9804514572431059,0.9979605711480909,0.1842596479603944,6,2,6
selection,conv3,0,100.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9905326901661685,0.9945110215142812,0.9975749759377328,0.027298102787458037,0,0,0
selection,conv3,0,100.0,reconstructed_initialization,selection,ConvWeight_2,32,0.9971066352872162,0.9972549335220751,0.9978432139367961,0.0079238156161072,0,0,0
selection,conv3,0,100.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9999918581227,0.9999926534270401,0.9999938752740403,0.0002899066678987541,0,0,0
selection,conv3,0,100.0,best_validation,historical,ConvWeight_0,4,0.9999921956440352,0.999992990378292,0.9999981009556719,0.0012331884618341112,0,0,0
selection,conv3,0,100.0,best_validation,historical,ConvWeight_1,4,0.9999912479474528,0.999991600145676,0.9999957841540958,0.0007861460358275848,0,0,0
selection,conv3,0,100.0,best_validation,historical,ConvWeight_2,4,0.9999437209172849,0.9999485182491009,0.999976155146085,0.00022741182071480935,0,0,0
selection,conv3,0,100.0,best_validation,historical,DenseWeight_0,4,0.9999999944001239,0.999999994407296,0.9999999945985192,4.092014494112469e-05,0,0,0
selection,conv3,0,100.0,best_validation,selection,ConvWeight_0,32,0.9998845819078287,0.9999203563652175,0.9999915115897393,0.01602008191749466,0,0,0
selection,conv3,0,100.0,best_validation,selection,ConvWeight_1,32,0.9998834249712231,0.9999265715844361,0.9999861838421262,0.007756490252803273,0,0,0
selection,conv3,0,100.0,best_validation,selection,ConvWeight_2,32,0.9994211245704718,0.9996761875902416,0.9999096831601003,0.0029678385761976894,0,0,0
selection,conv3,0,100.0,best_validation,selection,DenseWeight_0,32,0.9999999816747874,0.9999999823974632,0.9999999932408281,5.089415724188594e-05,0,0,0
selection,conv3,0,200.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9626111158955506,0.9670295696903286,0.9939275373540207,0.10170851419929675,1,1,2
selection,conv3,0,200.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9895508468071122,0.9902387772459759,0.9946306087178225,0.03034505792251799,1,0,1
selection,conv3,0,200.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9948165289864448,0.9948595470665226,0.9954121341251609,0.013442971444644403,0,0,0
selection,conv3,0,200.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999347276098585,0.9999357349569818,0.999942406630241,0.0013243382525003923,0,0,0
selection,conv3,0,200.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9407996323627008,0.9674912361793504,0.9972061675299744,0.2618029684534783,9,5,11
selection,conv3,0,200.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9798645536014282,0.9888202122225278,0.9951577445674847,0.038593904615985455,2,0,2
selection,conv3,0,200.0,reconstructed_initialization,selection,ConvWeight_2,32,0.994235081016299,0.9945846728557609,0.9957015704881147,0.015660757787805048,0,0,0
selection,conv3,0,200.0,reconstructed_initialization,selection,DenseWeight_0,32,0.999930523862128,0.9999330593674256,0.9999455825433199,0.001190415049718017,0,0,0
selection,conv3,0,200.0,best_validation,historical,ConvWeight_0,4,0.9999855594229461,0.9999856065211533,0.9999866298584419,0.003840956658375419,0,0,0
selection,conv3,0,200.0,best_validation,historical,ConvWeight_1,4,0.9999709487557092,0.9999732870610534,0.9999869480092176,0.0017241293499868835,0,0,0
selection,conv3,0,200.0,best_validation,historical,ConvWeight_2,4,0.999869689763603,0.9998764833663917,0.9999244322650718,0.0006883069572740375,0,0,0
selection,conv3,0,200.0,best_validation,historical,DenseWeight_0,4,0.999999991720045,0.9999999920439543,0.9999999942528359,4.911432789173883e-05,0,0,0
selection,conv3,0,200.0,best_validation,selection,ConvWeight_0,32,0.999749120092904,0.9997958303587517,0.9999771353925385,0.02372309831624124,0,0,0
selection,conv3,0,200.0,best_validation,selection,ConvWeight_1,32,0.9997968343315555,0.9998244361880568,0.9999592910946585,0.011540253387865363,0,0,0
selection,conv3,0,200.0,best_validation,selection,ConvWeight_2,32,0.9989425182448423,0.9993023983785165,0.9997831219067204,0.00527505903368907,0,0,0
selection,conv3,0,200.0,best_validation,selection,DenseWeight_0,32,0.9999999581917882,0.9999999677645273,0.9999999888453915,5.3716443061650585e-05,0,0,0
selection,conv3,0,300.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9569502237785698,0.9615108321034024,0.9926050877161338,0.20861003249539628,2,1,2
selection,conv3,0,300.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9865216395220942,0.987273641950576,0.9922008497152428,0.02534300868292918,1,0,1
selection,conv3,0,300.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9925477909523391,0.9926062528530729,0.9932616891402619,0.019893193963305272,0,0,0
selection,conv3,0,300.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9997685667793491,0.9997714807181013,0.9997885211770696,0.0030086494889481753,0,0,0
selection,conv3,0,300.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9314210196957116,0.9371890436225527,0.995207315202704,0.28685105633939145,13,8,17
selection,conv3,0,300.0,reconstructed_initialization,selection,ConvWeight_1,32,0.9745929051211342,0.9833278372292446,0.9921709046942188,0.05767641897619872,9,0,9
selection,conv3,0,300.0,reconstructed_initialization,selection,ConvWeight_2,32,0.9913470470561135,0.9920018760780424,0.9934689430403685,0.02316785007018911,0,0,0
selection,conv3,0,300.0,reconstructed_initialization,selection,DenseWeight_0,32,0.9997342931809269,0.999757754928614,0.9997984831484208,0.0028002938907856615,0,0,0
selection,conv3,0,300.0,best_validation,historical,ConvWeight_0,4,0.9999643367625951,0.9999659167887454,0.9999778199423824,0.008003247503329652,0,0,0
selection,conv3,0,300.0,best_validation,historical,ConvWeight_1,4,0.9999218304659373,0.9999300427952179,0.9999783262468234,0.004679542515431386,0,0,0
selection,conv3,0,300.0,best_validation,historical,ConvWeight_2,4,0.999780910936959,0.999791389204395,0.9998641977196916,0.0010185284256312172,0,0,0
