case,architecture,beta,sigma,seed,T,K,epochs,target,status,role,config,config_sha256,pack_directory,collected_result,best_validation_percent,final_validation_percent,best_drop_pp,final_drop_pp,completed_epochs,noise_stream_group
RN_conv1_baseline_beta100_sigma1em5_seed0,conv1,100,1e-05,0,4,4,10,akibscomputer,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta100_sigma1em5_seed0.json,47796ca053d326cd11207e0c0081c6de18b85c21dac0ff3b7b4c25323988f729,production/akibscomputer/RN_conv1_baseline_beta100_sigma1em5_seed0,bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_1e-05/seed0/result.json,96.18,96.04,-0.00,0.00,10,rtx3080_torch2.5.1_cuda12.1
RN_conv1_baseline_beta100_sigma3em5_seed0,conv1,100,3e-05,0,4,4,10,akibscomputer,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta100_sigma3em5_seed0.json,0963558e98af12e3c164d722e78d2872c158f397f5deacdc10fb283978150220,production/akibscomputer/RN_conv1_baseline_beta100_sigma3em5_seed0,bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_3e-05/seed0/result.json,96.18,96.04,-0.00,0.00,10,rtx3080_torch2.5.1_cuda12.1
RN_conv1_baseline_beta100_sigma1em4_seed0,conv1,100,0.0001,0,4,4,10,akibscomputer,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta100_sigma1em4_seed0.json,a0ede87cb303725e4696a552aa62846ab7d4e11d2b86879349f3cfd570ef5bf4,production/akibscomputer/RN_conv1_baseline_beta100_sigma1em4_seed0,bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_0.0001/seed0/result.json,96.20,96.00,-0.02,0.04,10,rtx3080_torch2.5.1_cuda12.1
RN_conv1_baseline_beta100_sigma3em4_seed0,conv1,100,0.0003,0,4,4,10,akibscomputer,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta100_sigma3em4_seed0.json,c184830af0ea77d5566508dae86616b37cdbc03742f4f52e1e6e122051ce7f3c,production/akibscomputer/RN_conv1_baseline_beta100_sigma3em4_seed0,bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_0.0003/seed0/result.json,96.18,96.02,-0.00,0.02,10,rtx3080_torch2.5.1_cuda12.1
RN_conv1_baseline_beta100_sigma5em4_seed0,conv1,100,0.0005,0,4,4,10,akibscomputer,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta100_sigma5em4_seed0.json,12cb5cbc09e8205e1e6fdf317725483e2082839e89ee01d3e61fef703d8edbcf,production/akibscomputer/RN_conv1_baseline_beta100_sigma5em4_seed0,bundles/baseline_read_noise_20260916/conv1/beta_100/sigma_0.0005/seed0/result.json,96.18,96.04,-0.00,0.00,10,rtx3080_torch2.5.1_cuda12.1
RN_conv1_baseline_beta200_sigma0_seed0,conv1,200,0.0,0,4,4,10,nom-cool-1,complete_collected_validated,clean_control,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta200_sigma0_seed0.json,ba834f2039ed57e93856f4198d3a4f6edce163a32a60bd968d6fc4709f2f34f5,production/nom-cool-1/RN_conv1_baseline_beta200_sigma0_seed0,bundles/baseline_read_noise_20260916/conv1/beta_200/sigma_0/seed0/result.json,96.16,96.02,0.00,0.00,10,rtx3090_torch2.5.1_cuda12.1
RN_conv1_baseline_beta200_sigma1em5_seed0,conv1,200,1e-05,0,4,4,10,nom-cool-1,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta200_sigma1em5_seed0.json,85a066b6a146606d3713d6bec79dac7e0b53b12f45410d654966fd91674e1312,production/nom-cool-1/RN_conv1_baseline_beta200_sigma1em5_seed0,bundles/baseline_read_noise_20260916/conv1/beta_200/sigma_1e-05/seed0/result.json,96.16,96.02,0.00,0.00,10,rtx3090_torch2.5.1_cuda12.1
RN_conv1_baseline_beta200_sigma3em5_seed0,conv1,200,3e-05,0,4,4,10,nom-cool-1,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta200_sigma3em5_seed0.json,5a9b048c2906070bf8c255d3279381265622cd9380515e518dab2d71f5f82d77,production/nom-cool-1/RN_conv1_baseline_beta200_sigma3em5_seed0,bundles/baseline_read_noise_20260916/conv1/beta_200/sigma_3e-05/seed0/result.json,96.16,96.02,0.00,0.00,10,rtx3090_torch2.5.1_cuda12.1
RN_conv1_baseline_beta200_sigma1em4_seed0,conv1,200,0.0001,0,4,4,10,nom-cool-1,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta200_sigma1em4_seed0.json,b493d4c3150bcd7295c28ce8b83de0e9ac9cb3ebe47a80993513bf84aaa512f7,production/nom-cool-1/RN_conv1_baseline_beta200_sigma1em4_seed0,bundles/baseline_read_noise_20260916/conv1/beta_200/sigma_0.0001/seed0/result.json,96.16,96.02,0.00,0.00,10,rtx3090_torch2.5.1_cuda12.1
RN_conv1_baseline_beta200_sigma3em4_seed0,conv1,200,0.0003,0,4,4,10,nom-cool-1,complete_collected_validated,noisy_training,configs/conv/eqprop_baseline_read_noise_20260916_v1/RN_conv1_baseline_beta200_sigma3em4_seed0.json,dd255793ce36720f8c9e451cc2da8923436f3165a4ebea9f49cdad08d08314db,production/nom-cool-1/RN_conv1_baseline_beta200_sigma3em4_seed0,bundles/baseline_read_noise_20260916/conv1/beta_200/sigma_0.0003/seed0/result.json,96.18,96.02,-0.02,0.00,10,rtx3090_torch2.5.1_cuda12.1
