audit_phase,model_seed,T,checkpoint_role,cohort,parameter_name,count,min_cosine,p05_cosine,median_cosine,max_norm_delta,failed
reference,0,8,reconstructed_initialization,historical,ConvWeight_0,4,0.9879829844450931,0.9895438587851442,0.9989040221425565,0.03811710911904174,1
reference,0,8,reconstructed_initialization,historical,ConvWeight_1,4,0.9955153410198897,0.9958323224440292,0.997682731061609,0.008896361128071014,0
reference,0,8,reconstructed_initialization,historical,ConvWeight_2,4,0.9973547953550643,0.9973822405237679,0.9976840064915888,0.0073990410815800425,0
reference,0,8,reconstructed_initialization,historical,DenseWeight_0,4,0.9999921124171502,0.9999923108403937,0.999993464647332,0.0003291005883255897,0
reference,0,8,reconstructed_initialization,reference,ConvWeight_0,32,0.9673926637228818,0.9804514572431059,0.9979605711480909,0.1842596479603944,6
reference,0,8,reconstructed_initialization,reference,ConvWeight_1,32,0.9905326901661685,0.9945110215142812,0.9975749759377328,0.027298102787458037,0
reference,0,8,reconstructed_initialization,reference,ConvWeight_2,32,0.9971066352872162,0.9972549335220751,0.9978432139367961,0.0079238156161072,0
reference,0,8,reconstructed_initialization,reference,DenseWeight_0,32,0.9999918581227,0.9999926534270401,0.9999938752740403,0.0002899066678987541,0
reference,0,8,best_validation,historical,ConvWeight_0,4,0.9999921956440352,0.999992990378292,0.9999981009556719,0.0012331884618341112,0
reference,0,8,best_validation,historical,ConvWeight_1,4,0.9999912479474528,0.999991600145676,0.9999957841540958,0.0007861460358275848,0
reference,0,8,best_validation,historical,ConvWeight_2,4,0.9999437209172849,0.9999485182491009,0.999976155146085,0.00022741182071480935,0
reference,0,8,best_validation,historical,DenseWeight_0,4,0.9999999944001239,0.999999994407296,0.9999999945985192,4.092014494112469e-05,0
reference,0,8,best_validation,reference,ConvWeight_0,32,0.9998845819078287,0.9999203563652175,0.9999915115897393,0.01602008191749466,0
reference,0,8,best_validation,reference,ConvWeight_1,32,0.9998834249712231,0.9999265715844361,0.9999861838421262,0.007756490252803273,0
reference,0,8,best_validation,reference,ConvWeight_2,32,0.9994211245704718,0.9996761875902416,0.9999096831601003,0.0029678385761976894,0
reference,0,8,best_validation,reference,DenseWeight_0,32,0.9999999816747874,0.9999999823974632,0.9999999932408281,5.089415724188594e-05,0
selection,0,12,reconstructed_initialization,historical,ConvWeight_0,4,0.98798298734091,0.9895438613279525,0.9989040224646033,0.038117137476744764,1
selection,0,12,reconstructed_initialization,historical,ConvWeight_1,4,0.995515341348067,0.9958323227276948,0.997682731026834,0.008896358231605167,0
selection,0,12,reconstructed_initialization,historical,ConvWeight_2,4,0.9973547953467768,0.9973822405182776,0.9976840064975969,0.007399042563077845,0
selection,0,12,reconstructed_initialization,historical,DenseWeight_0,4,0.9999921124169736,0.99999231084038,0.9999934646478559,0.0003290987695366622,0
selection,0,12,reconstructed_initialization,selection,ConvWeight_0,32,0.9673926605231776,0.98045147606138,0.9979605725792137,0.184259664108321,6
selection,0,12,reconstructed_initialization,selection,ConvWeight_1,32,0.9905326888532118,0.9945110224175412,0.9975749763268977,0.027298109410130677,0
