architecture,scheme,beta,checkpoint_role,replay_count,minimum_matrix_cosine,median_batch_minimum_cosine,maximum_batch_minimum_cosine,batches_all_matrices_above_090,batches_all_matrices_above_095,early_stable
conv1,baseline,100.0,best_validation,36,0.9976162238183232,0.9990663438191126,0.9997446667979923,36,36,True
conv1,baseline,100.0,reconstructed_initialization,36,0.9997107382460938,0.9998609794002482,0.9999518688675844,36,36,True
conv1,baseline,5000.0,best_validation,36,0.8621741417896389,0.9583905420744091,0.9860630337523307,34,22,False
conv1,baseline,5000.0,reconstructed_initialization,36,0.9774409065246222,0.9885194300149156,0.9924836992461334,36,36,False
conv1,legacy,3.0,best_validation,36,0.9987270571941541,0.9999110280730636,0.9999870222337741,36,36,True
conv1,legacy,3.0,reconstructed_initialization,36,0.9999481639089474,0.99998322272596,0.9999981935144957,36,36,True
conv1,legacy,900.0,best_validation,36,0.9354948057922337,0.9714189205616954,0.9886309111799427,36,31,False
conv1,legacy,900.0,reconstructed_initialization,36,0.9849904170346948,0.9926143825975895,0.9953452305997645,36,36,False
conv1,ours,30.0,best_validation,36,0.999077376216964,0.9996931754104901,0.999906524007737,36,36,True
conv1,ours,30.0,reconstructed_initialization,36,0.9996054143352089,0.9998179137830376,0.9998956141514587,36,36,True
conv1,ours,1500.0,best_validation,36,0.9513372625935277,0.975328830012735,0.9877493130670755,36,36,False
conv1,ours,1500.0,reconstructed_initialization,36,0.9749320873001853,0.9869347583035546,0.9917340008391697,36,36,False
conv2,baseline,100.0,best_validation,36,0.9981459576702337,0.999700914337567,0.9999623999915356,36,36,True
conv2,baseline,100.0,reconstructed_initialization,36,0.9920294361443316,0.9979836144258603,0.9989172682107695,36,36,True
conv2,baseline,500.0,best_validation,36,0.9902307998931069,0.9980601330053667,0.9994014937573684,36,36,True
conv2,baseline,500.0,reconstructed_initialization,36,0.95727100297097,0.9908773422464572,0.9941938142568072,36,36,True
conv2,baseline,1000.0,best_validation,36,0.98415527286729,0.9949717173400531,0.9985865609687181,36,36,False
conv2,baseline,1000.0,reconstructed_initialization,36,0.8329702448371428,0.9810294216760174,0.987668936660028,35,31,False
conv2,legacy,0.03,best_validation,36,0.9999307053179113,0.9999997645734879,0.9999999999999231,36,36,True
conv2,legacy,0.03,reconstructed_initialization,36,0.99988306225001,0.9999929165991444,0.9999994464933926,36,36,True
conv2,legacy,30.0,best_validation,36,0.9728637965517674,0.991452473086762,0.9959029695583711,36,36,False
conv2,legacy,30.0,reconstructed_initialization,36,0.9549346039777359,0.9894062297154018,0.9939280273550961,36,36,False
conv2,ours,10.0,best_validation,36,0.9962791995595096,0.9996629048607749,0.9999781936596097,36,36,True
conv2,ours,10.0,reconstructed_initialization,36,0.9919642906368703,0.997927626979005,0.9986597815624725,36,36,True
conv2,ours,30.0,best_validation,36,0.9908668905777185,0.9986899588897569,0.9997001596317685,36,36,True
conv2,ours,30.0,reconstructed_initialization,36,0.9610444888939575,0.9888400180919912,0.9951919879778137,36,36,True
conv2,ours,50.0,best_validation,36,0.9865799947737097,0.9974408998398108,0.9993353118730086,36,36,True
conv2,ours,50.0,reconstructed_initialization,36,0.9290876959546426,0.9826246014422926,0.9921713101640248,36,33,True
conv2,ours,100.0,best_validation,36,0.976663505201289,0.9943313864131749,0.9981079520842199,36,36,False
conv2,ours,100.0,reconstructed_initialization,36,0.8530649780546985,0.9708943528663136,0.9827780378265109,33,31,False
conv3,baseline,100.0,best_validation,36,0.9994211245704722,0.9999448895150266,0.9999973676039423,36,36,True
conv3,baseline,100.0,reconstructed_initialization,36,0.9673926637228818,0.9971855470772425,0.9985785749028638,36,36,True
conv3,baseline,300.0,best_validation,36,0.9986845459026819,0.9996907138123121,0.9999564890640357,36,36,True
conv3,baseline,300.0,reconstructed_initialization,36,0.9314210196957116,0.991237008868002,0.9955427064646969,36,33,True
conv3,baseline,750.0,best_validation,36,0.9944882023184662,0.9989563668326359,0.9997860047019577,36,36,True
conv3,baseline,750.0,reconstructed_initialization,36,0.6966297613989499,0.9735655808366329,0.9871163823044758,27,24,True
conv3,legacy,0.001,best_validation,36,0.999990491048787,0.9999999363809297,0.9999999924665799,36,36,True
conv3,legacy,0.001,reconstructed_initialization,36,0.9999609247113058,0.9999986814937366,0.9999999996355539,36,36,True
conv3,legacy,1.0,best_validation,36,0.9946197089123874,0.9995501970334606,0.9999636726803598,36,36,True
conv3,legacy,1.0,reconstructed_initialization,36,0.9606315461846276,0.9979676077165727,0.9988851082197919,36,36,True
conv3,ours,0.9,best_validation,36,0.9989595483811774,0.999997998060228,0.9999999999980791,36,36,True
conv3,ours,0.9,reconstructed_initialization,36,0.9922298134866206,0.9987756528606988,0.9994745441442743,36,36,True
conv3,ours,3.0,best_validation,36,0.9954844536284092,0.9999384541270439,0.9999992893875915,36,36,True
conv3,ours,3.0,reconstructed_initialization,36,0.939168192826838,0.9964669318022369,0.9981551293517664,36,35,True
conv3,ours,22.5,best_validation,36,0.9874276658328095,0.998567574460929,0.9998911865866813,36,36,True
conv3,ours,22.5,reconstructed_initialization,36,0.45494647289276363,0.9657987093203566,0.9834003443931715,28,21,True
