architecture,scheme,beta,bundle,origin,ten_epoch_complete,epochs_completed,final_validation_pct,best_observed_validation_pct,early_stable,training_state,matrix_minimum_cosine,matrix_maximum_norm_mismatch,matrix_maximum_relative_l2_error,whole_minimum_cosine,whole_maximum_norm_mismatch,whole_maximum_relative_l2_error
conv1,baseline,100.0,paper_ready_results/bundles/table2_wide_ep/conv1/baseline/seed0,historical_control_first10,True,10,96.04,96.17999999999999,True,complete,0.9976162238183232,0.01344189048562237,0.06901190099280663,0.9999248126351354,0.0004959339301709902,0.012269718857803737
conv1,baseline,5000.0,results/eqprop-beta-training-stability-20260918-v1/riri/training/000_conv1_baseline_beta5000_seed0_942fe97d,eqprop-beta-training-stability-20260918-v1,False,0,,,False,failed,0.8621741417896389,0.105063945550498,0.5139790987958273,0.9942680350997355,0.008360874115083135,0.10725542188732243
conv1,legacy,3.0,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0,historical_control_first10,True,10,96.44,96.48,True,complete,0.9987270571941541,0.016483672511936158,0.05264551773584655,0.9999591511909208,0.0004905798978497533,0.009049756868704966
conv1,legacy,900.0,results/eqprop-beta-training-stability-20260918-v1/riri/training/000_conv1_legacy_beta900_seed0_834c6b11,eqprop-beta-training-stability-20260918-v1,False,0,,,False,failed,0.9354948057922337,0.11281892170787744,0.3542621080052492,0.9957895697846538,0.008216787610846755,0.09221531157599894
conv1,ours,30.0,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0,historical_control_first10,True,10,96.34,96.41999999999999,True,complete,0.999077376216964,0.009255352861702003,0.04328833011999537,0.999972466866327,0.0002727757397496115,0.007423767260164384
conv1,ours,1500.0,results/eqprop-beta-training-stability-20260918-v1/riri/training/000_conv1_ours_beta1500_seed0_dd619f34,eqprop-beta-training-stability-20260918-v1,False,0,,,False,failed,0.9513372625935277,0.08459003747481762,0.3086211068701432,0.9945703509405514,0.01711770258689991,0.1065123734413769
conv2,baseline,100.0,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,historical_control_first10,True,10,96.96000000000001,96.96000000000001,True,complete,0.9920294361443316,0.06251516649620752,0.12780896561260469,0.9993319524099612,0.0022183930286603197,0.036558156282538806
conv2,baseline,500.0,results/eqprop-layerwise-beta-training-20260919-v1/fifi/training/000_conv2_baseline_beta500_seed0_df8de344,eqprop-layerwise-beta-training-20260919-v1,True,10,96.96000000000001,96.96000000000001,True,complete,0.95727100297097,0.10271057044057166,0.2898253240562295,0.9956118990732546,0.009639722588080601,0.094631064002483
conv2,baseline,1000.0,results/eqprop-beta-training-stability-20260918-v1/riri/training/000_conv2_baseline_beta1000_seed0_21e66a13,eqprop-beta-training-stability-20260918-v1,False,6,,96.48,False,failed,0.8329702448371428,0.13800896689477557,0.561171918564872,0.9929429932536108,0.01701750656046021,0.11953185132780987
conv2,legacy,0.03,paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,historical_control_first10,True,10,98.0,98.0,True,complete,0.99988306225001,0.005051517145770865,0.01606506952466025,0.9999915727611631,8.072783096128774e-05,0.004105426867721732
conv2,legacy,30.0,results/eqprop-beta-training-stability-20260918-v1/riri/training/000_conv2_legacy_beta30_seed0_c030f32b,eqprop-beta-training-stability-20260918-v1,False,4,,97.18,False,failed,0.9549346039777359,0.1279255137636289,0.29710412398202823,0.9962374596797876,0.006430816761749815,0.08667277526659667
conv2,ours,10.0,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,historical_control_first10,True,10,97.88,97.88,True,complete,0.9919642906368703,0.05349493467483107,0.12654433172406185,0.9994775215745553,0.0013186913781643634,0.03233135381237622
conv2,ours,30.0,results/eqprop-layerwise-beta-training-20260919-v1/local/training/000_conv2_ours_beta30_seed0_14196c39,eqprop-layerwise-beta-training-20260919-v1,True,10,97.84,97.86,True,complete,0.9610444888939575,0.12272410376341163,0.3206273438468239,0.9987127107768794,0.002507775752748663,0.05073857767024695
