architecture,scheme,beta,minimum_cosine,maximum_norm_mismatch,maximum_relative_l2_error,limiting_matrix,limiting_checkpoint,limiting_batch,origin
conv2,baseline,1.0,0.9998642047330549,0.005509908984550918,0.01669821315390886,ConvWeight_0,reconstructed_initialization,1,original_grid
conv2,baseline,3.0,0.9996625643189229,0.008083751067894851,0.02606201363922601,ConvWeight_0,reconstructed_initialization,1,original_grid
conv2,baseline,10.0,0.9992354286305691,0.01717711000813716,0.03928214369045369,ConvWeight_1,best_validation,8,original_grid
conv2,baseline,30.0,0.9977851253608642,0.028067771892599805,0.06723141494855789,ConvWeight_0,reconstructed_initialization,21,original_grid
conv2,baseline,100.0,0.9920294361443316,0.06251516649620752,0.12780896561260469,ConvWeight_0,reconstructed_initialization,21,original_grid
conv2,baseline,200.0,0.9843964357962667,0.08044941198763214,0.17920681321186707,ConvWeight_0,reconstructed_initialization,21,original_grid
conv2,baseline,300.0,0.9733545459898693,0.09074819844232217,0.23417306477934988,ConvWeight_0,reconstructed_initialization,17,original_grid
conv2,baseline,500.0,0.95727100297097,0.10271057044057166,0.2898253240562295,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,baseline,542.235885599,0.9508239900467523,0.10748701258589018,0.3099836436724503,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,baseline,564.673467728,0.9468164852177892,0.1115427936424913,0.3219454430930191,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,baseline,588.039511262,0.9415111496024724,0.11546392721344063,0.33705904846673557,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,baseline,637.712250313,0.9296934853735568,0.12120124104358328,0.3683372440612787,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,baseline,691.580933611,0.9157530541002921,0.1272722179259251,0.4019367786019518,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,baseline,720.198375594,0.9078245862623173,0.1313291709118269,0.4197992640084771,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,baseline,750.0,0.8996477790434496,0.13624479180421356,0.4374155660493344,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,baseline,1000.0,0.8329702448371428,0.13800896689477557,0.561171918564872,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,baseline,2000.0,0.7071213467195258,0.235166484701505,0.7391756075614917,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,baseline,3000.0,0.6534877607793727,0.3182950788778422,0.8038037206067247,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,baseline,5000.0,0.5493063668482809,0.5292634954360097,1.1195476079238778,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,baseline,7500.0,0.5368264479237526,0.8158737418125462,1.8359733386665322,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,baseline,10000.0,0.4484618852345424,1.0192075247081096,2.56474266232907,ConvWeight_0,reconstructed_initialization,22,original_grid
conv2,baseline,30000.0,0.2060589623092259,1.597413057796792,8.474655826441808,ConvWeight_0,reconstructed_initialization,22,original_grid
