architecture,scheme,threshold,previous_beta,beta,multiplier,minimum_cosine,maximum_norm_mismatch,limiting_matrix,limiting_checkpoint,limiting_batch,next_failing_beta,bracket_width,open_upper_edge
conv2,baseline,0.9,500.0,720.198375594,1.440396751188,0.9078245862623173,0.1313291709118269,ConvWeight_0,reconstructed_initialization,11,750.0,0.0413797439926471,False
conv2,baseline,0.95,500.0,542.235885599,1.0844717711979999,0.9508239900467523,0.10748701258589018,ConvWeight_0,reconstructed_initialization,11,564.673467728,0.041379743991332374,False
conv2,ours,0.9,50.0,63.7712250313,1.2754245006259999,0.9029533048271864,0.1843519237425315,ConvWeight_0,reconstructed_initialization,11,66.4100619972,0.0413797439927619,False
conv2,ours,0.95,30.0,34.086580994,1.1362193664666667,0.9530310515465845,0.131888811718808,ConvWeight_0,reconstructed_initialization,26,35.5689330449,0.04348784793526006,False
conv2,legacy,0.9,30.0,43.017663529,1.4339221176333332,0.9029984573460084,0.14870175184699777,ConvWeight_0,reconstructed_initialization,11,45.0,0.046081918644038655,False
conv2,legacy,0.95,30.0,31.3824575593,1.0460819186433334,0.9517883102234617,0.1305187932561745,ConvWeight_0,reconstructed_initialization,11,32.8286214154,0.04608191864411326,False
conv3,baseline,0.9,300.0,404.141105702,1.3471370190066667,0.9019773965148342,0.3082281933772472,ConvWeight_0,reconstructed_initialization,31,421.716332651,0.043487847934873036,False
conv3,baseline,0.95,100.0,147.682614594,1.47682614594,0.9513160014081933,0.22093293922805482,ConvWeight_0,reconstructed_initialization,33,154.221082541,0.044273782428454034,False
conv3,ours,0.9,3.0,5.26875648112,1.7562521603733332,0.9003483459817969,0.41160723434892454,ConvWeight_0,reconstructed_initialization,2,5.50202425923,0.04427378242776814,False
conv3,ours,0.95,0.9,2.49274796756,2.7697199639555556,0.9506040922759803,0.23636377370859962,ConvWeight_0,reconstructed_initialization,2,2.61089310782,0.04739554170638627,False
conv3,legacy,0.9,1.0,4.42250110273,4.42250110273,0.9026334779561918,0.1926071444942353,ConvWeight_0,reconstructed_initialization,34,4.62629843874,0.04608191864196409,False
conv3,legacy,0.95,1.0,2.81845428732,2.81845428732,0.9519083376989829,0.19064490559906916,ConvWeight_0,reconstructed_initialization,1,2.94833406849,0.04608191864395983,False
