architecture,scheme,beta,checkpoint_role,estimator,parameter_name,mean_squared_norm_fraction,minimum_squared_norm_fraction,maximum_squared_norm_fraction
conv1,baseline,100,reconstructed_initialization,bptt,ConvWeight_0,0.001970906684945615,0.0013223404265530932,0.002628493770331272
conv1,baseline,100,reconstructed_initialization,bptt,DenseWeight_0,0.9980290933150544,0.9973715062296685,0.9986776595734467
conv1,baseline,100,reconstructed_initialization,eqprop,ConvWeight_0,0.0019698421992564935,0.0013189508538482906,0.0026341124397613524
conv1,baseline,100,reconstructed_initialization,eqprop,DenseWeight_0,0.9980301578007437,0.9973658875602386,0.998681049146152
conv1,baseline,100,best_validation,bptt,ConvWeight_0,0.028899116542555905,0.012499996112918342,0.05928688038317168
conv1,baseline,100,best_validation,bptt,DenseWeight_0,0.9711008834574444,0.9407131196168282,0.9875000038870817
conv1,baseline,100,best_validation,eqprop,ConvWeight_0,0.028792000795079944,0.012335433193246455,0.05961444255773396
conv1,baseline,100,best_validation,eqprop,DenseWeight_0,0.97120799920492,0.940385557442266,0.9876645668067537
conv1,ours,30,reconstructed_initialization,bptt,ConvWeight_0,0.002035918427101032,0.0013645270704775666,0.0027964585902454115
conv1,ours,30,reconstructed_initialization,bptt,DenseWeight_0,0.997964081572899,0.9972035414097545,0.9986354729295225
conv1,ours,30,reconstructed_initialization,eqprop,ConvWeight_0,0.002034050427714005,0.001358849593828523,0.002805406720373957
conv1,ours,30,reconstructed_initialization,eqprop,DenseWeight_0,0.9979659495722859,0.9971945932796262,0.9986411504061716
conv1,ours,30,best_validation,bptt,ConvWeight_0,0.029494603900115508,0.016085955645759528,0.05221604945571504
conv1,ours,30,best_validation,bptt,DenseWeight_0,0.9705053960998846,0.9477839505442851,0.9839140443542403
conv1,ours,30,best_validation,eqprop,ConvWeight_0,0.02942723425265114,0.01608260107713882,0.052031155051343286
conv1,ours,30,best_validation,eqprop,DenseWeight_0,0.9705727657473489,0.9479688449486567,0.9839173989228612
conv1,legacy,3,reconstructed_initialization,bptt,ConvWeight_0,0.0022723329707691766,0.0015497927051043932,0.0031806139004175132
conv1,legacy,3,reconstructed_initialization,bptt,DenseWeight_0,0.9977276670292308,0.9968193860995825,0.9984502072948958
conv1,legacy,3,reconstructed_initialization,eqprop,ConvWeight_0,0.0022716940677474473,0.001547552117279911,0.003181314831890156
conv1,legacy,3,reconstructed_initialization,eqprop,DenseWeight_0,0.9977283059322526,0.9968186851681097,0.9984524478827201
