architecture,scheme,beta,anchor,factor,checkpoint_role,layerwise_cosine,whole_gradient_cosine,layerwise_norm_delta,whole_gradient_norm_delta,residual_passed,state,result_directory
conv3,baseline,0.1,10,0.01,reconstructed_initialization,0.9999688553092345,0.9999999682950839,0.00648704592638413,5.905686750551311e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta0p1
conv3,baseline,0.1,10,0.01,best_validation,0.9999997447726545,0.9999999817246882,0.0005541741252592839,7.90981471255665e-05,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta0p1
conv3,baseline,0.3,10,0.03,reconstructed_initialization,0.9998480595587995,0.9999998606957947,0.009018781112729257,1.515931087616471e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta0p3
conv3,baseline,0.3,10,0.03,best_validation,0.9999995435824213,0.9999995808636843,0.0005538238363181237,7.909771104139227e-05,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta0p3
conv3,baseline,1.0,10,0.1,reconstructed_initialization,0.9996767737934351,0.999999680690534,0.02212367267060065,2.6566974785821404e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta1
conv3,baseline,1.0,10,0.1,best_validation,0.9999890983366064,0.9999900093893449,0.0006096881664927325,8.359129476169513e-05,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta1
conv3,baseline,3.0,10,0.3,reconstructed_initialization,0.9985630760516941,0.999999007798808,0.026454693185399822,4.706550329843534e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta3
conv3,baseline,3.0,10,0.3,best_validation,0.9999835745219104,0.999984947566089,0.0007964266555067714,9.501247133055334e-05,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta3
conv3,baseline,10.0,10,1,reconstructed_initialization,0.9948864048327192,0.9999960895382034,0.0570058539965755,9.732989455478435e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta10
conv3,baseline,10.0,10,1,best_validation,0.9999435246106909,0.999948920985468,0.0013782719964145031,0.00012555159288743558,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta10
conv3,baseline,20.0,10,2,reconstructed_initialization,0.982515336738483,0.9999893219665774,0.07371705729186359,0.0001190890208082623,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta20
