interpretation,architecture,scheme,injected_beta,seed,training_sigma,epochs,state,existing_bundle,existing_tracker,existing_plan
latest_p99_div10,conv1,baseline,30.0,0,0,10,missing,,,
latest_p99_div10,conv1,baseline,30.0,1,0,10,missing,,,
latest_p99_div10,conv1,baseline,30.0,2,0,10,missing,,,
latest_p99_div10,conv1,baseline,30.0,0,1e-05,10,missing,,,
latest_p99_div10,conv1,baseline,30.0,0,3e-05,10,missing,,,
latest_p99_div10,conv1,baseline,30.0,0,0.0001,10,missing,,,
latest_p99_div10,conv1,baseline,30.0,0,0.0003,10,missing,,,
latest_p99_div10,conv1,baseline,30.0,0,0.0005,10,missing,,,
latest_p99_div10,conv1,ours,30.0,0,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0,current_contract_run_status.csv,
latest_p99_div10,conv1,ours,30.0,1,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed1,current_contract_run_status.csv,
latest_p99_div10,conv1,ours,30.0,2,0,10,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed2,current_contract_run_status.csv,
latest_p99_div10,conv1,ours,30.0,0,1e-05,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_1e-05/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv1,ours,30.0,0,3e-05,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_3e-05/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv1,ours,30.0,0,0.0001,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_0.0001/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv1,ours,30.0,0,0.0003,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_0.0003/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv1,ours,30.0,0,0.0005,10,complete_beta_match,paper_ready_results/bundles/read_noise_20260914/conv1/ours/sigma_0.0005/seed0,read_noise_run_status_20260914.csv,
latest_p99_div10,conv1,legacy,6.0,0,0,10,missing,,,
latest_p99_div10,conv1,legacy,6.0,1,0,10,missing,,,
latest_p99_div10,conv1,legacy,6.0,2,0,10,missing,,,
latest_p99_div10,conv1,legacy,6.0,0,1e-05,10,missing,,,
latest_p99_div10,conv1,legacy,6.0,0,3e-05,10,missing,,,
latest_p99_div10,conv1,legacy,6.0,0,0.0001,10,missing,,,
latest_p99_div10,conv1,legacy,6.0,0,0.0003,10,missing,,,
latest_p99_div10,conv1,legacy,6.0,0,0.0005,10,missing,,,
latest_p99_div10,conv2,baseline,100.0,0,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,current_contract_run_status.csv,
latest_p99_div10,conv2,baseline,100.0,1,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed1,current_contract_run_status.csv,
latest_p99_div10,conv2,baseline,100.0,2,0,30,complete_beta_match,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed2,current_contract_run_status.csv,
latest_p99_div10,conv2,baseline,100.0,0,1e-05,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_1e-05/seed0,baseline_read_noise_run_status_20260916.csv,
latest_p99_div10,conv2,baseline,100.0,0,3e-05,30,complete_beta_match,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_3e-05/seed0,baseline_read_noise_run_status_20260916.csv,
