architecture,scheme,group_status,selected_injected_beta,tested_injected_beta,G_max,gradient_fidelity_passed,equilibrium_residual_passed,combined_gate_passed,minimum_cosine,maximum_symmetric_norm_difference,layer_comparisons,local_evidence,result_sha256
conv1,baseline,qualified,0.1,100.0,0.0001,False,True,False,0.5828345609729056,1.1898880702262906,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em4_decade0/result.json,a4a852ba1a94a23c7406935ed5812f6e14dc907a67906be9e8b572919bb2b331
conv1,baseline,qualified,0.1,100.0,0.0005,False,True,False,0.5828345609729056,1.1898880702262906,16,provenance/bounded_beta_checks/conv1_baseline_gmax_5em4_decade0/result.json,01e0bc4f24fa1beb669b9dd303beaba6acb185ea3d38536dbf20fc2b924ef595
conv1,baseline,qualified,0.1,100.0,0.001,False,True,False,0.5291408698168356,1.1898880702262906,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em3_decade0/result.json,0f8d94e4c1061846aeed287f67cd2d3cd4949bfd90535ebbb40ca97be8998c4e
conv1,baseline,qualified,0.1,10.0,0.0001,False,True,False,0.9709265914590361,0.10407232599338889,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em4_decade1/result.json,5d62d58a637276e76f2b4965fe9115806f918129bd5d1b94a4875e9f38d3a3ad
conv1,baseline,qualified,0.1,10.0,0.0005,False,True,False,0.9340635743547353,0.20124146560215883,16,provenance/bounded_beta_checks/conv1_baseline_gmax_5em4_decade1/result.json,4111839a13c68e4557118cf824001e1d0c0c9960c64e23e56849fdb5ddcc2895
conv1,baseline,qualified,0.1,10.0,0.001,False,True,False,0.823312397015428,0.1989096557657814,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em3_decade1/result.json,5c7a503ab3f6097dc5c56d6a870b6db5e42c5a59a5ef7673354e74500697b161
conv1,baseline,qualified,0.1,1.0,0.0001,True,True,True,0.9923128446655155,0.018314868473698582,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em4_decade2/result.json,b3ac6a35774424221b3937f7ae7056489860eab6f139aa999228fd2bdb26c73a
conv1,baseline,qualified,0.1,1.0,0.0005,False,True,False,0.9725632944352798,0.12155739552106033,16,provenance/bounded_beta_checks/conv1_baseline_gmax_5em4_decade2/result.json,dbc91732adc668342691c6ccb50cb04c8e5c6c1e1878e49150e9f210f0b44a0b
conv1,baseline,qualified,0.1,1.0,0.001,False,True,False,0.9605056306376493,0.12818885147814227,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em3_decade2/result.json,355d37a4d5e8b3e64ce82dc2a4ddc0b1115a94e4eaf8ad19bf3450e4d7cf7a04
conv1,baseline,qualified,0.1,0.1,0.0001,True,True,True,0.9990457187565533,0.00843007427421376,16,provenance/bounded_beta_checks/conv1_baseline_gmax_1em4_decade3/result.json,a6ce503d678ffac68e6f8ad38c0a0f4ca076644a0a95ced3b05170b00ca7dbf6
