architecture,scheme,G_min,G_max,n,at_min_mean_percent,at_min_sd_percent,at_max_mean_percent,at_max_sd_percent
conv1,baseline,1e-05,0.0001,3,34.24776747926189,3.031565977979669,2.3257628660910785,0.045776099038994676
conv1,baseline,1e-05,0.0005,3,25.51792364990689,0.31432028004322077,0.3934685542576604,0.021899440810153808
conv1,baseline,1e-05,0.001,3,22.862969781615035,2.815117652543043,0.21439076519383782,0.026844207318897806
conv1,ours,1e-05,0.0001,3,22.68151134247503,1.153770456114361,0.9468374386321313,0.06980572002928462
conv1,ours,1e-05,0.0005,3,11.816224394785849,0.6836487968502021,0.1099066785170137,0.019307905441525587
conv1,ours,1e-05,0.001,3,12.57485821906213,0.7132995501272134,0.06798078550871847,0.028815628794774673
conv1,legacy,1e-05,0.0001,3,9.781826646351787,0.6162878215390388,0.9232954545454546,0.08840784806820047
conv1,legacy,1e-05,0.0005,3,3.3341004316912137,1.462124966291911,0.05528398510242086,0.011542902765605751
conv1,legacy,1e-05,0.001,3,2.929522177078043,1.284806893022,0.016664550533265616,0.015930405583326507
conv2,baseline,1e-05,0.0001,3,39.216586794462195,1.3944507800213042,5.575079872204473,0.6931236720560523
conv2,baseline,1e-05,0.0005,3,31.870839989350372,4.704546190434898,1.1746206070287541,0.1141949519802354
conv2,baseline,1e-05,0.001,3,28.681443024494143,2.2811642616416834,0.5670926517571885,0.11685575802810749
conv2,ours,1e-05,0.0001,3,26.691793130990416,3.752477278824036,2.7788871139510114,0.5133785392354442
conv2,ours,1e-05,0.0005,3,19.606296592119275,0.10092799701832722,0.31283280085197024,0.011008869080819429
conv2,ours,1e-05,0.001,3,14.169828274760384,0.6262517337632744,0.121305910543131,0.014286230053169117
conv2,legacy,1e-05,0.0001,3,22.3046458998935,1.685033215231731,1.3240481895633653,0.04657934034780564
conv2,legacy,1e-05,0.0005,3,11.475971778487754,1.7738467029058014,0.19202609158679448,0.019744236216981098
conv2,legacy,1e-05,0.001,3,6.817591853035144,0.7846407193871762,0.03960330138445154,0.00802353797340335
conv3,baseline,1e-05,0.0001,3,63.98656080291469,1.9328440311499488,7.628720698425792,0.4492708838934235
conv3,baseline,1e-05,0.0005,3,32.10767254416718,4.989506696632851,1.1505808757819482,0.8940833538538739
conv3,baseline,1e-05,0.001,3,26.921949113219217,9.093669297628097,0.7378561730941088,0.6838527746143005
conv3,ours,1e-05,0.0001,3,38.324160479824016,3.04191704096504,3.3270927854540453,0.5875395285072524
conv3,ours,1e-05,0.0005,3,25.214015346806903,5.689759797976586,1.031516377947343,0.38005362904372486
conv3,ours,1e-05,0.001,3,18.49769282326253,1.4448850313907071,0.7995097786485186,0.7243630859880369
conv3,legacy,1e-05,0.0001,3,28.580205540661307,6.136272858905397,2.548957688870557,0.8008503547859929
conv3,legacy,1e-05,0.0005,3,9.200887640063243,0.3747360667041038,0.1760994534955661,0.004537059136010243
conv3,legacy,1e-05,0.001,3,7.134901096446003,0.7408753140935745,0.047368014023510006,0.005071946612283843
