audit_phase,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,min_cosine,p05_cosine,median_cosine,max_norm_delta,failed
reference,0,100.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9879829844450931,0.9895438587851442,0.9989040221425565,0.03811710911904174,1
reference,0,100.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9955153410198897,0.9958323224440292,0.997682731061609,0.008896361128071014,0
reference,0,100.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9973547953550643,0.9973822405237679,0.9976840064915888,0.0073990410815800425,0
reference,0,100.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999921124171502,0.9999923108403937,0.999993464647332,0.0003291005883255897,0
reference,0,100.0,reconstructed_initialization,reference,ConvWeight_0,32,0.9673926637228818,0.9804514572431059,0.9979605711480909,0.1842596479603944,6
reference,0,100.0,reconstructed_initialization,reference,ConvWeight_1,32,0.9905326901661685,0.9945110215142812,0.9975749759377328,0.027298102787458037,0
reference,0,100.0,reconstructed_initialization,reference,ConvWeight_2,32,0.9971066352872162,0.9972549335220751,0.9978432139367961,0.0079238156161072,0
reference,0,100.0,reconstructed_initialization,reference,DenseWeight_0,32,0.9999918581227,0.9999926534270401,0.9999938752740403,0.0002899066678987541,0
reference,0,100.0,best_validation,historical,ConvWeight_0,4,0.9999921956440352,0.999992990378292,0.9999981009556719,0.0012331884618341112,0
reference,0,100.0,best_validation,historical,ConvWeight_1,4,0.9999912479474528,0.999991600145676,0.9999957841540958,0.0007861460358275848,0
reference,0,100.0,best_validation,historical,ConvWeight_2,4,0.9999437209172849,0.9999485182491009,0.999976155146085,0.00022741182071480935,0
reference,0,100.0,best_validation,historical,DenseWeight_0,4,0.9999999944001239,0.999999994407296,0.9999999945985192,4.092014494112469e-05,0
reference,0,100.0,best_validation,reference,ConvWeight_0,32,0.9998845819078287,0.9999203563652175,0.9999915115897393,0.01602008191749466,0
reference,0,100.0,best_validation,reference,ConvWeight_1,32,0.9998834249712231,0.9999265715844361,0.9999861838421262,0.007756490252803273,0
reference,0,100.0,best_validation,reference,ConvWeight_2,32,0.9994211245704718,0.9996761875902416,0.9999096831601003,0.0029678385761976894,0
reference,0,100.0,best_validation,reference,DenseWeight_0,32,0.9999999816747874,0.9999999823974632,0.9999999932408281,5.089415724188594e-05,0
selection,0,10.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9989407240173004,0.9990340145147754,0.9995719264654623,0.039421251090740975,0
selection,0,10.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9995169511895472,0.9995342849918856,0.9996397966926792,0.00908718827601649,0
selection,0,10.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9997460465555235,0.9997471135702628,0.9997751157521504,0.0005354183768597172,0
selection,0,10.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999999922235879,0.9999999924306008,0.9999999940158772,3.3878793133751623e-06,0
selection,0,10.0,reconstructed_initialization,selection,ConvWeight_0,32,0.9948864048327192,0.9957739920917269,0.9997876492539373,0.0570058539965755,0
