scheme,injected_beta,state_layer_index,state_layer_name,batches,free_rms_pooled,positive_free_rms_pooled,negative_free_rms_pooled,centered_half_difference_rms_pooled
baseline,0.01,0,Layer_1,36,6.826719199606973,1.5452347202426618e-07,1.5449083120836777e-07,4.872437880175922e-10
baseline,0.01,1,Layer_2,36,0.10356550182031002,8.856680367153958e-08,8.84788526204957e-08,2.2805046647687936e-09
baseline,0.01,2,Layer_3,36,0.023221972770939844,2.229246677728139e-07,2.2268252691843082e-07,1.2011388452032317e-07
baseline,0.01,3,Layer_4,36,0.006000413186499233,0.00011277357486964477,0.00011277356245629377,0.0001127735023204372
baseline,0.1,0,Layer_1,36,6.826719199606973,1.5474651878225044e-07,1.5442005059825887e-07,4.872120165809136e-09
baseline,0.1,1,Layer_2,36,0.10356550182031002,9.181023740179374e-08,9.095788242830461e-08,2.2804470065627012e-08
baseline,0.1,2,Layer_3,36,0.023221972770939844,1.215925448632753e-06,1.2154852933665247e-06,1.2011304347435252e-06
baseline,0.1,3,Layer_4,36,0.006000413186499233,0.0011277350358363874,0.0011277350245598719,0.0011277350235637897
legacy,0.01,0,Layer_1,36,6.826719199606973,1.581668622013946e-07,1.57042462935477e-07,3.1101576669236324e-08
legacy,0.01,1,Layer_2,36,0.4142620072812401,6.840829046735962e-07,6.77841366400587e-07,5.817233023102603e-07
legacy,0.01,2,Layer_3,36,0.3715515643350375,0.00012254507206501446,0.00012254203851130144,0.00012250363445439217
legacy,0.01,3,Layer_4,36,0.3840264439359509,0.460138690547127,0.4601386921115606,0.46013869126273904
legacy,0.1,0,Layer_1,36,6.826719199606973,3.4970841356347494e-07,3.4458551002256645e-07,3.108288016713249e-07
legacy,0.1,1,Layer_2,36,0.4142620072812401,5.829938458355171e-06,5.822889704674641e-06,5.813987772016753e-06
legacy,0.1,2,Layer_3,36,0.3715515643350375,0.00122478039084836,0.001224776632419374,0.0012244493932577567
legacy,0.1,3,Layer_4,36,0.3840264439359509,4.601386909046625,4.601386907580246,4.601386908306456
ours,0.01,0,Layer_1,36,2.392819420670006,3.474066413348242e-08,3.4613965021411603e-08,3.2874351435868386e-09
ours,0.01,1,Layer_2,36,0.0444531148034213,8.236006856930932e-08,8.142464633020432e-08,4.719414300711138e-08
ours,0.01,2,Layer_3,36,0.03894924357545823,7.582910145284766e-06,7.58193305995842e-06,7.563490661169446e-06
ours,0.01,3,Layer_4,36,0.04130631136293949,0.007218860551584521,0.007218860585732222,0.007218860428304663
ours,0.1,0,Layer_1,36,2.392819420670006,4.809604908180185e-08,4.7188530776156985e-08,3.285609766777525e-08
ours,0.1,1,Layer_2,36,0.0444531148034213,4.773117612554504e-07,4.757272445663803e-07,4.7174213322992664e-07
ours,0.1,2,Layer_3,36,0.03894924357545823,7.56268063736797e-05,7.56268348955311e-05,7.561262626097099e-05
ours,0.1,3,Layer_4,36,0.04130631136293949,0.07218860269770795,0.07218860499981776,0.07218860383477473
