scheme,training_gpu,training_sigma,readout_sigma,parameter,comparisons,batches,injected_beta,checkpoint_epoch,source_bundle,cosine_defined_count,cosine_min,cosine_p10,cosine_median,cosine_p90,cosine_max,clean_eqprop_bptt_cosine_defined_count,clean_eqprop_bptt_cosine_min,clean_eqprop_bptt_cosine_p10,clean_eqprop_bptt_cosine_median,clean_eqprop_bptt_cosine_p90,clean_eqprop_bptt_cosine_max,noisy_clean_eqprop_cosine_defined_count,noisy_clean_eqprop_cosine_min,noisy_clean_eqprop_cosine_p10,noisy_clean_eqprop_cosine_median,noisy_clean_eqprop_cosine_p90,noisy_clean_eqprop_cosine_max,eqprop_over_bptt_norm_ratio_defined_count,eqprop_over_bptt_norm_ratio_min,eqprop_over_bptt_norm_ratio_p10,eqprop_over_bptt_norm_ratio_median,eqprop_over_bptt_norm_ratio_p90,eqprop_over_bptt_norm_ratio_max,relative_l2_difference_over_bptt_defined_count,relative_l2_difference_over_bptt_min,relative_l2_difference_over_bptt_p10,relative_l2_difference_over_bptt_median,relative_l2_difference_over_bptt_p90,relative_l2_difference_over_bptt_max,bptt_rms_defined_count,bptt_rms_min,bptt_rms_p10,bptt_rms_median,bptt_rms_p90,bptt_rms_max,eqprop_rms_defined_count,eqprop_rms_min,eqprop_rms_p10,eqprop_rms_median,eqprop_rms_p90,eqprop_rms_max,all_endpoint_residual_gates_passed,fraction_cosine_above_0.90,fraction_cosine_above_0.99
baseline,A100,0.0,0.0,ConvWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_0/runs/000_conv3_baseline_p90_sigma0_seed0_da5e36ad,36,0.9969359223143417,0.9991684704454964,0.9999464122520553,0.9999888014491708,0.9999973795749023,36,0.9969359223143417,0.9991684704454964,0.9999464122520553,0.9999888014491708,0.9999973795749023,36,0.9999999999999994,0.9999999999999996,1.0,1.0000000000000004,1.000000000000001,36,0.9090504351261047,0.9768095500869595,0.9988313208102182,1.0079305176478583,1.0186397390143793,36,0.0035866918946705966,0.005244859213501736,0.01195936444315962,0.04724103289406194,0.10764544483312675,36,2.5837016381991243e-05,2.981264310044646e-05,4.149631363655432e-05,7.98477501795411e-05,0.00012632670038684938,36,2.59941645405825e-05,2.9535040022627615e-05,4.1316965212587904e-05,8.0926830798539e-05,0.00012630235258858592,False,1.0,1.0
baseline,A100,0.0,0.0,ConvWeight_1,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_0/runs/000_conv3_baseline_p90_sigma0_seed0_da5e36ad,36,0.9967859980324919,0.9989109016930422,0.9998489847222187,0.9999763000512749,0.9999935755484897,36,0.9967859980324919,0.9989109016930422,0.9998489847222187,0.9999763000512749,0.9999935755484897,36,0.9999999999999963,0.9999999999999978,1.0,1.0000000000000024,1.000000000000004,36,0.9349754597958019,0.9879958149643904,0.9985847903552554,1.0017757441956128,1.0109413705998527,36,0.003604153249782932,0.007250875312618399,0.018013414947926625,0.047355283344300156,0.10118407366516952,36,1.9976000426782195e-05,2.3089064337420396e-05,3.2698771205234105e-05,5.285879875259681e-05,7.467208504773903e-05,36,2.0003915082108512e-05,2.3040570241924592e-05,3.261435821828373e-05,5.253293034798414e-05,7.435816418057878e-05,False,1.0,1.0
baseline,A100,0.0,0.0,ConvWeight_2,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_0/runs/000_conv3_baseline_p90_sigma0_seed0_da5e36ad,36,0.9949121161153459,0.9976962938922008,0.9992883652089968,0.999928641778866,0.999947663148651,36,0.9949121161153459,0.9976962938922008,0.9992883652089968,0.999928641778866,0.999947663148651,36,0.9999999999999921,0.9999999999999953,1.0000000000000002,1.000000000000004,1.0000000000000062,36,0.9673138419278784,0.9945788981834864,0.9987154169950437,1.000531354563642,1.0011677560459937,36,0.010234518890149114,0.0119400822993085,0.037733710899978554,0.0676412351564669,0.10088531331296462,36,0.0001117532789694827,0.00013031388257934873,0.00018176501525201625,0.00024501332915492373,0.0003207635520116171,36,0.0001115454124668808,0.00013036542297169523,0.00018169286562125884,0.0002442720760603146,0.0003191555631640193,False,1.0,1.0
baseline,A100,0.0,0.0,DenseWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_0/runs/000_conv3_baseline_p90_sigma0_seed0_da5e36ad,36,0.9999996974178884,0.9999998426415528,0.9999999642195275,0.9999999926430261,0.9999999970605478,36,0.9999996974178884,0.9999998426415528,0.9999999642195275,0.9999999926430261,0.9999999970605478,36,0.9999999999999516,0.9999999999999654,1.0000000000000033,1.0000000000000355,1.0000000000000688,36,0.9995695345893288,0.9999022677049599,0.9999823066516607,1.000069256330694,1.0001274308720471,36,8.762366110856475e-05,0.0001218089180669325,0.0002824597967505712,0.0005624636050767137,0.0008889343356825118,36,4.449234058784771e-05,4.713937789079113e-05,6.351131021193391e-05,8.827459637099301e-05,0.00010259955893598402,36,4.449097207228195e-05,4.7139238222830484e-05,6.351053203735606e-05,8.827042920005463e-05,0.00010258757649233865,False,1.0,1.0
baseline,A100,0.0001,0.0,ConvWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,36,0.9984800408595843,0.9994896475795075,0.999924652350278,0.9999810836208034,0.9999951808138561,36,0.9984800408595843,0.9994896475795075,0.999924652350278,0.9999810836208034,0.9999951808138561,36,0.9999999999999992,0.9999999999999993,1.0,1.0000000000000004,1.0000000000000007,36,0.9763746080407378,0.9959557376349373,0.9997592029925576,1.0100995188179702,1.0168811840065894,36,0.004739107368842049,0.006679768318642046,0.014556168020657794,0.033637661783022556,0.05619167709336238,36,1.837331422925502e-05,3.397482424728513e-05,4.7901969902880206e-05,0.00010992014758603099,0.00013097475621831066,36,1.84928324781812e-05,3.411619420016067e-05,4.7589006437673434e-05,0.00011068174442966226,0.00013046428395709094,False,1.0,1.0
baseline,A100,0.0001,0.0,ConvWeight_1,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,36,0.9986795217979154,0.9993344808629898,0.999817644914667,0.9999665084591047,0.9999854114424916,36,0.9986795217979154,0.9993344808629898,0.999817644914667,0.9999665084591047,0.9999854114424916,36,0.9999999999999966,0.9999999999999976,1.0000000000000004,1.0000000000000029,1.0000000000000036,36,0.9816188065526182,0.9954024410541488,1.00045107376149,1.0029270666061287,1.0106241462595469,36,0.006150748930190335,0.008247268150341174,0.019172497720740624,0.03863921541570284,0.05140540366228476,36,1.5988319701274606e-05,2.3820397660251122e-05,3.4572000665530314e-05,5.587884985212668e-05,7.037728551748701e-05,36,1.5987194254418992e-05,2.376802121874755e-05,3.461632089956293e-05,5.6080659146227554e-05,6.908366701808847e-05,False,1.0,1.0
baseline,A100,0.0001,0.0,ConvWeight_2,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,36,0.9980395918062304,0.9986584315497982,0.9993623095531368,0.9998884941480473,0.9999661058397672,36,0.9980395918062304,0.9986584315497982,0.9993623095531368,0.9998884941480473,0.9999661058397672,36,0.9999999999999946,0.9999999999999976,1.0000000000000007,1.0000000000000049,1.0000000000000064,36,0.9913548454441664,0.9956944083796552,0.999088486138147,1.0004771235237675,1.0044996075526604,36,0.008238225257928892,0.014929899327473208,0.035793812427301064,0.05187229880476733,0.06294171129841103,36,0.00011468160174098512,0.00013463547393479123,0.00019379651527341664,0.00025628489429751133,0.00034033948737596684,36,0.00011448983019963287,0.00013450974678878635,0.0001934158490098307,0.00025616625948460194,0.00033739719990614846,False,1.0,1.0
baseline,A100,0.0001,0.0,DenseWeight_0,36,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,36,0.9999980932293316,0.999998749039532,0.9999994145613955,0.9999996664164923,0.9999997845143558,36,0.9999980932293316,0.999998749039532,0.9999994145613955,0.9999996664164923,0.9999997845143558,36,0.9999999999999484,0.9999999999999708,1.0,1.0000000000000222,1.0000000000000593,36,0.9991503921648811,0.9997897990040755,1.0000223396497923,1.0002337053806951,1.0003492359521404,36,0.0006658130442764842,0.000821634895134311,0.0010991001233028397,0.0016342157904027698,0.001979030406129716,36,4.454958000100036e-05,4.822355012996438e-05,6.617059319994679e-05,8.770423695713951e-05,0.00010681622831591805,36,4.455045187447003e-05,4.823515077304986e-05,6.616586546435966e-05,8.769878534118885e-05,0.00010681655593605021,False,1.0,1.0
baseline,A100,0.0001,0.0001,ConvWeight_0,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,144,0.16057513505871499,0.38919309598328977,0.5826599146110372,0.8404729320422615,0.8936257342421905,144,0.9984800408595843,0.999447402665674,0.999924652350278,0.9999812658218761,0.9999951808138561,144,0.158493813023019,0.39065664769104114,0.5825543547876628,0.841216147198355,0.8932875400941328,144,1.0846713418367144,1.1975394383815885,1.7546659711997623,2.3058661053596476,4.461254638528267,144,0.5414996746521652,0.6511241492507511,1.4567806122209697,2.1038303787908617,4.329917820195389,144,1.837331422925502e-05,3.325643635385108e-05,4.7901969902880206e-05,0.00011288551481280611,0.00013097475621831066,144,6.547924524166617e-05,7.71114596232686e-05,8.752409610687955e-05,0.0001326270135144061,0.0001606798863320645,False,0.0,0.0
baseline,A100,0.0001,0.0001,ConvWeight_1,144,36,404.141105702,30,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,144,0.5565013597170881,0.751498688885775,0.8461542520402077,0.9375794242187199,0.9593334072360955,144,0.9986795217979154,0.9992954048709246,0.999817644914667,0.9999676874269324,0.9999854114424916,144,0.5570867337965504,0.7515478938491765,0.8465931820561416,0.9377431653552414,0.9598057905941352,144,1.0135982654027194,1.0714363886205174,1.1737580141169919,1.3339041797370803,1.7289436985850108,144,0.291511390294295,0.3746952334608062,0.6300696461105946,0.8653558301348738,1.4369854816953156,144,1.5988319701274606e-05,2.3133274149217996e-05,3.4572000665530314e-05,5.899992313603541e-05,7.037728551748701e-05,144,2.5491313045584044e-05,3.130516042156536e-05,4.0350105444434276e-05,6.251068876055591e-05,7.292650845907389e-05,False,0.3055555555555556,0.0
