gpu,target,comparison_role,scheme,beta,sigma,state,epochs_completed,final_validation_pct,best_validation_pct,final_drop_pp,best_drop_pp,best_to_final_drop_pp,passes_final_drop_screen,max_running_best_drawdown_pp,max_running_best_drawdown_epoch,bundle,failure
A100,,,baseline,404.141105702,0,complete,30,97.58,97.74000000000001,0.0,0.0,0.16000000000000458,True,0.20000000000000018,29,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_0/runs/000_conv3_baseline_p90_sigma0_seed0_da5e36ad,
A100,,,legacy,4.42250110273,0,complete,30,98.72,98.86,0.0,0.0,0.14000000000000679,True,0.14000000000000679,25,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_3/runs/000_conv3_legacy_p90_sigma0_seed0_f7b6c852,
A100,,,ours,5.26875648112,0,complete,30,98.5,98.58,0.0,0.0,0.08000000000000229,True,0.30000000000000027,15,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_6/runs/000_conv3_ours_p90_sigma0_seed0_03483376,
A100,,,baseline,404.141105702,0.0001,complete,30,97.56,97.6,0.01999999999999602,0.14000000000001478,0.039999999999995595,True,0.23999999999999577,27,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_9/runs/000_conv3_baseline_p90_sigma1em4_seed0_8ded8dea,
A100,,,baseline,404.141105702,0.0003,complete,30,97.56,97.56,0.01999999999999602,0.18000000000000682,0.0,True,0.24000000000000687,9,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_10/runs/000_conv3_baseline_p90_sigma3em4_seed0_02c1c964,
A100,,,baseline,404.141105702,0.0005,complete,30,97.39999999999999,97.44,0.18000000000000682,0.30000000000001137,0.0400000000000067,True,0.22000000000000908,27,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_11/runs/000_conv3_baseline_p90_sigma5em4_seed0_c5078abf,
A100,,,legacy,4.42250110273,0.0001,complete,30,98.64,98.68,0.0799999999999983,0.1799999999999926,0.039999999999995595,True,0.21999999999999797,6,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_12/runs/000_conv3_legacy_p90_sigma1em4_seed0_bd0dccfd,
A100,,,legacy,4.42250110273,0.0003,complete,30,96.26,98.04,2.4599999999999937,0.8199999999999932,1.7800000000000038,True,7.340000000000002,17,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_13/runs/000_conv3_legacy_p90_sigma3em4_seed0_c337c160,
A100,,,legacy,4.42250110273,0.0005,complete,30,95.72,97.58,3.0,1.2800000000000011,1.859999999999995,True,9.160000000000002,20,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_14/runs/000_conv3_legacy_p90_sigma5em4_seed0_8499672a,
A100,,,ours,5.26875648112,0.0001,complete,30,97.86,97.86,0.6400000000000006,0.7199999999999989,0.0,True,0.38000000000000256,12,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_15/runs/000_conv3_ours_p90_sigma1em4_seed0_5b7c67f1,
A100,,,ours,5.26875648112,0.0003,complete,30,97.48,97.48,1.019999999999996,1.0999999999999943,0.0,True,0.26000000000000467,15,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_16/runs/000_conv3_ours_p90_sigma3em4_seed0_6ac4e8f2,
A100,,,ours,5.26875648112,0.0005,complete,30,97.11999999999999,97.16,1.3800000000000097,1.4200000000000017,0.0400000000000067,True,0.36000000000000476,22,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/a100-production/task_17/runs/000_conv3_ours_p90_sigma5em4_seed0_19b5049f,
V100,,,baseline,404.141105702,0,complete,30,97.56,97.66,0.0,0.0,0.10000000000000009,True,0.18000000000000238,12,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/v100-production/task_0/runs/000_conv3_baseline_p90_sigma0_seed0_2e71b39b,
V100,,,baseline,404.141105702,1e-05,complete,30,97.5,97.72,0.060000000000002274,-0.060000000000002274,0.21999999999999797,True,0.23999999999999577,12,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/v100-production/task_1/runs/000_conv3_baseline_p90_sigma1em5_seed0_2f3a9dc0,
V100,,,legacy,4.42250110273,0,complete,30,98.76,98.88,0.0,0.0,0.11999999999999789,True,0.21999999999999797,19,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/v100-production/task_3/runs/000_conv3_legacy_p90_sigma0_seed0_02419265,
V100,,,legacy,4.42250110273,1e-05,complete,30,98.72,98.78,0.04000000000000625,0.09999999999999432,0.060000000000004494,True,0.21999999999999797,27,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/v100-production/task_4/runs/000_conv3_legacy_p90_sigma1em5_seed0_5c2c98d9,
V100,,,ours,5.26875648112,0,complete,30,98.58,98.58,0.0,0.0,0.0,True,0.26000000000000467,25,results/eqprop-conv3-p90-read-noise-20260919-v1/jz/v100-production/task_6/runs/000_conv3_ours_p90_sigma0_seed0_f48e712c,
