scheme,role,beta,epoch,train_accuracy,validation_accuracy,train_loss,validation_loss
baseline,candidate,147.682614594,1,0.8935636363636363,0.9366,0.14349434100701533,0.10234943016336882
baseline,candidate,147.682614594,2,0.9546727272727272,0.9554,0.08505624982238012,0.07942665737501677
baseline,candidate,147.682614594,3,0.9639090909090909,0.9608,0.07118669447568043,0.07002776714840342
baseline,candidate,147.682614594,4,0.9682181818181819,0.9644,0.06405670912671879,0.0650111105295087
baseline,candidate,147.682614594,5,0.9712,0.9676,0.05976977327393798,0.06254291125972583
baseline,candidate,147.682614594,6,0.9734727272727273,0.9666,0.056615152680722335,0.05921721038029873
baseline,candidate,147.682614594,7,0.9747636363636364,0.9686,0.054240335291603124,0.05909466783319174
baseline,candidate,147.682614594,8,0.9759272727272728,0.9694,0.052300624064984584,0.05634011643844832
baseline,candidate,147.682614594,9,0.9765818181818182,0.9692,0.05083320425649939,0.05475775950053244
baseline,candidate,147.682614594,10,0.9776,0.9714,0.0493091555346631,0.052118872656435375
baseline,historical_first10,100.0,1,0.8935272727272727,0.9374,0.1435314840192087,0.10257097177837504
baseline,historical_first10,100.0,2,0.9546727272727272,0.9546,0.0850188693995919,0.07940468039502627
baseline,historical_first10,100.0,3,0.9641818181818181,0.9618,0.07106088149030919,0.06976578652172179
baseline,historical_first10,100.0,4,0.9682545454545455,0.9642,0.06400192832696965,0.06509172616355524
baseline,historical_first10,100.0,5,0.9713454545454545,0.9676,0.05973611514841322,0.06216204154971882
baseline,historical_first10,100.0,6,0.9731636363636363,0.968,0.056545791855607784,0.059281052401149864
baseline,historical_first10,100.0,7,0.9745272727272727,0.9684,0.05416162500059945,0.05901133887876424
baseline,historical_first10,100.0,8,0.9760363636363636,0.9702,0.052230154430186276,0.056172510697344934
baseline,historical_first10,100.0,9,0.9767454545454546,0.9698,0.05073529374187972,0.05464944706328469
baseline,historical_first10,100.0,10,0.9774909090909091,0.9702,0.049239664967963837,0.051983813157219345
baseline,candidate,404.141105702,1,0.8933090909090909,0.9378,0.14357340868454502,0.1023347423788693
baseline,candidate,404.141105702,2,0.9548909090909091,0.9558,0.08489577771626067,0.07918672031181996
