architecture,depth,loss,seed,best_validation_percent,final_validation_percent,best_epoch,epochs,optimizer_steps,parameter_count,elapsed_seconds,target,result_path,result_sha256
Conv1,1,cross_entropy,0,97.62,97.16,9,10,34380,63050,59.12865766999312,local,results/digital-relu-table12-20260917-v1/local/training/conv1_cross_entropy_seed0/result.json,67e3d5b465c6b0e4e7d5962afd352282a428e454173a1b4c041934c28aea261f
Conv1,1,cross_entropy,1,97.48,97.4,4,10,34380,63050,59.46953843999654,local,results/digital-relu-table12-20260917-v1/local/training/conv1_cross_entropy_seed1/result.json,2fed5795548747a101feb474cb6cfbcf23dca4e0d9ec8e97a4d8ef5f37be33db
Conv1,1,cross_entropy,2,97.66,96.84,8,10,34380,63050,59.011927191051655,local,results/digital-relu-table12-20260917-v1/local/training/conv1_cross_entropy_seed2/result.json,5739f39947084d23136d51f08adb931e521d29b1a4765bd3a4415221a53914d2
Conv1,1,mse,0,96.38000000000001,96.38000000000001,9,10,34380,63050,60.68698783998843,local,results/digital-relu-table12-20260917-v1/local/training/conv1_mse_seed0/result.json,848914061de64e3a4e2894549ba7ba849ba3adde2a88e28d9b1edbd2505fce31
Conv1,1,mse,1,96.42,96.42,10,10,34380,63050,60.112527449964546,local,results/digital-relu-table12-20260917-v1/local/training/conv1_mse_seed1/result.json,d23b3c34799a39282e4be88e9617f6918ffe979479994d58d5cacd5d5b87dc5c
Conv1,1,mse,2,96.60000000000001,96.30000000000001,9,10,34380,63050,60.11030702898279,local,results/digital-relu-table12-20260917-v1/local/training/conv1_mse_seed2/result.json,bf7528e236bd0908447ce8198220c9f7219342b456081a847f5e99c88d7cf32d
Conv2,2,cross_entropy,0,98.50000000000001,98.32000000000001,10,30,103140,50186,106.00685399898794,akib,results/digital-relu-table12-20260917-v1/akib/training/conv2_cross_entropy_seed0/result.json,b334312511cf94d20d896263f9957e1ec03fcc6e4c07dcec376e808c70088ebf
Conv2,2,cross_entropy,1,98.30000000000001,98.08,13,30,103140,50186,106.16473212302662,akib,results/digital-relu-table12-20260917-v1/akib/training/conv2_cross_entropy_seed1/result.json,4d676f6cc02ecd2c42ad416a5682c42fd85692df08179428c161f70c5a19b67e
Conv2,2,cross_entropy,2,98.34,98.02000000000001,14,30,103140,50186,104.56731852900703,akib,results/digital-relu-table12-20260917-v1/akib/training/conv2_cross_entropy_seed2/result.json,c93b8489827165de2c7612765219a183f28fe73ba3daedef7bc16451c7b107f4
Conv2,2,mse,0,98.12,97.86,5,30,103140,50186,109.66986805503257,akib,results/digital-relu-table12-20260917-v1/akib/training/conv2_mse_seed0/result.json,476af21c826bf7f7ab8947ad757d00cf99039b82497e559c5431402bd4f30a8b
Conv2,2,mse,1,98.08,97.9,10,30,103140,50186,109.44168136001099,akib,results/digital-relu-table12-20260917-v1/akib/training/conv2_mse_seed1/result.json,9df5cf53fd7bad9c4a456a74d2c9ddd479ab2eb5261ddd7159c28790b7ff9a3e
Conv2,2,mse,2,98.38,97.9,20,30,103140,50186,109.37193859100807,akib,results/digital-relu-table12-20260917-v1/akib/training/conv2_mse_seed2/result.json,ed8b89c8d2063a9317f2743618b219f1937bc7587081f56b46a4485293e12d29
Conv3,3,cross_entropy,0,98.86,98.68,12,30,103140,155402,115.08677217199875,trex,results/digital-relu-table12-20260917-v1/trex/training/conv3_cross_entropy_seed0/result.json,444540b2d49fa95f1f399351fe06e7e9d118a623169edbdcb2865cef2417fbd5
Conv3,3,cross_entropy,1,98.72000000000001,98.44000000000001,21,30,103140,155402,109.99106619300437,trex,results/digital-relu-table12-20260917-v1/trex/training/conv3_cross_entropy_seed1/result.json,2d412fcc1a66ee95dfb4164a025811c28433ab8b546e2576263c4e1570943f88
Conv3,3,cross_entropy,2,98.74000000000001,98.46000000000001,24,30,103140,155402,184.21663710998837,trex,results/digital-relu-table12-20260917-v1/trex/training/conv3_cross_entropy_seed2/result.json,3e07f3e0c22a74c86b031ec3dc6f3ec091d7f61af79f1a59090cdaa0a1a9e71b
Conv3,3,mse,0,99.00000000000001,98.64,10,30,103140,155402,96.88426019100007,trex,results/digital-relu-table12-20260917-v1/trex/training/conv3_mse_seed0/result.json,380a818dbc41feb7bfc89eb061bd55cf0a390722f3e5c371176aa3e505004154
Conv3,3,mse,1,99.04,98.72000000000001,7,30,103140,155402,95.76168922700163,trex,results/digital-relu-table12-20260917-v1/trex/training/conv3_mse_seed1/result.json,b2c9209d3dca4048691f544f3b292f3e899eb9ba5770d15454843b4670791d97
Conv3,3,mse,2,98.98,98.76,19,30,103140,155402,169.35246562300017,trex,results/digital-relu-table12-20260917-v1/trex/training/conv3_mse_seed2/result.json,729270e33e01d2fb53472cab482229bce5ae1d415871fddf4d160b8c94d24f9c
