architecture,scheme,checkpoint_role,T,K,injected_beta,batch_count,layer_batch_comparison_count,minimum_cosine,maximum_symmetric_norm_delta,gradient_fidelity_passed,all_endpoint_residual_gates_passed,worst_pooled_drift_to_response,worst_pooled_layer,worst_pooled_phase,worst_batch_drift_to_response,maximum_controlled_rms_relative_change_from_largest_T,source_case_summary,source_result_sha256
conv2,legacy,reconstructed_initialization,6,6,0.03,36,108,0.99988306225001,0.005051517145770865,True,True,2.7826381725383684,Layer_1,negative,3.2681134059911336,6.625668418358543e-07,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T6_v2/artifacts/case_summary.csv,592cb765bee1dde3f8f478f684935fe751193261291d37c2ebc70b53e3966112
conv2,legacy,reconstructed_initialization,8,6,0.03,36,108,0.9998824152038532,0.005068088228737923,True,True,0.08379065772908406,Layer_1,negative,0.09966198200294217,1.6976616334929417e-08,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T8_v2/artifacts/case_summary.csv,eba35b0cb915a5ed168ee3006d3e674a5cab4f3e07471a543e8f4ec600975ba1
conv2,legacy,reconstructed_initialization,10,6,0.03,36,108,0.9998823986187951,0.005068539791177013,True,True,0.002698613187091787,Layer_1,negative,0.0033177914596768856,4.213305260236666e-10,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T10_v2/artifacts/case_summary.csv,612925e9464ca60820b8042818f95f687d600e78b499397a20a201f23e1357d5
conv2,legacy,reconstructed_initialization,12,6,0.03,36,108,0.9998823981821523,0.0050685516430209205,True,True,9.067240983037111e-05,Layer_1,negative,0.00011355439554862694,9.837242131993662e-12,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T12_v2/artifacts/case_summary.csv,8b960b28e2269b0eba88b1071c9c89f59105c78d688bebf6edf88f315bfd90b2
conv2,legacy,reconstructed_initialization,16,6,0.03,36,108,0.9998823981745035,0.005068552515060964,True,True,1.0923777974655149e-07,Layer_1,negative,1.4471798086028972e-07,0.0,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T16_v2/artifacts/case_summary.csv,02fef7890002360cc35e77297cd9bfd65b17405b75ba4f61c83a04f802832b6b
conv3,baseline,best_validation,8,8,10.0,36,144,0.9999435246106911,0.0013782719964145031,True,False,224.45603622042168,Layer_1,positive,377.46565172293015,9.151049993105786e-06,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T8/artifacts/case_summary.csv,dc7db15705d7317959236440a39c521e2634b69f3327c9c56d33d44bbd0d4115
conv3,baseline,best_validation,10,8,10.0,36,144,0.9999435209280308,0.001281990178494653,True,False,15.106704836345592,Layer_1,positive,26.297265969108235,5.331271955011374e-07,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T10/artifacts/case_summary.csv,6cc5691a19e3b0713efffb50c54b9d55758a7c94a9a8ecb8dd79a437969c1d53
conv3,baseline,best_validation,12,8,10.0,36,144,0.9999435207186951,0.0012762122167475128,True,True,1.0672569291006342,Layer_1,positive,1.971670235551963,3.290289463109275e-08,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T12/artifacts/case_summary.csv,f97156d0d548a014e095541525df82d506faa569e4f31f17e3b2df1270b37c93
conv3,baseline,best_validation,16,8,10.0,36,144,0.9999435207066378,0.0012758185045922432,True,True,0.005871191844241238,Layer_1,positive,0.012995354744957582,1.464486309998847e-10,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T16/artifacts/case_summary.csv,fcea3f08af12802947efc3888642785d4bb29cf9a1a8e06c133d950cffadfd99
conv3,baseline,best_validation,24,8,10.0,36,144,0.9999435207065819,0.001275814672847458,True,True,2.4511709904628074e-07,Layer_1,positive,8.320972700886078e-07,0.0,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T24/artifacts/case_summary.csv,b462d64702ebe05a2adc8002bf327fe0c33b8e23ef6940887b0c2c5a8c99bd99
