case,architecture,scheme,beta,role,origin,epoch,train_accuracy,validation_accuracy,train_loss,validation_loss
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,1,0.9242,0.9496,0.1273184439588035,0.09820822068346234
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,2,0.9618181818181818,0.9566,0.08521149150996465,0.08489511332492794
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,3,0.9665818181818182,0.9622,0.07652875059313637,0.07680583605735283
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,4,0.9692,0.9646,0.07188514960760309,0.07345829915495579
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,5,0.970690909090909,0.9666,0.06884196077753117,0.0720325343393977
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,6,0.9723090909090909,0.963,0.06648542069524382,0.06972468132398563
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,7,0.9736181818181818,0.9678,0.06473708181011288,0.0699000151755938
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,8,0.9740909090909091,0.9678,0.06344311581859853,0.0693172150386036
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,9,0.9740181818181818,0.969,0.06315679734769142,0.06753210013766646
conv2_baseline_beta500_seed0,conv2,baseline,500.0,candidate,new,10,0.9753090909090909,0.9696,0.06261282368149378,0.0657826070791733
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,1,0.9240545454545455,0.9492,0.12743220413034637,0.09836180471777502
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,2,0.9617272727272728,0.957,0.08543619101223311,0.08509648847236403
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,3,0.9664545454545455,0.962,0.07682407071266056,0.07697257385438482
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,4,0.9694,0.9638,0.07213219616739332,0.07368023847879354
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,5,0.9708,0.9656,0.06908663304571036,0.0721352449830706
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,6,0.9723454545454545,0.9636,0.06674492313447443,0.06991444909372396
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,7,0.9737090909090909,0.9684,0.06496353321753713,0.06956834686600909
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,8,0.9740545454545455,0.9672,0.06364184618691542,0.06880666539377901
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,9,0.9746727272727272,0.9696,0.06261324402137379,0.06641891902831042
paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,conv2,baseline,100.0,control,historical_first10,10,0.976,0.9696,0.06149670109448812,0.06534085005354377
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,1,0.9435272727272728,0.9662,0.10427042271302928,0.07766230111795538
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,2,0.9739636363636364,0.9702,0.06742177903897834,0.06654113404922882
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,3,0.9776545454545454,0.9732,0.06015133007796943,0.060076628715821256
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,4,0.9801454545454545,0.9736,0.05594775454909741,0.05898829948893184
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,5,0.9812909090909091,0.9776,0.053160436333335,0.05636588975567755
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,6,0.9830909090909091,0.976,0.0509948331819293,0.053868978749690766
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,7,0.9838363636363636,0.978,0.04938551695689683,0.053267324355997424
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,8,0.9843272727272727,0.9768,0.04816098269801348,0.05288505466200363
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,9,0.9848363636363636,0.979,0.047156593080061746,0.051317043930997626
conv2_ours_beta50_seed0,conv2,ours,50.0,candidate,new,10,0.9853090909090909,0.9796,0.046244853200497295,0.05045081498799852
paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,conv2,ours,10.0,control,historical_first10,1,0.9433636363636364,0.9658,0.10459444890578509,0.07777629262057564
paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,conv2,ours,10.0,control,historical_first10,2,0.9740545454545455,0.9704,0.06772042392928483,0.0670920606917927
paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,conv2,ours,10.0,control,historical_first10,3,0.9778909090909091,0.9722,0.06033249682588561,0.06079731388087739
paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,conv2,ours,10.0,control,historical_first10,4,0.9803636363636363,0.9734,0.05611934213240671,0.05887552491948927
