architecture,scheme,seed,training_sigma,injected_beta,p99_selected_beta,status,bundle,source_tracker
conv2,baseline,0,0.0,100.0,100,complete_collected_validated,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed0,current_contract_run_status.csv
conv2,baseline,0,1e-05,100.0,100,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_1e-05/seed0,baseline_read_noise_run_status_20260916.csv
conv2,baseline,0,3e-05,100.0,100,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_3e-05/seed0,baseline_read_noise_run_status_20260916.csv
conv2,baseline,0,0.0001,100.0,100,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0001/seed0,baseline_read_noise_run_status_20260916.csv
conv2,baseline,0,0.0003,100.0,100,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0003/seed0,baseline_read_noise_run_status_20260916.csv
conv2,baseline,0,0.0005,100.0,100,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv2/beta_100/sigma_0.0005/seed0,baseline_read_noise_run_status_20260916.csv
conv2,baseline,1,0.0,100.0,100,complete_collected_validated,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed1,current_contract_run_status.csv
conv2,baseline,2,0.0,100.0,100,complete_collected_validated,paper_ready_results/bundles/table2_wide_ep/conv2/baseline/seed2,current_contract_run_status.csv
conv2,ours,0,0.0,10.0,10,complete_collected_validated,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed0,current_contract_run_status.csv
conv2,ours,0,1e-05,10.0,10,complete_collected_validated,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_1e-05/seed0,read_noise_run_status_20260914.csv
conv2,ours,0,3e-05,10.0,10,complete_collected_validated,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_3e-05/seed0,read_noise_run_status_20260914.csv
conv2,ours,0,0.0001,10.0,10,complete_collected_validated,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0001/seed0,read_noise_run_status_20260914.csv
conv2,ours,0,0.0003,10.0,10,complete_collected_validated,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0003/seed0,read_noise_run_status_20260914.csv
conv2,ours,0,0.0005,10.0,10,complete_collected_validated,paper_ready_results/bundles/read_noise_20260914/conv2/ours/sigma_0.0005/seed0,read_noise_run_status_20260914.csv
conv2,ours,1,0.0,10.0,10,complete_collected_validated,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed1,current_contract_run_status.csv
conv2,ours,2,0.0,10.0,10,complete_collected_validated,paper_ready_results/bundles/table2_wide_ep/conv2/ours/seed2,current_contract_run_status.csv
conv3,baseline,0,0.0,10.0,10,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv3/beta_10/sigma_0/seed0,baseline_read_noise_run_status_20260916.csv
conv3,baseline,0,1e-05,10.0,10,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv3/beta_10/sigma_1e-05/seed0,baseline_read_noise_run_status_20260916.csv
conv3,baseline,0,3e-05,10.0,10,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv3/beta_10/sigma_3e-05/seed0,baseline_read_noise_run_status_20260916.csv
conv3,baseline,0,0.0001,10.0,10,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv3/beta_10/sigma_0.0001/seed0,baseline_read_noise_run_status_20260916.csv
conv3,baseline,0,0.0003,10.0,10,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv3/beta_10/sigma_0.0003/seed0,baseline_read_noise_run_status_20260916.csv
conv3,baseline,0,0.0005,10.0,10,complete_collected_validated,paper_ready_results/bundles/baseline_read_noise_20260916/conv3/beta_10/sigma_0.0005/seed0,baseline_read_noise_run_status_20260916.csv
