architecture,scheme,checkpoint_role,phase,reference_kind,state_layer_name,layer_index,layer_type,state_shape,T,K,injected_beta,base_beta,model_seed,source_checkpoint_epoch,batch_count,element_count,delta_mean,delta_rms,delta_std,reference_mean,reference_rms,reference_std,current_mean,current_rms,current_std,relative_displacement,reference_norm_zero,max_abs_delta,reference_min,reference_max,current_min,current_max,active_set_transition_count,constrained_element_count,active_set_transition_fraction,batch_p05_delta_rms,batch_median_delta_rms,batch_p95_delta_rms,batch_p05_relative,batch_median_relative,batch_p95_relative,half_span_rms
conv3,baseline,reconstructed_initialization,negative,post_T_free,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,0,36,7225344,4.83334789061913e-08,5.058765969195998e-07,5.035623160322662e-07,-0.004508314883246681,6.826719199606973,6.826717710977904,-0.004508266549767757,6.8267192006006825,6.826717712003531,7.410244688967492e-08,False,3.862325535730626e-06,-81.45423947016056,102.1270560005805,-81.45423909117558,102.12705684585048,0,7225344,0.0,4.519913713618313e-07,5.044793158164326e-07,5.55715508847152e-07,6.52886470741228e-08,7.413989996298816e-08,8.184814193701441e-08,
conv3,baseline,reconstructed_initialization,negative,post_T_free,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,0,36,3612672,1.7185393852903104e-09,2.2792996906931e-06,2.2792990428234825e-06,-0.002770012027422058,0.10356550182031002,0.10352845116517766,-0.0027700103088826727,0.10356545300013274,0.10352840237350999,2.2008290894469564e-05,False,1.5381179726867145e-05,-0.6677613826114186,1.2247015959344933,-0.6677617371526257,1.2246967649832745,22,3612672,6.0896754535147395e-06,2.1992726530553045e-06,2.2801618145574887e-06,2.350102005155098e-06,2.0331862290734203e-05,2.2052174560049844e-05,2.3551984926321835e-05,
conv3,baseline,reconstructed_initialization,negative,post_T_free,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,0,36,7225344,-9.101702502620666e-08,0.00012006305955096405,0.00012006302505200964,0.001651818913196245,0.023221972770939844,0.023163149907822957,0.0016517278961712188,0.023222062078775144,0.023163245932888946,0.0051702351361470845,False,0.00041409002590856933,-0.05510479523879231,0.1802588818881602,-0.05510840992163148,0.1804298473715024,8317,7225344,0.0011510870624291383,0.00011965787001599659,0.00012004087647285307,0.00012053031262783398,0.004702417214936843,0.005203242543445464,0.005742234332707765,
conv3,baseline,reconstructed_initialization,negative,post_T_free,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,0,36,11520,-4.921416811113017e-05,0.11277350179289496,0.11277349105440401,0.0016865544716013643,0.006000413186499233,0.0057585147757937835,0.0016373403034902342,0.11292319634370775,0.11291132533634586,18.79428937437713,False,0.36631344642440034,-0.011807429201789257,0.01828102135487951,-0.37124370726819556,0.383467737768761,0,0,,0.11244777651657209,0.1127632778729904,0.11309961606557828,14.128672450862098,18.948148959685035,25.220539954479314,
conv3,baseline,reconstructed_initialization,negative,matched_zero_K,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,0,36,7225344,-1.1318369976035596e-08,4.869960063623457e-07,4.86864462364999e-07,-0.00450825523139779,6.826719202548927,6.82671771395925,-0.004508266549767757,6.8267192006006825,6.826717712003531,7.133675663421363e-08,False,3.2770314110086574e-06,-81.45423929588338,102.12705649728372,-81.45423909117558,102.12705684585048,0,7225344,0.0,4.4574331485698466e-07,4.880143362606756e-07,5.221393038117197e-07,6.552481778225255e-08,7.055591473876593e-08,7.941991252953411e-08,
conv3,baseline,reconstructed_initialization,negative,matched_zero_K,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,0,36,3612672,-3.2195447990408135e-08,2.279320112949565e-06,2.279092720892486e-06,-0.002769978113434683,0.10356552299447595,0.10352847325431984,-0.0027700103088826727,0.10356545300013274,0.10352840237350999,2.2008483586484096e-05,False,1.5481054912704073e-05,-0.6677614090703836,1.2247018823907942,-0.6677617371526257,1.2246967649832745,22,3612672,6.0896754535147395e-06,2.2025376452369238e-06,2.283064551262947e-06,2.3463435169984784e-06,2.035050004364401e-05,2.2059230499666913e-05,2.3579624886231826e-05,
conv3,baseline,reconstructed_initialization,negative,matched_zero_K,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,0,36,7225344,-1.6076367569912917e-07,0.00012006313920114835,0.00012006303157040014,0.001651888659846918,0.02322207831485842,0.02316325074588813,0.0016517278961712188,0.023222062078775144,0.023163245932888946,0.005170215067457038,False,0.00041398133623912065,-0.05510467526221085,0.18026002573150918,-0.05510840992163148,0.1804298473715024,8313,7225344,0.0011505334555697278,0.00011965738440673378,0.0001200410426613145,0.00012052991548326214,0.004702406939572591,0.00520323991015084,0.005742219596039108,
conv3,baseline,reconstructed_initialization,negative,matched_zero_K,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,0,36,11520,-4.9283982591877704e-05,0.11277350179904881,0.11277349103006933,0.001686624286082112,0.006000528560825694,0.005758614549254262,0.0016373403034902342,0.11292319634370775,0.11291132533634586,18.793928010823567,False,0.3663132622218531,-0.011807589559502016,0.018281367792892817,-0.37124370726819556,0.383467737768761,0,0,,0.11244777643940881,0.11276327795601573,0.11309961597331582,14.128382972303953,18.94782253387271,25.220063180338194,
conv3,baseline,reconstructed_initialization,positive,post_T_free,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,0,36,7225344,7.06939138938888e-08,5.157907005234744e-07,5.109231031034513e-07,-0.004508314883246681,6.826719199606973,6.826717710977904,-0.0045082441893327845,6.826719204519283,6.8267177159368995,7.555469698433905e-08,False,3.3947965658587265e-06,-81.45423947016056,102.1270560005805,-81.45423961436279,102.12705614750897,0,7225344,0.0,4.746083321665105e-07,5.150354547587391e-07,5.49476143236645e-07,6.965016153878127e-08,7.477139421649598e-08,8.238222541669992e-08,
conv3,baseline,reconstructed_initialization,positive,post_T_free,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,0,36,3612672,6.548188230711863e-08,2.282626802893167e-06,2.281687367799497e-06,-0.002770012027422058,0.10356550182031002,0.10352845116517766,-0.002769946545539751,0.1035655931672703,0.10352854429684306,2.2040416574754874e-05,False,1.5576023915379877e-05,-0.6677613826114186,1.2247015959344933,-0.6677607284423218,1.224707000012457,30,3612672,8.304102891156463e-06,2.2116433619319715e-06,2.2879627248946225e-06,2.3484396918403853e-06,2.045603632402176e-05,2.2065523177090863e-05,2.3638768484875978e-05,
conv3,baseline,reconstructed_initialization,positive,post_T_free,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,0,36,7225344,2.2826637159822285e-07,0.00012006246800332619,0.00012006225100968797,0.001651818913196245,0.023221972770939844,0.023163149907822957,0.0016520471795678433,0.023222715691055017,0.02316387843570361,0.005170209662530192,False,0.00041417932486369354,-0.05510479523879231,0.1802588818881602,-0.055100903101525094,0.18009019542633597,8284,7225344,0.0011465198058390022,0.00011963381763543081,0.00012005915826543046,0.00012054133333476698,0.004703511742376077,0.005203171678772521,0.005741927900406901,
conv3,baseline,reconstructed_initialization,positive,post_T_free,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,0,36,11520,4.935211937708654e-05,0.11277350149678303,0.11277349069800596,0.0016865544716013643,0.006000413186499233,0.0057585147757937835,0.001735906590978451,0.11294286053574641,0.11292951949913034,18.79428932502854,False,0.36631299188489963,-0.011807429201789257,0.01828102135487951,-0.3772242323174193,0.3813305907594681,0,0,,0.11244776925392244,0.11276328095202684,0.11309961475423401,14.128673512308229,18.948148401820028,25.220538902865485,
conv3,baseline,reconstructed_initialization,positive,matched_zero_K,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,0,36,7225344,1.1042065011661921e-08,4.869232673422072e-07,4.867980495847214e-07,-0.00450825523139779,6.826719202548927,6.82671771395925,-0.0045082441893327845,6.826719204519283,6.8267177159368995,7.132610158630843e-08,False,3.218959413020528e-06,-81.45423929588338,102.12705649728372,-81.45423961436279,102.12705614750897,0,7225344,0.0,4.445200475100587e-07,4.883570652914892e-07,5.230658635572592e-07,6.556118438159854e-08,7.051334442644167e-08,7.933420510989211e-08,
conv3,baseline,reconstructed_initialization,positive,matched_zero_K,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,0,36,3612672,3.156789493142018e-08,2.279193158296582e-06,2.278974532730795e-06,-0.002769978113434683,0.10356552299447595,0.10352847325431984,-0.002769946545539751,0.1035655931672703,0.10352854429684306,2.2007257747524253e-05,False,1.547614872954295e-05,-0.6677614090703836,1.2247018823907942,-0.6677607284423218,1.224707000012457,30,3612672,8.304102891156463e-06,2.2039977721484653e-06,2.282330339634544e-06,2.3489074219576074e-06,2.037857458329936e-05,2.204375373068249e-05,2.356527496914436e-05,
conv3,baseline,reconstructed_initialization,positive,matched_zero_K,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,0,36,7225344,1.5851972092530036e-07,0.00012006209807450622,0.00012006199342652289,0.001651888659846918,0.02322207831485842,0.02316325074588813,0.0016520471795678433,0.023222715691055017,0.02316387843570361,0.005170170233974521,False,0.00041412378159826015,-0.05510467526221085,0.18026002573150918,-0.055100903101525094,0.18009019542633597,8286,7225344,0.0011467966092687076,0.00011963340824893674,0.00012005884395996318,0.00012054140858529533,0.00470345775324906,0.005203122538737722,0.005741895972004699,
conv3,baseline,reconstructed_initialization,positive,matched_zero_K,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,0,36,11520,4.928230489633904e-05,0.11277350149049778,0.11277349072225143,0.001686624286082112,0.006000528560825694,0.005758614549254262,0.001735906590978451,0.11294286053574641,0.11292951949913034,18.79392795940292,False,0.36631317608744685,-0.011807589559502016,0.018281367792892817,-0.3772242323174193,0.3813305907594681,0,0,,0.11244776933090903,0.11276328086888338,0.11309961484628643,14.12838402959774,18.947821978534662,25.220062111986422,
conv3,baseline,reconstructed_initialization,positive_minus_negative,negative_phase,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,0,36,7225344,2.2360434987697514e-08,9.734102933306546e-07,9.73153436056839e-07,-0.004508266549767757,6.8267192006006825,6.826717712003531,-0.0045082441893327845,6.826719204519283,6.8267177159368995,1.425883011630249e-07,False,6.495990824029185e-06,-81.45423909117558,102.12705684585048,-81.45423961436279,102.12705614750897,0,7225344,0.0,8.890149886698359e-07,9.754846256902745e-07,1.043554362882719e-06,1.309957219822208e-07,1.4088628712526724e-07,1.5868908813042553e-07,4.867051466653273e-07
conv3,baseline,reconstructed_initialization,positive_minus_negative,negative_phase,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,0,36,3612672,6.376334292182832e-08,4.556403424839425e-06,4.555957243652302e-06,-0.0027700103088826727,0.10356545300013274,0.10352840237350999,-0.002769946545539751,0.1035655931672703,0.10352854429684306,4.3995398975694965e-05,False,3.095720364224702e-05,-0.6677617371526257,1.2246967649832745,-0.6677607284423218,1.224707000012457,52,3612672,1.4393778344671202e-05,4.404463595612732e-06,4.563149650333027e-06,4.693802194903763e-06,4.071256834615103e-05,4.408469368694684e-05,4.712789860556506e-05,2.2782017124197124e-06
conv3,baseline,reconstructed_initialization,positive_minus_negative,negative_phase,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,0,36,7225344,3.1928339662442953e-07,0.00024002536520385898,0.00024002515284727663,0.0016517278961712188,0.023222062078775144,0.023163245932888946,0.0016520471795678433,0.023222715691055017,0.02316387843570361,0.010336091790196402,False,0.0008279604517979766,-0.05510840992163148,0.1804298473715024,-0.055100903101525094,0.18009019542633597,16599,7225344,0.002297330064838435,0.00023919616911253794,0.00023999454609057388,0.00024098744202955328,0.00940267926530618,0.010402002785899998,0.011477873715413516,0.00012001268260192949
conv3,baseline,reconstructed_initialization,positive_minus_negative,negative_phase,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,0,36,11520,9.856628748821676e-05,0.2255470032895167,0.22554698175229088,0.0016373403034902342,0.11292319634370775,0.11291132533634586,0.001735906590978451,0.11294286053574641,0.11292951949913034,1.9973487342938159,False,0.7326264383093,-0.37124370726819556,0.383467737768761,-0.3772242323174193,0.3813305907594681,0,0,,0.22489554577028853,0.2255265588248718,0.22619923081956922,1.9951052670899305,1.9973627185684413,1.9989273609717884,0.11277350164475836
conv3,baseline,best_validation,negative,post_T_free,Layer_1,1,ConvLayer,64x14x14,8,8,10,10.0,0,24,36,7225344,3.0317062474083745e-06,0.0001027855141528139,0.00010274079363567196,-2.872681586146716,49.78721267908931,49.704267893788405,-2.8726785544404687,49.787236084719794,49.704291513696106,2.06449625560147e-06,False,0.005397209415747284,-251.05605344536653,291.0429233321856,-251.05602616709027,291.04293832547535,2,7225344,2.7680342970521543e-07,8.620534689005056e-05,0.00010191011607720916,0.0001170744547901943,1.809085152987846e-06,2.0409110858371494e-06,2.354297296842544e-06,
conv3,baseline,best_validation,negative,post_T_free,Layer_2,2,ConvLayer,128x7x7,8,8,10,10.0,0,24,36,3612672,1.1568586753458409e-05,8.100650779656795e-05,8.01761941346877e-05,-0.8164320742853338,20.536632824587155,20.52039781388238,-0.8164205056985804,20.536654246925952,20.52041971343804,3.944488295061896e-06,False,0.0035232588560774047,-120.12007210519545,154.7828476480696,-120.12003237088575,154.782910278308,10,3612672,2.768034297052154e-06,6.656883787876244e-05,8.046664032823839e-05,9.396072359473116e-05,3.363317695325625e-06,3.897866199085261e-06,4.5712431295985935e-06,
conv3,baseline,best_validation,negative,post_T_free,Layer_3,3,ConvLayer,256x7x7,8,8,10,10.0,0,24,36,7225344,7.092612054109933e-06,6.738362323837981e-05,6.700930931580936e-05,-0.1978432023468349,1.4138310163025025,1.3999200726984797,-0.19783610973478077,1.413849217202352,1.3999394567868682,4.766030909026432e-05,False,0.006267994283901013,-18.52844947564269,25.480146024318675,-18.528445038365263,25.482364261713293,31,7225344,4.290453160430839e-06,5.6831364313009385e-05,6.565554641112947e-05,7.917596774392009e-05,4.066649852436576e-05,4.652263960064266e-05,5.499698801283647e-05,
conv3,baseline,best_validation,negative,post_T_free,Layer_4,4,LinearLayer,20,8,8,10,10.0,0,24,36,11520,-2.4300149209794178e-06,0.002043822224209495,0.002043820779618441,-0.16420675692752482,0.35085425129236303,0.3100561991466538,-0.1642091869424458,0.35084229670867106,0.3100413844690996,0.005825274217659116,False,0.024886919383331235,-1.515565477523839,1.134560430801881,-1.5146969436832032,1.1358379740289308,0,0,,0.001458221854134485,0.001956914423831566,0.002753913788858364,0.0034157766695313663,0.005929387622419772,0.008790451150094641,
