architecture,scheme,checkpoint_role,T,K,injected_beta,base_beta,layer_index,state_layer_name,phase,raw_rms,controlled_rms,zero_drift_rms,raw_to_control_ratio,drift_to_control_ratio,response_over_max_T_response,max_reference_T,free_state_rms,free_state_mean,batch_median_drift_to_control,batch_p95_drift_to_control,batch_max_drift_to_control,source_checkpoint_epoch
conv3,baseline,reconstructed_initialization,8,8,10,10.0,1,Layer_1,positive,5.157907005234744e-07,4.869232673422072e-07,1.5450637828753e-07,1.0592853846127246,0.31731155327794947,1.0000000003170204,24,6.826719199606973,-0.004508314883246681,0.3172604758164524,0.39972856573583476,0.4219073319864924,0
conv3,baseline,reconstructed_initialization,8,8,10,10.0,1,Layer_1,negative,5.058765969195998e-07,4.869960063623457e-07,1.5450637828753e-07,1.0387694977178232,0.317264158779509,1.00000000035395,24,6.826719199606973,-0.004508314883246681,0.3170560268399792,0.3990735133371571,0.4236571370413316,0
conv3,baseline,reconstructed_initialization,8,8,10,10.0,2,Layer_2,positive,2.282626802893167e-06,2.279193158296582e-06,8.849344263483086e-08,1.0015065175955298,0.03882665333243142,1.0000000003297493,24,0.10356550182031002,-0.002770012027422058,0.03853279497608465,0.04904456805217596,0.05394147042262528,0
conv3,baseline,reconstructed_initialization,8,8,10,10.0,2,Layer_2,negative,2.2792996906931e-06,2.279320112949565e-06,8.849344263483086e-08,0.9999910401981936,0.03882449074707436,1.000000000333385,24,0.10356550182031002,-0.002770012027422058,0.03860628139119969,0.04901692615544156,0.054039914660736016,0
conv3,baseline,reconstructed_initialization,8,8,10,10.0,3,Layer_3,positive,0.00012006246800332619,0.00012006209807450622,1.8765421044489025e-07,1.000003081145723,0.0015629762718992201,1.0000000002735643,24,0.023221972770939844,0.001651818913196245,0.0015393041324785063,0.0019782096996763545,0.0022353923705558634,0
conv3,baseline,reconstructed_initialization,8,8,10,10.0,3,Layer_3,negative,0.00012006305955096405,0.00012006313920114835,1.8765421044489025e-07,0.99999933659752,0.0015629627185617966,1.0000000002736038,24,0.023221972770939844,0.001651818913196245,0.0015393283085094673,0.0019780417882016127,0.0022350567223955674,0
conv3,baseline,reconstructed_initialization,8,8,10,10.0,4,Layer_4,positive,0.11277350149678303,0.11277350149049778,1.2232479846964585e-07,1.0000000000557334,1.0846945146945966e-06,1.0000000002636729,24,0.006000413186499233,0.0016865544716013643,1.0648153622770255e-06,1.37752005659441e-06,1.5552842096506786e-06,0
conv3,baseline,reconstructed_initialization,8,8,10,10.0,4,Layer_4,negative,0.11277350179289496,0.11277350179904881,1.2232479846964585e-07,0.9999999999454318,1.084694511726846e-06,1.0000000002636729,24,0.006000413186499233,0.0016865544716013643,1.0648153939453373e-06,1.3775199811969607e-06,1.5552841703396866e-06,0
conv3,baseline,best_validation,8,8,10,10.0,1,Layer_1,positive,0.00010280711700102205,4.579751759223113e-07,0.0001027952926748723,224.48185492582627,224.45603622042168,1.000009151049993,24,49.78721267908931,-2.872681586146716,246.99243870271033,331.5433764208668,377.4626941754719,24
conv3,baseline,best_validation,8,8,10,10.0,1,Layer_1,negative,0.0001027855141528139,4.57980686579637e-07,0.0001027952926748723,224.43198406564423,224.45333545085532,1.0000091461334382,24,49.78721267908931,-2.872681586146716,246.992438718475,331.55474586663934,377.46565172293015,24
conv3,baseline,best_validation,8,8,10,10.0,2,Layer_2,positive,8.108191588543769e-05,2.4431620132691696e-06,8.10073750821729e-05,33.1872857571745,33.15677578572768,1.0000088953654265,24,20.536632824587155,-0.8164320742853338,35.57969454129022,48.65475285912605,56.7604263393975,24
conv3,baseline,best_validation,8,8,10,10.0,2,Layer_2,negative,8.100650779656795e-05,2.4431829365593913e-06,8.10073750821729e-05,33.15613685099047,33.156491832843024,1.0000088920012047,24,20.536632824587155,-0.8164320742853338,35.57969454250027,48.65599098399636,56.76166365044412,24
conv3,baseline,best_validation,8,8,10,10.0,3,Layer_3,positive,6.77910089577688e-05,4.499280910777189e-05,5.0434963806859665e-05,1.5067076339996481,1.1209560995858718,1.0000065414780912,24,1.4138310163025025,-0.1978432023468349,1.1543172261691241,1.6176346100633447,1.685428481088923,24
conv3,baseline,best_validation,8,8,10,10.0,3,Layer_3,negative,6.738362323837981e-05,4.499379786878279e-05,5.0434963806859665e-05,1.4976202594609453,1.1209314660199428,1.0000065408408276,24,1.4138310163025025,-0.1978432023468349,1.1543170335834136,1.6176388301474072,1.6854286620045957,24
conv3,baseline,best_validation,8,8,10,10.0,4,Layer_4,positive,0.0020446736257320693,0.002044177812822123,1.688125732688488e-05,1.0002425488168576,0.008258213752735721,1.00000518790276,24,0.35085425129236303,-0.16420675692752482,0.00862283865426856,0.012554160585455887,0.012901593583087926,24
