architecture,scheme,checkpoint_role,T,phase,reference_kind,state_layer_name,K,layer_index,injected_beta,base_beta,model_seed,source_checkpoint_epoch,batch_count,element_count,delta_mean,delta_rms,delta_std,reference_mean,reference_rms,reference_std,current_mean,current_rms,current_std,relative_displacement,reference_norm_zero,max_abs_delta,reference_min,reference_max,current_min,current_max,active_set_transition_count,constrained_element_count,active_set_transition_fraction,batch_p05_delta_rms,batch_median_delta_rms,batch_p95_delta_rms,batch_p05_relative,batch_median_relative,batch_p95_relative
conv3,baseline,reconstructed_initialization,8,zero,post_T_free,Layer_1,8,1,10,10.0,0,0,36,7225344,5.965184888222689e-08,1.5450637828753e-07,1.4252676189565695e-07,-0.004508314883246681,6.826719199606973,6.826717710977904,-0.00450825523139779,6.826719202548927,6.82671771395925,2.263259609336579e-08,False,1.2184492579336847e-06,-81.45423947016056,102.1270560005805,-81.45423929588338,102.12705649728372,0,7225344,0.0,1.1724420272004683e-07,1.5206963143312804e-07,1.950884657032775e-07,1.764346831070317e-08,2.226069192258155e-08,2.790082856353125e-08
conv3,baseline,reconstructed_initialization,8,zero,post_T_free,Layer_2,8,2,10,10.0,0,0,36,3612672,3.391398737569845e-08,8.849344263483086e-08,8.173696134335475e-08,-0.002770012027422058,0.10356550182031002,0.10352845116517766,-0.002769978113434683,0.10356552299447595,0.10352847325431984,8.544683420582489e-07,False,5.618399221141157e-07,-0.6677613826114186,1.2247015959344933,-0.6677614090703836,1.2247018823907942,0,3612672,0.0,6.699299140799551e-08,8.705292839613575e-08,1.1200013794293303e-07,6.698607826539665e-07,8.46403719488109e-07,1.045280503477922e-06
conv3,baseline,reconstructed_initialization,8,zero,post_T_free,Layer_3,8,3,10,10.0,0,0,36,7225344,6.97466506729225e-08,1.8765421044489025e-07,1.7421110015611658e-07,0.001651818913196245,0.023221972770939844,0.023163149907822957,0.001651888659846918,0.02322207831485842,0.02316325074588813,8.08089012487872e-06,False,1.292706122479892e-06,-0.05510479523879231,0.1802588818881602,-0.05510467526221085,0.18026002573150918,6,7225344,8.304102891156462e-07,1.4193206314417892e-07,1.8434768000759644e-07,2.376645337133594e-07,6.617297580216363e-06,7.968466479939163e-06,9.483322027175265e-06
conv3,baseline,reconstructed_initialization,8,zero,post_T_free,Layer_4,8,4,10,10.0,0,0,36,11520,6.981448074757382e-08,1.2232479846964585e-07,1.0044548072753754e-07,0.0016865544716013643,0.006000413186499233,0.0057585147757937835,0.001686624286082112,0.006000528560825694,0.005758614549254262,2.0386062537305484e-05,False,3.512619995288402e-07,-0.011807429201789257,0.01828102135487951,-0.011807589559502016,0.018281367792892817,0,0,,9.15930294755507e-08,1.1996925859985136e-07,1.5547678690563307e-07,1.7894638786940724e-05,2.0678401635385378e-05,2.2422453787255185e-05
conv3,baseline,reconstructed_initialization,8,negative,post_T_free,Layer_1,8,1,10,10.0,0,0,36,7225344,4.83334789061913e-08,5.058765969195998e-07,5.035623160322662e-07,-0.004508314883246681,6.826719199606973,6.826717710977904,-0.004508266549767757,6.8267192006006825,6.826717712003531,7.410244688967492e-08,False,3.862325535730626e-06,-81.45423947016056,102.1270560005805,-81.45423909117558,102.12705684585048,0,7225344,0.0,4.519913713618313e-07,5.044793158164326e-07,5.55715508847152e-07,6.52886470741228e-08,7.413989996298816e-08,8.184814193701441e-08
conv3,baseline,reconstructed_initialization,8,negative,post_T_free,Layer_2,8,2,10,10.0,0,0,36,3612672,1.7185393852903104e-09,2.2792996906931e-06,2.2792990428234825e-06,-0.002770012027422058,0.10356550182031002,0.10352845116517766,-0.0027700103088826727,0.10356545300013274,0.10352840237350999,2.2008290894469564e-05,False,1.5381179726867145e-05,-0.6677613826114186,1.2247015959344933,-0.6677617371526257,1.2246967649832745,22,3612672,6.0896754535147395e-06,2.1992726530553045e-06,2.2801618145574887e-06,2.350102005155098e-06,2.0331862290734203e-05,2.2052174560049844e-05,2.3551984926321835e-05
conv3,baseline,reconstructed_initialization,8,negative,post_T_free,Layer_3,8,3,10,10.0,0,0,36,7225344,-9.101702502620666e-08,0.00012006305955096405,0.00012006302505200964,0.001651818913196245,0.023221972770939844,0.023163149907822957,0.0016517278961712188,0.023222062078775144,0.023163245932888946,0.0051702351361470845,False,0.00041409002590856933,-0.05510479523879231,0.1802588818881602,-0.05510840992163148,0.1804298473715024,8317,7225344,0.0011510870624291383,0.00011965787001599659,0.00012004087647285307,0.00012053031262783398,0.004702417214936843,0.005203242543445464,0.005742234332707765
conv3,baseline,reconstructed_initialization,8,negative,post_T_free,Layer_4,8,4,10,10.0,0,0,36,11520,-4.921416811113017e-05,0.11277350179289496,0.11277349105440401,0.0016865544716013643,0.006000413186499233,0.0057585147757937835,0.0016373403034902342,0.11292319634370775,0.11291132533634586,18.79428937437713,False,0.36631344642440034,-0.011807429201789257,0.01828102135487951,-0.37124370726819556,0.383467737768761,0,0,,0.11244777651657209,0.1127632778729904,0.11309961606557828,14.128672450862098,18.948148959685035,25.220539954479314
conv3,baseline,reconstructed_initialization,8,negative,matched_zero_K,Layer_1,8,1,10,10.0,0,0,36,7225344,-1.1318369976035596e-08,4.869960063623457e-07,4.86864462364999e-07,-0.00450825523139779,6.826719202548927,6.82671771395925,-0.004508266549767757,6.8267192006006825,6.826717712003531,7.133675663421363e-08,False,3.2770314110086574e-06,-81.45423929588338,102.12705649728372,-81.45423909117558,102.12705684585048,0,7225344,0.0,4.4574331485698466e-07,4.880143362606756e-07,5.221393038117197e-07,6.552481778225255e-08,7.055591473876593e-08,7.941991252953411e-08
conv3,baseline,reconstructed_initialization,8,negative,matched_zero_K,Layer_2,8,2,10,10.0,0,0,36,3612672,-3.2195447990408135e-08,2.279320112949565e-06,2.279092720892486e-06,-0.002769978113434683,0.10356552299447595,0.10352847325431984,-0.0027700103088826727,0.10356545300013274,0.10352840237350999,2.2008483586484096e-05,False,1.5481054912704073e-05,-0.6677614090703836,1.2247018823907942,-0.6677617371526257,1.2246967649832745,22,3612672,6.0896754535147395e-06,2.2025376452369238e-06,2.283064551262947e-06,2.3463435169984784e-06,2.035050004364401e-05,2.2059230499666913e-05,2.3579624886231826e-05
