architecture,scheme,T,K,injected_beta,base_beta,roles,source_run,best_epoch,initializer,initializer_sha256,best_checkpoint_sha256,result,result_sha256,gradient_pass,equilibrium_pass
conv3,baseline,8,8,10,10.0,reconstructed_initialization;best_validation,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv3/baseline/seed0,24,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv3/seed0.pt,5e5782bd9bf166b8a432cbf283d745ffe4d25fe4a69ed656f14f9e7e9407392f,2dcbcdb7af95879f65e0a984dd6680702df50645ba0c61a01c371623e17bb794,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T8/result.json,dc7db15705d7317959236440a39c521e2634b69f3327c9c56d33d44bbd0d4115,True,False
conv3,legacy,8,8,0.001,2.44140625e-07,reconstructed_initialization;best_validation,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv3/legacy/seed0,27,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv3/seed0.pt,5e5782bd9bf166b8a432cbf283d745ffe4d25fe4a69ed656f14f9e7e9407392f,3518c36e1767d650fc24d789fa3947f4fa28510a1c6c980573917b882b639042,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T8/result.json,922b1827799797f89dc3b01e444c0113fa2de17f9a16becab0d7b6215778d885,True,True
conv2,legacy,6,6,0.03,0.0001171875,reconstructed_initialization,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv2/legacy/seed0,24,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv2/seed0.pt,7717c90d3a7daa6fd9e848469013525beb36d549e39077873c55e0c3ab62aec0,66a377f2daf46395394a2b95c80466197ea321a085fc7640ab15dfee68cfb133,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T6_v2/result.json,592cb765bee1dde3f8f478f684935fe751193261291d37c2ebc70b53e3966112,True,True
conv3,baseline,10,8,10,10.0,reconstructed_initialization;best_validation,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv3/baseline/seed0,24,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv3/seed0.pt,5e5782bd9bf166b8a432cbf283d745ffe4d25fe4a69ed656f14f9e7e9407392f,2dcbcdb7af95879f65e0a984dd6680702df50645ba0c61a01c371623e17bb794,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T10/result.json,6cc5691a19e3b0713efffb50c54b9d55758a7c94a9a8ecb8dd79a437969c1d53,True,False
conv3,legacy,10,8,0.001,2.44140625e-07,reconstructed_initialization;best_validation,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv3/legacy/seed0,27,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv3/seed0.pt,5e5782bd9bf166b8a432cbf283d745ffe4d25fe4a69ed656f14f9e7e9407392f,3518c36e1767d650fc24d789fa3947f4fa28510a1c6c980573917b882b639042,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T10/result.json,61172799fa2ff9f363f006ea3fd9215183a22b19cbd5bccdf264b143a0f11d1c,True,True
conv2,legacy,8,6,0.03,0.0001171875,reconstructed_initialization,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv2/legacy/seed0,24,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv2/seed0.pt,7717c90d3a7daa6fd9e848469013525beb36d549e39077873c55e0c3ab62aec0,66a377f2daf46395394a2b95c80466197ea321a085fc7640ab15dfee68cfb133,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T8_v2/result.json,eba35b0cb915a5ed168ee3006d3e674a5cab4f3e07471a543e8f4ec600975ba1,True,True
conv3,baseline,12,8,10,10.0,reconstructed_initialization;best_validation,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv3/baseline/seed0,24,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv3/seed0.pt,5e5782bd9bf166b8a432cbf283d745ffe4d25fe4a69ed656f14f9e7e9407392f,2dcbcdb7af95879f65e0a984dd6680702df50645ba0c61a01c371623e17bb794,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T12/result.json,f97156d0d548a014e095541525df82d506faa569e4f31f17e3b2df1270b37c93,True,True
conv3,legacy,12,8,0.001,2.44140625e-07,reconstructed_initialization;best_validation,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv3/legacy/seed0,27,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv3/seed0.pt,5e5782bd9bf166b8a432cbf283d745ffe4d25fe4a69ed656f14f9e7e9407392f,3518c36e1767d650fc24d789fa3947f4fa28510a1c6c980573917b882b639042,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T12/result.json,403bf873bca4e747f9e0767c3a8d493092341bcc10a7e6702f5903623132dfb6,True,True
conv2,legacy,10,6,0.03,0.0001171875,reconstructed_initialization,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv2/legacy/seed0,24,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv2/seed0.pt,7717c90d3a7daa6fd9e848469013525beb36d549e39077873c55e0c3ab62aec0,66a377f2daf46395394a2b95c80466197ea321a085fc7640ab15dfee68cfb133,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv2_legacy_seed0_T10_v2/result.json,612925e9464ca60820b8042818f95f687d600e78b499397a20a201f23e1357d5,True,True
conv3,baseline,16,8,10,10.0,reconstructed_initialization;best_validation,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/paper_ready_results/bundles/table1_wide_bptt/conv3/baseline/seed0,24,/home/filip/server_code_conv_learning_rate_protocol/.codex/worktrees/lean-experiment-workflow/results/paper-training-completion-20260911-v1/assets/wide_kaiming/conv3/seed0.pt,5e5782bd9bf166b8a432cbf283d745ffe4d25fe4a69ed656f14f9e7e9407392f,2dcbcdb7af95879f65e0a984dd6680702df50645ba0c61a01c371623e17bb794,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_baseline_seed0_T16/result.json,fcea3f08af12802947efc3888642785d4bb29cf9a1a8e06c133d950cffadfd99,True,True
