architecture,base_beta,case,clean_result,config,config_sha256,epochs,injected_beta,scheme,seed,sigma,status,target,collected_result,best_validation_percent,final_validation_percent,best_drop_pp,final_drop_pp,noise_stream_group,pack_directory,previous_planned_target,replaces_pack_directory
conv1,7.5,RN_conv1_ours_sigma1em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_ours_sigma1em5_seed0.json,478b38a289b0c336d992e4e6ac7f2fce4cb21a02b58b54e2101fd275b2c8ace7,10,30.0,ours,0,1e-05,complete_collected_validated,trex,bundles/read_noise_20260914/conv1/ours/sigma_1e-05/seed0/result.json,96.44,96.34,-0.02,0.00,rtx5090_torch2.11_cuda12.8,production/trex,,
conv1,7.5,RN_conv1_ours_sigma3em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_ours_sigma3em5_seed0.json,438582347359c6712d08d5d19f35db3b66824835b37abaa378afb9f851a2c57e,10,30.0,ours,0,3e-05,complete_collected_validated,nom-cool-1,bundles/read_noise_20260914/conv1/ours/sigma_3e-05/seed0/result.json,96.44,96.30,-0.02,0.04,rtx3090_torch2.5.1_cuda12.1,production/nom-cool-1,,
conv1,7.5,RN_conv1_ours_sigma1em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_ours_sigma1em4_seed0.json,89da6da941fa09f35de49dbff782a780b289893ddb2cef34abf34952077f8fc9,10,30.0,ours,0,0.0001,complete_collected_validated,fifi,bundles/read_noise_20260914/conv1/ours/sigma_0.0001/seed0/result.json,96.40,96.34,0.02,0.00,rtx5090_torch2.11_cuda12.8,production/fifi,,
conv1,7.5,RN_conv1_ours_sigma3em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_ours_sigma3em4_seed0.json,7f1c0f63500da4108efcfbf537dfe1b01d660d5d5448157e22c77016ad33d256,10,30.0,ours,0,0.0003,complete_collected_validated,akibscomputer,bundles/read_noise_20260914/conv1/ours/sigma_0.0003/seed0/result.json,96.44,96.30,-0.02,0.04,rtx3080_torch2.5.1_cuda12.1,production/continuation_20260915/akibscomputer/01_RN_conv1_ours_sigma3em4_seed0,,
conv1,7.5,RN_conv1_ours_sigma5em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_ours_sigma5em4_seed0.json,a037b4105de96ede820e1d6645936036d4f65a3941dc2eef4e62e3f41b58ae65,10,30.0,ours,0,0.0005,complete_collected_validated,loulou,bundles/read_noise_20260914/conv1/ours/sigma_0.0005/seed0/result.json,96.50,96.28,-0.08,0.06,rtx5090_torch2.11_cuda12.8,production/loulou,,
conv1,0.1875,RN_conv1_legacy_sigma1em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_legacy_sigma1em5_seed0.json,28c20adf0a2e8c2131d7b8a3c82abe8a88c9e4d749a0a47a4e805d04a10c5531,10,3.0,legacy,0,1e-05,complete_collected_validated,trex,bundles/read_noise_20260914/conv1/legacy/sigma_1e-05/seed0/result.json,96.52,96.40,-0.04,0.04,rtx5090_torch2.11_cuda12.8,production/trex,,
conv1,0.1875,RN_conv1_legacy_sigma3em5_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_legacy_sigma3em5_seed0.json,fc8ac24783bb4b978daf87f2153836b33e8b141dff8634f15df100fa8d87dd32,10,3.0,legacy,0,3e-05,complete_collected_validated,nom-cool-1,bundles/read_noise_20260914/conv1/legacy/sigma_3e-05/seed0/result.json,96.50,96.40,-0.02,0.04,rtx3090_torch2.5.1_cuda12.1,production/continuation_20260915/nom-cool-1/01_RN_conv1_legacy_sigma3em5_seed0,nom-cool-1,
conv1,0.1875,RN_conv1_legacy_sigma1em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_legacy_sigma1em4_seed0.json,e7b7d3552a40042c30c04a4520cd74218091844e0d0671bceaa96641948ea21a,10,3.0,legacy,0,0.0001,complete_collected_validated,fifi,bundles/read_noise_20260914/conv1/legacy/sigma_0.0001/seed0/result.json,96.56,96.40,-0.08,0.04,rtx5090_torch2.11_cuda12.8,production/fifi,,
conv1,0.1875,RN_conv1_legacy_sigma3em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_legacy_sigma3em4_seed0.json,2331a0ac0fe6baf185f8b4066a9b1baef13cb084b56a3ae862d870ebb48dd203,10,3.0,legacy,0,0.0003,complete_collected_validated,akibscomputer,bundles/read_noise_20260914/conv1/legacy/sigma_0.0003/seed0/result.json,96.52,96.36,-0.04,0.08,rtx3080_torch2.5.1_cuda12.1,production/continuation_20260915/akibscomputer/02_RN_conv1_legacy_sigma3em4_seed0,,
conv1,0.1875,RN_conv1_legacy_sigma5em4_seed0,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0/result.json,configs/conv/eqprop_read_noise_20260914_v1/RN_conv1_legacy_sigma5em4_seed0.json,13357add4b45df40defc206957057e88bf4ec6fe830799ce44a448fca429aa7f,10,3.0,legacy,0,0.0005,complete_collected_validated,loulou,bundles/read_noise_20260914/conv1/legacy/sigma_0.0005/seed0/result.json,96.48,96.38,0.00,0.06,rtx5090_torch2.11_cuda12.8,production/loulou,,
