table,block,architecture,algorithm,optimizer,scheme,voltage_amp,current_amp,model_seed,shuffle_seed,split_seed,G_min,G_max,epochs,T,K,planned_action,prelaunch_dependency,source_result_or_completion_record,template_or_parent_config,cell_id,original_planned_action,training_status,paper_status,official_test_status,collected_result,source_result_sha256,best_validation_accuracy_percent,final_validation_accuracy_percent,completed_epochs,source_evidence_class,source_target,future_target_and_job,source_commit,source_archive_sha256,official_test_read,last_checked
table3,T3_EP,conv2,EP,Adam,baseline,1,1,0,0,0,0.00001,0.0001,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/00_wmax_1em4_baseline_adam.json,T3_EP_conv2_baseline_gmax0.0001_seed0,launch_new_bounded_ep,held_numerical_gate_ladder_exhausted,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,1,1,0,0.00001,0.0001,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/00_wmax_1em4_baseline_adam.json,T3_EP_conv2_baseline_gmax0.0001_seed1,launch_new_bounded_ep,held_no_common_qualified_beta,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,2,2,0,0.00001,0.0001,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/00_wmax_1em4_baseline_adam.json,T3_EP_conv2_baseline_gmax0.0001_seed2,launch_new_bounded_ep,held_no_common_qualified_beta,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,0,0,0,0.00001,0.0005,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/03_wmax_5em4_baseline_adam.json,T3_EP_conv2_baseline_gmax0.0005_seed0,launch_new_bounded_ep,held_numerical_gate_ladder_exhausted,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,1,1,0,0.00001,0.0005,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/03_wmax_5em4_baseline_adam.json,T3_EP_conv2_baseline_gmax0.0005_seed1,launch_new_bounded_ep,held_no_common_qualified_beta,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,2,2,0,0.00001,0.0005,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/03_wmax_5em4_baseline_adam.json,T3_EP_conv2_baseline_gmax0.0005_seed2,launch_new_bounded_ep,held_no_common_qualified_beta,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,0,0,0,0.00001,0.001,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/06_wmax_1em3_baseline_adam.json,T3_EP_conv2_baseline_gmax0.001_seed0,launch_new_bounded_ep,held_numerical_gate_ladder_exhausted,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,1,1,0,0.00001,0.001,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/06_wmax_1em3_baseline_adam.json,T3_EP_conv2_baseline_gmax0.001_seed1,launch_new_bounded_ep,held_no_common_qualified_beta,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv2,EP,Adam,baseline,1,1,2,2,0,0.00001,0.001,30,6,6,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv2/06_wmax_1em3_baseline_adam.json,T3_EP_conv2_baseline_gmax0.001_seed2,launch_new_bounded_ep,held_no_common_qualified_beta,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
table3,T3_EP,conv3,EP,Adam,baseline,1,1,0,0,0,0.00001,0.0001,30,8,8,launch_new_bounded_ep,authorized_larger_TK_diagnostic_running; numerical_qualification_and_full_seed0_group_required,,configs/conv/perfectdiode-conv123-fixed-uniform-init-wmax-adam-10-30-30ep-seed0-20260814-v1/conv3/00_wmax_1em4_baseline_adam.json,T3_EP_conv3_baseline_gmax0.0001_seed0,launch_new_bounded_ep,held_numerical_and_equilibrium_gate_ladder_exhausted,training_and_paper_gates_pending,pending_contract_and_checkpoint_seal,,,,,,,,,,,,2026-09-13T21:28:21.504561+00:00
