epoch,layer_index,state_layer,kind,element_count,pooled_rms,signed_mean
0,0,H1,centered_halfspan,7225344,4.867051466653273e-07,1.1180217493848759e-08
0,0,H1,negative_minus_free,7225344,5.058765969195998e-07,4.83334789061913e-08
0,0,H1,negative_minus_matched_zero,7225344,4.869960063623457e-07,-1.1318369976035596e-08
0,0,H1,positive_minus_free,7225344,5.157907005234744e-07,7.069391389388881e-08
0,0,H1,positive_minus_matched_zero,7225344,4.869232673422072e-07,1.1042065011661921e-08
0,0,H1,zero_nudge_drift,7225344,1.5450637828753e-07,5.965184888222689e-08
0,1,H2,centered_halfspan,3612672,2.2782017124197124e-06,3.188167146091416e-08
0,1,H2,negative_minus_free,3612672,2.2792996906931e-06,1.7185393852903094e-09
0,1,H2,negative_minus_matched_zero,3612672,2.279320112949565e-06,-3.2195447990408135e-08
0,1,H2,positive_minus_free,3612672,2.282626802893167e-06,6.548188230711863e-08
0,1,H2,positive_minus_matched_zero,3612672,2.279193158296582e-06,3.156789493142018e-08
0,1,H2,zero_nudge_drift,3612672,8.849344263483086e-08,3.391398737569845e-08
0,2,H3,centered_halfspan,7225344,0.00012001268260192949,1.5964169831221474e-07
0,2,H3,negative_minus_free,7225344,0.00012006305955096405,-9.101702502620667e-08
0,2,H3,negative_minus_matched_zero,7225344,0.00012006313920114835,-1.6076367569912917e-07
0,2,H3,positive_minus_free,7225344,0.00012006246800332619,2.2826637159822285e-07
0,2,H3,positive_minus_matched_zero,7225344,0.00012006209807450622,1.5851972092530036e-07
0,2,H3,zero_nudge_drift,7225344,1.8765421044489025e-07,6.97466506729225e-08
0,3,Output,centered_halfspan,11520,0.11277350164475836,4.928314374410848e-05
0,3,Output,negative_minus_free,11520,0.11277350179289496,-4.9214168111130194e-05
0,3,Output,negative_minus_matched_zero,11520,0.11277350179904883,-4.928398259187779e-05
0,3,Output,positive_minus_free,11520,0.11277350149678303,4.935211937708645e-05
0,3,Output,positive_minus_matched_zero,11520,0.11277350149049778,4.928230489633912e-05
0,3,Output,zero_nudge_drift,11520,1.2232479846964585e-07,6.981448074757382e-08
30,0,H1,centered_halfspan,7225344,4.0732768116391934e-07,-1.7146789620055702e-09
30,0,H1,negative_minus_free,7225344,0.00011785216493711621,5.022541857289751e-06
30,0,H1,negative_minus_matched_zero,7225344,4.072983938588079e-07,1.7247446878208621e-09
30,0,H1,positive_minus_free,7225344,0.00011785253419217993,5.01911249936574e-06
30,0,H1,positive_minus_matched_zero,7225344,4.0736993420901967e-07,-1.7046132361902782e-09
30,0,H1,zero_nudge_drift,7225344,0.00011785163846946434,5.02081711260193e-06
30,1,H2,centered_halfspan,3612672,2.119448835703432e-06,2.5197748873267673e-09
30,1,H2,negative_minus_free,3612672,9.410552313995763e-05,1.332683833107534e-05
30,1,H2,negative_minus_matched_zero,3612672,2.1193750651969268e-06,-2.465143744067826e-09
30,1,H2,positive_minus_free,3612672,9.41037619230073e-05,1.3331877880849995e-05
30,1,H2,positive_minus_matched_zero,3612672,2.1195603271906614e-06,2.5744060305857083e-09
30,1,H2,zero_nudge_drift,3612672,9.408074533668982e-05,1.3329303474819409e-05
30,2,H3,centered_halfspan,7225344,3.970799144492541e-05,2.4292646012172483e-08
30,2,H3,negative_minus_free,7225344,6.731236996149484e-05,7.833232414625391e-06
30,2,H3,negative_minus_matched_zero,7225344,3.970802129294863e-05,-2.4164445792416425e-08
30,2,H3,positive_minus_free,7225344,6.734288576673437e-05,7.881817706649738e-06
30,2,H3,positive_minus_matched_zero,7225344,3.970882534384977e-05,2.4420846231928525e-08
30,2,H3,zero_nudge_drift,7225344,5.4371364180738976e-05,7.857396860417809e-06
30,3,Output,centered_halfspan,11520,0.0018453939190728665,-4.155301035251784e-06
30,3,Output,negative_minus_free,11520,0.0018454650474418735,1.7667494952201236e-05
30,3,Output,negative_minus_matched_zero,11520,0.001845392527796194,4.155759069260864e-06
30,3,Output,positive_minus_free,11520,0.0018455024662497425,9.356892881697666e-06
30,3,Output,positive_minus_matched_zero,11520,0.001845395310665479,-4.154843001242707e-06
30,3,Output,zero_nudge_drift,11520,1.8208893474955475e-05,1.3511735882940374e-05
