epoch,estimator,layer_index,parameter,gradient_l2_n_defined,gradient_l2_mean,gradient_l2_median,gradient_l2_p10,gradient_l2_p90,gradient_l2_std,gradient_rms_n_defined,gradient_rms_mean,gradient_rms_median,gradient_rms_p10,gradient_rms_p90,gradient_rms_std,abs_le_1e_minus12_fraction_n_defined,abs_le_1e_minus12_fraction_mean,abs_le_1e_minus12_fraction_median,abs_le_1e_minus12_fraction_p10,abs_le_1e_minus12_fraction_p90,abs_le_1e_minus12_fraction_std,exact_zero_fraction_n_defined,exact_zero_fraction_mean,exact_zero_fraction_median,exact_zero_fraction_p10,exact_zero_fraction_p90,exact_zero_fraction_std,norm_relative_to_initial_n_defined,norm_relative_to_initial_mean,norm_relative_to_initial_median,norm_relative_to_initial_p10,norm_relative_to_initial_p90,norm_relative_to_initial_std,cosine_to_initial_same_batch_n_defined,cosine_to_initial_same_batch_mean,cosine_to_initial_same_batch_median,cosine_to_initial_same_batch_p10,cosine_to_initial_same_batch_p90,cosine_to_initial_same_batch_std,relative_l2_error_to_initial_n_defined,relative_l2_error_to_initial_mean,relative_l2_error_to_initial_median,relative_l2_error_to_initial_p10,relative_l2_error_to_initial_p90,relative_l2_error_to_initial_std
0,bptt,0,ConvWeight_0,36,0.001485342798524396,0.0011995501479382322,0.0008006429835020026,0.0025768215714323094,0.0007351228706475169,36,4.376233188430018e-05,3.5342085165852094e-05,2.3589170122653968e-05,7.592033362781506e-05,2.1658765285007516e-05,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,0.9999999999999998,1.0000000000000002,1.6359988866132706e-16,36,0.0,0.0,0.0,0.0,0.0
0,bptt,1,ConvWeight_1,36,0.0007622751483832573,0.0007368585064259206,0.0006619072658954753,0.000930330318270285,0.00011456237700958134,36,2.8073433674572026e-06,2.7137377430664567e-06,2.4377037303715516e-06,3.4262649832935294e-06,4.21915800272525e-07,36,1.1302806712962962e-06,0.0,0.0,0.0,3.8018928397717825e-06,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,0.9999999999999999,1.0000000000000002,1.3790280104688941e-16,36,0.0,0.0,0.0,0.0,0.0
0,bptt,2,ConvWeight_2,36,0.0014260671431390469,0.0014339965922142315,0.0012750163907438914,0.0015446009999948022,0.00010006042166229244,36,2.625994133700383e-06,2.6405956108153214e-06,2.347845666716152e-06,2.844265211780852e-06,1.8425365282758413e-07,36,1.8838011188271604e-07,0.0,0.0,0.0,7.877288280765896e-07,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,0.9999999999999999,1.0000000000000002,1.4536231567507431e-16,36,0.0,0.0,0.0,0.0,0.0
0,bptt,3,DenseWeight_0,36,0.04740498375965716,0.04720276307213657,0.04247554518997594,0.05331105093882808,0.004185312610456087,36,9.464354121327406e-05,9.423980978135195e-05,8.480197002334858e-05,0.00010643494093854784,8.355931700059738e-06,36,2.3251488095238097e-06,0.0,0.0,7.971938775510205e-06,4.194071116144382e-06,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,0.9999999999999999,1.0000000000000002,1.3136335981433191e-16,36,0.0,0.0,0.0,0.0,0.0
0,eqprop,0,ConvWeight_0,36,0.001483834361405036,0.0012117125548182562,0.0007920998565143669,0.002571292752050006,0.0007315736836289983,36,4.3717889129462976e-05,3.570042351503606e-05,2.3337465829925005e-05,7.575743922459913e-05,2.1554196359653608e-05,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,1.0,1.0000000000000002,1.4414587323765566e-16,36,0.0,0.0,0.0,0.0,0.0
0,eqprop,1,ConvWeight_1,36,0.0007620216980846043,0.0007370477106014828,0.0006616653046970971,0.0009348887939661698,0.00011402934572823151,36,2.8064099485776663e-06,2.714434553251711e-06,2.4368126240998984e-06,3.4430531555666237e-06,4.199527271807177e-07,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,0.9999999999999998,1.0000000000000002,1.32697032177375e-16,36,0.0,0.0,0.0,0.0,0.0
0,eqprop,2,ConvWeight_2,36,0.0014254597576180755,0.0014324457019879284,0.001274247555050358,0.0015436140548217257,0.00010006364730621244,36,2.624875679479879e-06,2.6377397644718456e-06,2.346429914287726e-06,2.8424478273419413e-06,1.8425959260542144e-07,36,5.651403356481482e-07,0.0,0.0,3.3908420138888887e-06,1.5164306488035683e-06,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,0.9999999999999999,1.0000000000000002,1.18687833744435e-16,36,0.0,0.0,0.0,0.0,0.0
0,eqprop,3,DenseWeight_0,36,0.04740505702679094,0.047202869140592685,0.0424755884506401,0.053311107281886816,0.004185307579119113,36,9.464368749032019e-05,9.4240021545886e-05,8.480205639280021e-05,0.00010643505342685977,8.355921655049475e-06,36,2.2144274376417234e-06,0.0,0.0,7.971938775510205e-06,3.3612645197367984e-06,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,1.0,1.0,0.9999999999999998,1.0000000000000002,1.2448085020131129e-16,36,0.0,0.0,0.0,0.0,0.0
30,bptt,0,ConvWeight_0,36,0.0015106990999586246,0.0013156382090347936,0.0007674876275250157,0.0025154673990528753,0.0007181033209343375,36,4.45093990797149e-05,3.876236246652613e-05,2.2612321079154746e-05,7.411266898849898e-05,2.1157321992718737e-05,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.2170938434815874,1.009672577730988,0.4497027968862243,2.0623617706109467,0.8410563764343065,36,-0.035945032798262395,-0.1040137562601728,-0.3608713244937123,0.3403006611525419,0.2929014123883461,36,1.6373286358212744,1.4782039425225273,1.0984829930116824,2.1975815169017725,0.7367412354078484
30,bptt,1,ConvWeight_1,36,0.008602799937579788,0.008126144751964624,0.005406623832033096,0.012445486722072682,0.002886130614071806,36,3.168280298465561e-05,2.992735447405032e-05,1.9911772786226042e-05,4.583483362679548e-05,1.0629179836459736e-05,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,11.412572076069036,10.875880973943264,6.73551308866417,15.661046816539972,3.884995609891538,36,-0.030544422345537028,-0.025545968959108014,-0.12420059655344898,0.048485738573170324,0.07302514602510539,36,11.491213156784063,10.910010881627404,6.804278067192839,15.725727853767513,3.8629278562891405
30,bptt,2,ConvWeight_2,36,0.09830818768320769,0.0983614969494791,0.06810616466804509,0.1283667283455267,0.02490590231076567,36,0.00018102704728373953,0.0001811252122412411,0.0001254123199931832,0.0002363775627392014,4.586232399872946e-05,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,69.19490652501207,66.61855703056719,46.97263449338179,94.0391468041436,17.76505071902761,36,-0.0027873943278725936,-0.0007393625134374026,-0.03484988804254867,0.02160535427933053,0.020363141991900643,36,69.20538485984711,66.6201885354646,46.98073293885834,94.04531220545474,17.763928428914554
