architecture,scheme,epoch,checkpoint_role,parameter,layer_index,parameter_count,sigma,n_batches,n_comparisons,ep_l2_mean,ep_rms_mean,ep_l2_median,ep_rms_median,ep_l2_p10,ep_rms_p10,ep_l2_p90,ep_rms_p90,ep_l2_std,ep_rms_std,bptt_l2_mean,bptt_rms_mean,bptt_l2_median,bptt_rms_median,bptt_l2_p10,bptt_rms_p10,bptt_l2_p90,bptt_rms_p90,bptt_l2_std,bptt_rms_std,clean_ep_l2_mean,clean_ep_rms_mean,clean_ep_l2_median,clean_ep_rms_median,clean_ep_l2_p10,clean_ep_rms_p10,clean_ep_l2_p90,clean_ep_rms_p90,clean_ep_l2_std,clean_ep_rms_std,ep_over_clean_ep_mean,ep_over_clean_ep_median,ep_over_clean_ep_p10,ep_over_clean_ep_p90,ep_over_clean_ep_std,ep_zero_fraction_mean,ep_zero_fraction_median,ep_zero_fraction_p10,ep_zero_fraction_p90,ep_zero_fraction_std
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_0,0,1152,0,36,36,0.0015105628753498458,4.450538552368856e-05,0.0013156084426639964,3.876148546641605e-05,0.000767361253100841,2.2608597736975474e-05,0.0025152313785652583,7.41057151681951e-05,0.000718101263112733,2.1157261363568277e-05,0.0015106990999586246,4.4509399079714896e-05,0.0013156382090347936,3.876236246652613e-05,0.0007674876275250157,2.2612321079154742e-05,0.0025154673990528753,7.411266898849898e-05,0.0007181033209343375,2.1157321992718737e-05,0.0015105628753498458,4.450538552368856e-05,0.0013156084426639964,3.876148546641605e-05,0.000767361253100841,2.2608597736975474e-05,0.0025152313785652583,7.41057151681951e-05,0.000718101263112733,2.1157261363568277e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_0,0,1152,1e-05,36,288,0.01012351601499701,0.00029826695098562504,0.010063282063618357,0.00029649229117406227,0.009111560565764539,0.0002684519276351684,0.011213056617788956,0.00033036784884446935,0.0007981540785643203,2.3515840057688807e-05,0.0015106990999586246,4.4509399079714896e-05,0.0013156382090347936,3.876236246652613e-05,0.0007435466104776384,2.190695209987544e-05,0.002534444050064442,7.467177393076937e-05,0.000709291903539204,2.089771311805357e-05,0.001510562875349846,4.450538552368857e-05,0.0013156084426639964,3.876148546641605e-05,0.000743403022358455,2.190272159434326e-05,0.00253412578087148,7.466239683474494e-05,0.0007092898709679004,2.089765323284724e-05,8.118571381355707,7.482165650467969,3.9015610085972736,13.280462485365208,3.389539345683754,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_0,0,1152,3e-05,36,288,0.02998297256128071,0.0008833818007588241,0.02975464288420475,0.0008766545731335514,0.027182576585676115,0.0008008743430772605,0.033169929138247206,0.000977278409380494,0.0023027978209434873,6.784683145378104e-05,0.0015106990999586246,4.4509399079714896e-05,0.0013156382090347936,3.876236246652613e-05,0.0007435466104776384,2.190695209987544e-05,0.002534444050064442,7.467177393076937e-05,0.000709291903539204,2.089771311805357e-05,0.001510562875349846,4.450538552368857e-05,0.0013156084426639964,3.876148546641605e-05,0.000743403022358455,2.190272159434326e-05,0.00253412578087148,7.466239683474494e-05,0.0007092898709679004,2.089765323284724e-05,24.155601297248108,22.339610826563003,11.397670857049027,39.86461696392368,10.276124332244859,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_0,0,1152,0.0001,36,288,0.09977435424159968,0.0029396301030309964,0.09898083722122047,0.0029162508836102848,0.09049447005843222,0.0026662188932583507,0.1103147108481124,0.0032501783377222285,0.00764587280193689,0.00022526868776414017,0.0015106990999586246,4.4509399079714896e-05,0.0013156382090347936,3.876236246652613e-05,0.0007435466104776384,2.190695209987544e-05,0.002534444050064442,7.467177393076937e-05,0.000709291903539204,2.089771311805357e-05,0.001510562875349846,4.450538552368857e-05,0.0013156084426639964,3.876148546641605e-05,0.000743403022358455,2.190272159434326e-05,0.00253412578087148,7.466239683474494e-05,0.0007092898709679004,2.089765323284724e-05,80.44039278299243,74.5075392532726,37.96389034294457,132.94748429507456,34.31762784139324,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_0,0,1152,0.0003,36,288,0.29926098621849223,0.008817061362486242,0.29685368353926034,0.00874613552711735,0.27147572155830524,0.007998430151724528,0.33078066295276587,0.009745718744136773,0.022923122393732648,0.0006753789704407317,0.0015106990999586246,4.4509399079714896e-05,0.0013156382090347936,3.876236246652613e-05,0.0007435466104776384,2.190695209987544e-05,0.002534444050064442,7.467177393076937e-05,0.000709291903539204,2.089771311805357e-05,0.001510562875349846,4.450538552368857e-05,0.0013156084426639964,3.876148546641605e-05,0.000743403022358455,2.190272159434326e-05,0.00253412578087148,7.466239683474494e-05,0.0007092898709679004,2.089765323284724e-05,241.29912504411448,223.61236697915743,113.89437926005787,398.8164617766132,102.9892777019233,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_0,0,1152,0.0005,36,288,0.498754990067633,0.014694709817810521,0.49473075087295715,0.014576144533490855,0.45246055563430265,0.013330746962852025,0.5512506711229437,0.016241378653527868,0.03820121070136366,0.0011255139640195982,0.0015106990999586246,4.4509399079714896e-05,0.0013156382090347936,3.876236246652613e-05,0.0007435466104776384,2.190695209987544e-05,0.002534444050064442,7.467177393076937e-05,0.000709291903539204,2.089771311805357e-05,0.001510562875349846,4.450538552368857e-05,0.0013156084426639964,3.876148546641605e-05,0.000743403022358455,2.190272159434326e-05,0.00253412578087148,7.466239683474494e-05,0.0007092898709679004,2.089765323284724e-05,402.161869616874,372.7207256515004,189.8318728918286,664.6874023022474,171.65928574035394,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_1,1,73728,0,36,36,0.008602303161080465,3.16809734324087e-05,0.008126370404891937,2.9928185519441452e-05,0.005406609107027731,1.991171855627215e-05,0.012440355955919608,4.5815937795860466e-05,0.0028855550424076552,1.062706009361192e-05,0.008602799937579788,3.168280298465561e-05,0.008126144751964624,2.9927354474050322e-05,0.005406623832033096,1.9911772786226042e-05,0.012445486722072682,4.583483362679547e-05,0.002886130614071806,1.0629179836459734e-05,0.008602303161080465,3.16809734324087e-05,0.008126370404891937,2.9928185519441452e-05,0.005406609107027731,1.991171855627215e-05,0.012440355955919608,4.5815937795860466e-05,0.0028855550424076552,1.062706009361192e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_1,1,73728,1e-05,36,288,0.02630225304322692,9.686719524661595e-05,0.026013209895424737,9.58026933202283e-05,0.024260821106777443,8.934891209247944e-05,0.02855855454295553,0.00010517681030317574,0.0017742991274878443,6.5344736713543196e-06,0.00860279993757979,3.1682802984655614e-05,0.008126144751964624,2.9927354474050322e-05,0.0053818663342346815,1.9820594689463177e-05,0.012875754448476754,4.7419444184431086e-05,0.0028507166273151778,1.0498755512582324e-05,0.008602303161080464,3.1680973432408697e-05,0.008126370404891937,2.9928185519441452e-05,0.005381501347666206,1.981925049947562e-05,0.012875277640540198,4.7417688173362015e-05,0.002850148118147503,1.0496661779834253e-05,3.352223253803161,3.1865511550257297,2.203680140097304,4.617492152870646,0.9723259672887066,0.0,0.0,0.0,0.0,0.0
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_1,1,73728,3e-05,36,288,0.07475420869034913,0.00027530837441239696,0.07427533295125774,0.0002735447479412655,0.06992975533814129,0.0002575406469078952,0.07979273504709516,0.00029386450021470046,0.004175602541058725,1.537810871001252e-05,0.00860279993757979,3.1682802984655614e-05,0.008126144751964624,2.9927354474050322e-05,0.0053818663342346815,1.9820594689463177e-05,0.012875754448476754,4.7419444184431086e-05,0.0028507166273151778,1.0498755512582324e-05,0.008602303161080464,3.1680973432408697e-05,0.008126370404891937,2.9928185519441452e-05,0.005381501347666206,1.981925049947562e-05,0.012875277640540198,4.7417688173362015e-05,0.002850148118147503,1.0496661779834253e-05,9.617094384295248,9.141615030807051,6.095571283802364,13.540954824915648,3.040673886343588,4.709502797067901e-08,0.0,0.0,0.0,7.992291273176941e-07
conv3,baseline,30,maximum_validation_accuracy,ConvWeight_1,1,73728,0.0001,36,288,0.24758114881956628,0.0009118036938764121,0.24584106102917036,0.0009053952153532409,0.230098361239279,0.0008474172477719064,0.2645810664369938,0.0009744118033914937,0.013733958152426973,5.0580077823507194e-05,0.00860279993757979,3.1682802984655614e-05,0.008126144751964624,2.9927354474050322e-05,0.0053818663342346815,1.9820594689463177e-05,0.012875754448476754,4.7419444184431086e-05,0.0028507166273151778,1.0498755512582324e-05,0.008602303161080464,3.1680973432408697e-05,0.008126370404891937,2.9928185519441452e-05,0.005381501347666206,1.981925049947562e-05,0.012875277640540198,4.7417688173362015e-05,0.002850148118147503,1.0496661779834253e-05,31.88853029733461,30.256598821552608,20.138669800833057,45.00131759615004,10.184769715774353,0.0,0.0,0.0,0.0,0.0
