scheme,checkpoint_role,epoch,parameter,layer_index,estimator,element_count,n_batches,gradient_l2_n_defined,gradient_l2_mean,gradient_l2_median,gradient_l2_p10,gradient_l2_p90,gradient_l2_std,gradient_rms_n_defined,gradient_rms_mean,gradient_rms_median,gradient_rms_p10,gradient_rms_p90,gradient_rms_std,norm_relative_to_initial_n_defined,norm_relative_to_initial_mean,norm_relative_to_initial_median,norm_relative_to_initial_p10,norm_relative_to_initial_p90,norm_relative_to_initial_std,exact_zero_fraction_n_defined,exact_zero_fraction_mean,exact_zero_fraction_median,exact_zero_fraction_p10,exact_zero_fraction_p90,exact_zero_fraction_std,abs_le_1e_minus12_fraction_n_defined,abs_le_1e_minus12_fraction_mean,abs_le_1e_minus12_fraction_median,abs_le_1e_minus12_fraction_p10,abs_le_1e_minus12_fraction_p90,abs_le_1e_minus12_fraction_std
baseline,initialization,0,ConvWeight_0,0,eqprop,1152,36,36,0.001483834361405036,0.0012117125548182562,0.0007920998565143669,0.002571292752050006,0.0007315736836289983,36,4.3717889129462976e-05,3.570042351503606e-05,2.3337465829925005e-05,7.575743922459913e-05,2.1554196359653608e-05,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,initialization,0,ConvWeight_0,0,bptt,1152,36,36,0.001485342798524396,0.0011995501479382322,0.0008006429835020026,0.0025768215714323094,0.0007351228706475169,36,4.376233188430018e-05,3.5342085165852094e-05,2.3589170122653968e-05,7.592033362781506e-05,2.1658765285007516e-05,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,initialization,0,ConvWeight_1,1,eqprop,73728,36,36,0.0007620216980846043,0.0007370477106014828,0.0006616653046970971,0.0009348887939661698,0.00011402934572823151,36,2.8064099485776663e-06,2.714434553251711e-06,2.4368126240998984e-06,3.4430531555666237e-06,4.199527271807177e-07,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
baseline,initialization,0,ConvWeight_1,1,bptt,73728,36,36,0.0007622751483832573,0.0007368585064259206,0.0006619072658954753,0.000930330318270285,0.00011456237700958134,36,2.8073433674572026e-06,2.7137377430664567e-06,2.4377037303715516e-06,3.4262649832935294e-06,4.21915800272525e-07,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.1302806712962962e-06,0.0,0.0,0.0,3.8018928397717825e-06
baseline,initialization,0,ConvWeight_2,2,eqprop,294912,36,36,0.0014254597576180755,0.0014324457019879284,0.001274247555050358,0.0015436140548217257,0.00010006364730621244,36,2.624875679479879e-06,2.6377397644718456e-06,2.346429914287726e-06,2.8424478273419413e-06,1.8425959260542144e-07,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,5.651403356481482e-07,0.0,0.0,3.3908420138888887e-06,1.5164306488035683e-06
baseline,initialization,0,ConvWeight_2,2,bptt,294912,36,36,0.0014260671431390469,0.0014339965922142315,0.0012750163907438914,0.0015446009999948022,0.00010006042166229244,36,2.625994133700383e-06,2.6405956108153214e-06,2.347845666716152e-06,2.844265211780852e-06,1.8425365282758413e-07,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.8838011188271604e-07,0.0,0.0,0.0,7.877288280765896e-07
baseline,initialization,0,DenseWeight_0,3,eqprop,250880,36,36,0.04740505702679094,0.047202869140592685,0.0424755884506401,0.053311107281886816,0.004185307579119113,36,9.464368749032019e-05,9.4240021545886e-05,8.480205639280021e-05,0.00010643505342685977,8.355921655049475e-06,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,2.2144274376417234e-06,0.0,0.0,7.971938775510205e-06,3.3612645197367984e-06
baseline,initialization,0,DenseWeight_0,3,bptt,250880,36,36,0.04740498375965716,0.04720276307213657,0.04247554518997594,0.05331105093882808,0.004185312610456087,36,9.464354121327406e-05,9.423980978135195e-05,8.480197002334858e-05,0.00010643494093854784,8.355931700059738e-06,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,2.3251488095238097e-06,0.0,0.0,7.971938775510205e-06,4.194071116144382e-06
ours,initialization,0,ConvWeight_0,0,eqprop,1152,36,36,0.009343341250196749,0.007570674737950811,0.00506707610702902,0.01563774517427489,0.004589976049720822,36,0.00027528083153975495,0.0002230531435567795,0.0001492901615028564,0.0004607314856332078,0.00013523346626005982,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
ours,initialization,0,ConvWeight_0,0,bptt,1152,36,36,0.009423983428282013,0.007900567640631538,0.0051681143677829245,0.015485146628287719,0.004600633408189415,36,0.0002776567744969942,0.00023277270641306516,0.00015226702980862222,0.0004562355078554271,0.0001355474616951714,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
