architecture,scheme,layer_index,parameter,sigma,n_comparisons,n_batches,bptt_cosine_n_defined,bptt_cosine_mean,bptt_cosine_median,bptt_cosine_p10,bptt_cosine_p90,bptt_cosine_std,bptt_estimate_l2_n_defined,bptt_estimate_l2_mean,bptt_estimate_l2_median,bptt_estimate_l2_p10,bptt_estimate_l2_p90,bptt_estimate_l2_std,bptt_reference_l2_n_defined,bptt_reference_l2_mean,bptt_reference_l2_median,bptt_reference_l2_p10,bptt_reference_l2_p90,bptt_reference_l2_std,bptt_relative_l2_error_n_defined,bptt_relative_l2_error_mean,bptt_relative_l2_error_median,bptt_relative_l2_error_p10,bptt_relative_l2_error_p90,bptt_relative_l2_error_std,bptt_norm_ratio_n_defined,bptt_norm_ratio_mean,bptt_norm_ratio_median,bptt_norm_ratio_p10,bptt_norm_ratio_p90,bptt_norm_ratio_std,bptt_estimate_zero_fraction_n_defined,bptt_estimate_zero_fraction_mean,bptt_estimate_zero_fraction_median,bptt_estimate_zero_fraction_p10,bptt_estimate_zero_fraction_p90,bptt_estimate_zero_fraction_std,bptt_reference_zero_fraction_n_defined,bptt_reference_zero_fraction_mean,bptt_reference_zero_fraction_median,bptt_reference_zero_fraction_p10,bptt_reference_zero_fraction_p90,bptt_reference_zero_fraction_std,clean_ep_cosine_n_defined,clean_ep_cosine_mean,clean_ep_cosine_median,clean_ep_cosine_p10,clean_ep_cosine_p90,clean_ep_cosine_std,clean_ep_estimate_l2_n_defined,clean_ep_estimate_l2_mean,clean_ep_estimate_l2_median,clean_ep_estimate_l2_p10,clean_ep_estimate_l2_p90,clean_ep_estimate_l2_std,clean_ep_reference_l2_n_defined,clean_ep_reference_l2_mean,clean_ep_reference_l2_median,clean_ep_reference_l2_p10,clean_ep_reference_l2_p90,clean_ep_reference_l2_std,clean_ep_relative_l2_error_n_defined,clean_ep_relative_l2_error_mean,clean_ep_relative_l2_error_median,clean_ep_relative_l2_error_p10,clean_ep_relative_l2_error_p90,clean_ep_relative_l2_error_std,clean_ep_norm_ratio_n_defined,clean_ep_norm_ratio_mean,clean_ep_norm_ratio_median,clean_ep_norm_ratio_p10,clean_ep_norm_ratio_p90,clean_ep_norm_ratio_std,clean_ep_estimate_zero_fraction_n_defined,clean_ep_estimate_zero_fraction_mean,clean_ep_estimate_zero_fraction_median,clean_ep_estimate_zero_fraction_p10,clean_ep_estimate_zero_fraction_p90,clean_ep_estimate_zero_fraction_std,clean_ep_reference_zero_fraction_n_defined,clean_ep_reference_zero_fraction_mean,clean_ep_reference_zero_fraction_median,clean_ep_reference_zero_fraction_p10,clean_ep_reference_zero_fraction_p90,clean_ep_reference_zero_fraction_std
conv1,baseline,0,ConvWeight_0,0,36,36,36,0.9986693243519511,0.9988448001146837,0.9975458646283497,0.9995217151457008,0.0008747454719031931,36,0.1146561854590412,0.10976230782879148,0.084432095525403,0.1470123015791948,0.02779623817600107,36,0.11528420942252844,0.11034516995045252,0.08455799560392305,0.14760622702084675,0.027927904743943778,36,0.04955280702329909,0.04808530702760405,0.03132938744607838,0.07019741932469276,0.015843454397004006,36,0.994607800878111,0.9953546350750752,0.9877445480062848,1.0009476315774468,0.005485429173188852,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,0.9999999999999999,1.0000000000000002,1.18687833744435e-16,36,0.1146561854590412,0.10976230782879148,0.084432095525403,0.1470123015791948,0.02779623817600107,36,0.1146561854590412,0.10976230782879148,0.084432095525403,0.1470123015791948,0.02779623817600107,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
conv1,baseline,0,ConvWeight_0,1e-05,288,36,288,0.9986681773079117,0.9988435355793477,0.9974683310275028,0.9995221795714482,0.0008653287794323152,288,0.11465693938154292,0.10975410601897814,0.08401684309855131,0.14730726877690353,0.027454674758700785,288,0.11528420942252844,0.11034516995045252,0.08432242585635027,0.1486849622144007,0.02758521808800375,288,0.04957180911020028,0.04811209662826135,0.030928605134386496,0.07145890868668098,0.01566052628629053,288,0.9946149972662034,0.995326334596536,0.9858989382038227,1.0009667162025675,0.005420606025854205,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9999995447066126,0.9999995766522998,0.9999992595917648,0.9999997662202528,1.89752518446679e-07,288,0.11465693938154292,0.10975410601897814,0.08401684309855131,0.14730726877690353,0.027454674758700785,288,0.1146561854590412,0.10976230782879148,0.08401267657757137,0.14730930010074633,0.027455167121957464,288,0.0009366305458676282,0.0009236319185546666,0.0006871566005810299,0.0012183207147010097,0.00020163918735040305,288,1.0000072254299062,1.000009011331231,0.9998942578432537,1.0001210626782602,8.469531857333378e-05,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
conv1,baseline,0,ConvWeight_0,3e-05,288,36,288,0.9986631552439454,0.9988392758797088,0.9974685214016853,0.999519698580591,0.0008682134939173984,288,0.11465873352476612,0.10973795066992832,0.08402546066018315,0.14730341162417426,0.027453645404269356,288,0.11528420942252844,0.11034516995045252,0.08432242585635027,0.1486849622144007,0.02758521808800375,288,0.04967069449418798,0.04819986551323393,0.0310558817710392,0.07145052443983384,0.015664349582419294,288,0.994632107515545,0.9954123639740184,0.9860563110265983,1.0010557137860512,0.005429598771085152,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9999959024952106,0.9999961895108651,0.9999933375203228,0.9999978962434113,1.7077723639850015e-06,288,0.11465873352476612,0.10973795066992832,0.08402546066018315,0.14730341162417426,0.027453645404269356,288,0.1146561854590412,0.10976230782879148,0.08401267657757137,0.14730930010074633,0.027455167121957464,288,0.0028098916318303425,0.0027708957541821284,0.0020614697881628907,0.0036549620587711428,0.0006049175641456347,288,1.000024408007922,1.000030561785052,0.9996845357223549,1.000366170510356,0.00025408854139709087,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
conv1,baseline,0,ConvWeight_0,0.0001,288,36,288,0.998616941512882,0.9988031112203133,0.9974441386715197,0.9994802475347497,0.0008811616500807697,288,0.11466801884336612,0.10968401573632003,0.08405860799583396,0.14729206956666738,0.027449574151734157,288,0.11528420942252844,0.11034516995045252,0.08432242585635027,0.1486849622144007,0.02758521808800375,288,0.05063880753914378,0.048965588564266915,0.0323398987231502,0.07176594852243923,0.015499338251962968,288,0.9947205238972001,0.9958434925696483,0.9866269519867935,1.0010708920435534,0.005502827743821695,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9999544796723493,0.9999577128844674,0.9999260485747617,0.999976635577261,1.8973633587513515e-05,288,0.11466801884336612,0.10968401573632003,0.08405860799583396,0.14729206956666738,0.027449574151734157,288,0.1146561854590412,0.10976230782879148,0.08401267657757137,0.14730930010074633,0.027455167121957464,288,0.00936630537189671,0.00923631916378781,0.006871565803640654,0.01218320586837795,0.0020163919048915677,288,1.0001132271035098,1.0001539343645338,0.9989690306060892,1.0012487912699946,0.0008470980812166876,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
conv1,baseline,0,ConvWeight_0,0.0003,288,36,288,0.9982397919359229,0.9984976050073788,0.9970072659544755,0.9991351996817744,0.0009557919506299103,288,0.11472029925820368,0.10955232194644278,0.0841788621993478,0.1472781657239132,0.02743393089172863,288,0.11528420942252844,0.11034516995045252,0.08432242585635027,0.1486849622144007,0.02758521808800375,288,0.057847428711569865,0.054804410067507345,0.0416906016650796,0.07743119626558627,0.01453881545215221,288,0.9952175607840227,0.9963592769306876,0.9869548818439939,1.0019738214738092,0.006043366114121382,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9995906814165403,0.9996208675179994,0.9993376326719119,0.9997900321096246,0.00017059758709364945,288,0.11472029925820368,0.10955232194644278,0.0841788621993478,0.1472781657239132,0.02743393089172863,288,0.1146561854590412,0.10976230782879148,0.08401267657757137,0.14730930010074633,0.027455167121957464,288,0.028098915539068316,0.027708957348196624,0.020614696069296674,0.036549609082879984,0.006049175924208902,288,1.0006126960711892,1.00069915529093,0.9972245710266447,1.0039889941985551,0.002545185779727014,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
conv1,baseline,0,ConvWeight_0,0.0005,288,36,288,0.9975009906132755,0.9976942143802943,0.9960323107839035,0.9986090834449951,0.001136070091633716,288,0.11481067632978924,0.10945391672780233,0.08433683099432741,0.1474035605510879,0.027412367069241078,288,0.11528420942252844,0.11034516995045252,0.08432242585635027,0.1486849622144007,0.02758521808800375,288,0.06943588895197032,0.06821745132951396,0.053086623718288435,0.08901329707864056,0.014706333787076028,288,0.9960761757243007,0.9967506148982563,0.9872088515202339,1.003766165581504,0.006979855559787323,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9988647178673067,0.998947751053413,0.9981703277432243,0.9994177776682638,0.00047291693387200765,288,0.11481067632978924,0.10945391672780233,0.08433683099432741,0.1474035605510879,0.027412367069241078,288,0.1146561854590412,0.10976230782879148,0.08401267657757137,0.14730930010074633,0.027455167121957464,288,0.0468315249436401,0.046181595349083324,0.03435782455078724,0.06091600094172261,0.010081960224039928,288,1.00147563930046,1.001629761526571,0.9957756444317383,1.0071827720205604,0.004255136999279576,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
conv1,baseline,1,DenseWeight_0,0,36,36,36,0.9999999128863721,0.9999999167068061,0.9999998305754225,0.9999999663091654,5.634916064418633e-08,36,0.68715710122382,0.6964159166810476,0.5471405465231325,0.8290536168311431,0.11047356174868318,36,0.6871980809414237,0.6964452064522975,0.5471770001478014,0.8291132512774504,0.1104899610763831,36,0.00040226618835180694,0.00041275402349052874,0.0002608794595555822,0.0005926235577082244,0.0001316214059218609,36,0.9999425048933472,0.999946451715775,0.9998979399697214,0.99997613943745,3.424022728323574e-05,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,0.9999999999999998,1.0000000000000002,1.4043333874306804e-16,36,0.68715710122382,0.6964159166810476,0.5471405465231325,0.8290536168311431,0.11047356174868318,36,0.68715710122382,0.6964159166810476,0.5471405465231325,0.8290536168311431,0.11047356174868318,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
conv1,baseline,1,DenseWeight_0,1e-05,288,36,288,0.9999999118936197,0.999999916062824,0.9999998020827411,0.9999999659747638,5.557023165606362e-08,288,0.68715717615918,0.6964154267576229,0.5427501269984095,0.834603346121207,0.1091180583376977,288,0.6871980809414237,0.6964452064522975,0.5427895266796467,0.8346552855019823,0.10913420468780476,288,0.00040510899167317896,0.0004136037458721487,0.0002620253904306748,0.0006458472407502875,0.00012873852284462563,288,0.9999426046012994,0.9999465242430332,0.9998869674494649,0.9999786027115404,3.373559312387198e-05,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9999999989712384,0.9999999990256406,0.9999999985067775,0.9999999993378031,3.33878177026516e-10,288,0.68715717615918,0.6964154267576229,0.5427501269984095,0.834603346121207,0.1091180583376977,288,0.6871571012238201,0.6964159166810476,0.5427485823693818,0.8346038250197498,0.10911800658647038,288,4.490414346421505e-05,4.436835813474837e-05,3.650619775309364e-05,5.468300340944932e-05,7.125485599520951e-06,288,1.0000000997212526,1.000000021315579,0.9999959878102589,1.0000041762857366,3.0786072132292536e-06,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
conv1,baseline,1,DenseWeight_0,3e-05,288,36,288,0.9999999037355486,0.9999999106119354,0.9999997978016104,0.9999999604795855,5.506631415449587e-08,288,0.6871573300690464,0.6964144509001143,0.5427532210583322,0.8346023913969589,0.10911816138461798,288,0.6871980809414237,0.6964452064522975,0.5427895266796467,0.8346552855019823,0.10913420468780476,288,0.00042716513907115934,0.0004291693814519154,0.0002827013774682082,0.0006506530662651246,0.00012061074573422884,288,0.999942810189869,0.9999495533780315,0.999888906684802,0.9999834556774574,3.440321063924026e-05,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9999999907411473,0.9999999912307511,0.9999999865609202,0.9999999940402334,3.0049088502347826e-09,288,0.6871573300690464,0.6964144509001143,0.5427532210583322,0.8346023913969589,0.10911816138461798,288,0.6871571012238201,0.6964159166810476,0.5427485823693818,0.8346038250197498,0.10911800658647038,288,0.00013471243095297713,0.00013310507657359762,0.00010951858761127819,0.00016404901646799853,2.1376458087359888e-05,288,1.000000305336754,1.0000000709370462,0.999987968618828,1.0000125331615877,9.235752171708136e-06,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
conv1,baseline,1,DenseWeight_0,0.0001,288,36,288,0.999999810370447,0.9999998228566853,0.9999997209981402,0.9999998823547702,5.8648686132651015e-08,288,0.6871579111645894,0.696411077287256,0.5427641006862226,0.8345990821270176,0.1091185172656642,288,0.6871980809414237,0.6964452064522975,0.5427895266796467,0.8346552855019823,0.10913420468780476,288,0.0006129308088737062,0.0005992710680266481,0.0004920925147432361,0.0007520798492043081,9.326406459556935e-05,288,0.9999435945628012,0.9999453865267967,0.9998875465823978,0.9999999470001484,4.4048530883962194e-05,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9999998971239626,0.9999999025634339,0.9999998506739156,0.9999999337806365,3.3388070516600197e-08,288,0.6871579111645894,0.696411077287256,0.5427641006862226,0.8345990821270176,0.1091185172656642,288,0.6871571012238201,0.6964159166810476,0.5427485823693818,0.8346038250197498,0.10911800658647038,288,0.0004490414432946688,0.0004436836141735711,0.0003650618930161996,0.0005468301279942154,7.125487536860122e-05,288,1.0000010898074272,1.0000003238574644,0.9999599559255841,1.0000418274211471,3.07850394048984e-05,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0
