architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms
conv1,baseline,0,H1,centered_halfspan,7225344,181.6953546626842,0.005014673335928099,5.571888743568098e-07,0.0019031650998308548,36,0.004972892514102475,0.0050138341372620646,0.0042496838519318,0.005833711810576897,0.0006551421554150352,0.02237599231356537
conv1,baseline,0,H1,negative_minus_free,7225344,183.54063078897505,0.005040073218349459,3.888753440955028e-06,0.001903233500636762,36,0.00499733933515566,0.005037556190997404,0.004257951366931739,0.005881083160719131,0.0006642235889186824,0.022489367400931347
conv1,baseline,0,H1,negative_minus_matched_zero,7225344,183.54069188797797,0.005040074057246605,4.021324228996879e-06,0.0019032326428495372,36,0.004997340163498275,0.005037558793927066,0.00425795009413808,0.005881082810635754,0.0006642237261091749,0.022489371110038073
conv1,baseline,0,H1,positive_minus_free,7225344,183.41090799988342,0.005038291792845839,5.003131189668649e-06,0.0019030968101133214,36,0.004995772455546732,0.0050407882234969085,0.004264706411752693,0.0058538098897390235,0.0006624436028027222,0.02248134107154208
conv1,baseline,0,H1,positive_minus_matched_zero,7225344,183.4109715719107,0.005038292666006544,5.1357019777104985e-06,0.0019030976795706605,36,0.004995773328317128,0.005040787807159503,0.00426470808137973,0.0058538130036048155,0.0006624436634759241,0.02248134499653814
conv1,baseline,0,H1,zero_nudge_drift,7225344,1.3107618102276704e-06,4.25924503050503e-07,-1.3257078804185044e-07,1.6190816493763112e-07,36,4.0581384622826223e-07,4.017153217968897e-07,2.5291613487553436e-07,5.539331171809646e-07,1.3116673819409302e-07,0.8813723881658806
conv1,baseline,1,Output,centered_halfspan,11520,578.5929878235755,0.22410953961974547,-0.0001894947602878987,0.14576402200568903,36,0.22213971856237677,0.22147683379339056,0.18698443150600438,0.25536342709846754,0.030069026627641243,1.0
conv1,baseline,1,Output,negative_minus_free,11520,578.5910233473553,0.22410915916384272,0.00020032686068629135,0.14576401245899068,36,0.22213935863946496,0.221474049176529,0.18698338690028904,0.25536284069899384,0.030068844966834245,1.0
conv1,baseline,1,Output,negative_minus_matched_zero,11520,578.5910251043076,0.2241091595041082,0.0002005802327682979,0.14576401229279215,36,0.2221393590009081,0.22147404798650128,0.18698338615466584,0.2553628405970627,0.03006884482883803,1.0
conv1,baseline,1,Output,positive_minus_free,11520,578.5950079105276,0.22410993084498598,-0.00017866265988950565,0.14576403236869373,36,0.22214008833099064,0.22147962986467779,0.18698548053718633,0.25536402898252425,0.030069216031961367,1.0
conv1,baseline,1,Output,positive_minus_matched_zero,11520,578.5950064245295,0.2241099305571967,-0.00017840928780749898,0.1457640326254096,36,0.2221400880226059,0.22147963113605199,0.18698548131575432,0.25536402919040907,0.030069216169068214,1.0
conv1,baseline,1,Output,zero_nudge_drift,11520,2.6902884578846775e-09,4.832514709665955e-07,-2.5337208200652727e-07,3.0683793220262566e-07,36,4.5772603771773573e-07,4.4872842838332443e-07,2.829833788603973e-07,6.410575835823691e-07,1.5717859806307778e-07,1.0
conv1,legacy,0,H1,centered_halfspan,7225344,2.477509850340516,0.0005855694765366062,4.968663422649299e-07,0.00031085064907944107,36,0.0005815287922493465,0.0005601827345963022,0.0005040943328324281,0.0006706501897376449,6.964635625980386e-05,0.003636416036752688
