table,architecture,scheme,algorithm,seed,T,K,G_min,G_max,initialization,input_gain,epochs,optimizer,batch_size,split_seed,voltage_amp,current_amp,injected_beta,sigma,noise_seed,best,final,path,sha256
table1,conv1,baseline,BPTT,0,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,1.0,1.0,,0,,96.16,96.0,paper_ready_results/bundles/table1_wide_bptt/conv1/baseline/seed0/result.json,1b5c333a290e72ea914b4ba0f4e6214040b50334db6b73d178752c88b1e4ba0e
table1,conv1,baseline,BPTT,1,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,1.0,1.0,,0,,96.26,96.26,paper_ready_results/bundles/table1_wide_bptt/conv1/baseline/seed1/result.json,f6772e1d2987a10654adaa38d3fa47c56ae8b475642e1ccecab2861c965215dc
table1,conv1,baseline,BPTT,2,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,1.0,1.0,,0,,96.38,96.28,paper_ready_results/bundles/table1_wide_bptt/conv1/baseline/seed2/result.json,5ebf19fd6228d55c36c9df4028d9e7cdfeb80f8358988203fd745e9332d72113
table1,conv1,ours,BPTT,0,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,1.0,,0,,96.44,96.32,paper_ready_results/bundles/table1_wide_bptt/conv1/ours/seed0/result.json,2e94e68a27e90826425e2ab161c6f70d555f8a7dbb2e98c955703fdc279fc5a4
table1,conv1,ours,BPTT,1,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,1.0,,0,,96.46000000000001,96.36,paper_ready_results/bundles/table1_wide_bptt/conv1/ours/seed1/result.json,a76de2cb1bcd41208dbf3d7a9d76c4c62f75cb604137a9ecd81a470d35b2e991
table1,conv1,ours,BPTT,2,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,1.0,,0,,96.58,96.3,paper_ready_results/bundles/table1_wide_bptt/conv1/ours/seed2/result.json,1adcf26833a9cef5aa78024f9944b559f67fc21b048cddfddca996dc56284d9e
table1,conv1,legacy,BPTT,0,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,0.25,,0,,96.5,96.44,paper_ready_results/bundles/table1_wide_bptt/conv1/legacy/seed0/result.json,6a7f13f75fe6347c354bd0b534ece540b27f8ae52063323494b4a3dffe8482ea
table1,conv1,legacy,BPTT,1,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,0.25,,0,,96.52,96.52,paper_ready_results/bundles/table1_wide_bptt/conv1/legacy/seed1/result.json,9b21e24ad2756e0a367cca544085a30e1cbcb36439bf03d43d566997fbeae7dd
table1,conv1,legacy,BPTT,2,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,0.25,,0,,96.6,96.52,paper_ready_results/bundles/table1_wide_bptt/conv1/legacy/seed2/result.json,59eb7e9e7fe4edec5472741a0913ffa2911391b466a49dbffb4ba993618f6ad7
table1,conv2,baseline,BPTT,0,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,1.0,1.0,,0,,97.36,97.36,paper_ready_results/bundles/table1_wide_bptt/conv2/baseline/seed0/result.json,3f5bc89c645953f6403188b0bce5a76ee81c6042ae572453217b541640af6e1b
table1,conv2,baseline,BPTT,1,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,1.0,1.0,,0,,97.32,97.24000000000001,paper_ready_results/bundles/table1_wide_bptt/conv2/baseline/seed1/result.json,cf86dc9e35a3ee178f822d71bb5e17a6229da6de28a749565500f34f1abf66e0
table1,conv2,baseline,BPTT,2,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,1.0,1.0,,0,,97.34,97.28,paper_ready_results/bundles/table1_wide_bptt/conv2/baseline/seed2/result.json,2e3269fbffbab69a4face305ee7667cb1d3ac5462f989bb883aee5bf3f074fb5
table1,conv2,ours,BPTT,0,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,4.0,1.0,,0,,98.1,98.08,paper_ready_results/bundles/table1_wide_bptt/conv2/ours/seed0/result.json,ee2a9b81fa73a4a314d2c178f4705606de1741855e4ea9c17a1adb20d5257e7c
table1,conv2,ours,BPTT,1,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,4.0,1.0,,0,,98.22,97.92,paper_ready_results/bundles/table1_wide_bptt/conv2/ours/seed1/result.json,0e052920d67d383ccd52a25a6a49f5e3abd9310c197dc388a9d12bd7a3562be2
table1,conv2,ours,BPTT,2,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,4.0,1.0,,0,,98.24000000000001,98.11999999999999,paper_ready_results/bundles/table1_wide_bptt/conv2/ours/seed2/result.json,9ce334c8f02a1c39acb8562409e2e113aacd83ac222219b12fc05d977f766ed8
table1,conv2,legacy,BPTT,0,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,4.0,0.25,,0,,98.3,98.08,paper_ready_results/bundles/table1_wide_bptt/conv2/legacy/seed0/result.json,891cbd72faf46eb1ee7f16d2c49cae8d6d8370f8a56b79a5f43c7a3ba77c3b34
table1,conv2,legacy,BPTT,1,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,4.0,0.25,,0,,98.26,98.16,paper_ready_results/bundles/table1_wide_bptt/conv2/legacy/seed1/result.json,b750b851b3284b607a9b75311440d27b55c39a53d92fea051a9b97595efec548
table1,conv2,legacy,BPTT,2,6,6,0.0,100.0,kaiming_uniform,100.0,30,Adam,16,0,4.0,0.25,,0,,98.34,98.28,paper_ready_results/bundles/table1_wide_bptt/conv2/legacy/seed2/result.json,70ea62958f99a7bee18fb4c37064e1f9a1528897e48653021644f258b716acaf
table1,conv3,baseline,BPTT,0,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,1.0,1.0,,0,,97.8,97.7,paper_ready_results/bundles/table1_wide_bptt/conv3/baseline/seed0/result.json,46b75bcda1cf9da284b39902b1a51a7d7cf5adbb3a8ca65885044543ff75baf9
table1,conv3,baseline,BPTT,1,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,1.0,1.0,,0,,97.74000000000001,97.58,paper_ready_results/bundles/table1_wide_bptt/conv3/baseline/seed1/result.json,8f0c86443d27966514a76c69037955729a72106c668a986f8397762dcb4bc17d
table1,conv3,baseline,BPTT,2,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,1.0,1.0,,0,,97.76,97.74000000000001,paper_ready_results/bundles/table1_wide_bptt/conv3/baseline/seed2/result.json,d29bcc9ebae1f247db7fe9b4bb7e045a8449e7d8e6532a9837b267d675937c8a
table1,conv3,ours,BPTT,0,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,4.0,1.0,,0,,98.66,98.66,paper_ready_results/bundles/table1_wide_bptt/conv3/ours/seed0/result.json,825eb63dff0e97fd11a2175968ae2d1c417a0c58065622811bb6bbdbb20df19c
table1,conv3,ours,BPTT,1,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,4.0,1.0,,0,,98.46000000000001,98.42,paper_ready_results/bundles/table1_wide_bptt/conv3/ours/seed1/result.json,ac9bfa1b34f7d3693aad652d9d400b392d5cbc113a50b3a20fd8079e8ca37197
table1,conv3,ours,BPTT,2,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,4.0,1.0,,0,,98.56,98.56,paper_ready_results/bundles/table1_wide_bptt/conv3/ours/seed2/result.json,768858d14ff8c21dcaae15e08b01925e0af7169f7f01b82afde1c51ab83872d3
table1,conv3,legacy,BPTT,0,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,4.0,0.25,,0,,98.83999999999999,98.78,paper_ready_results/bundles/table1_wide_bptt/conv3/legacy/seed0/result.json,9b82c5fc686ef66fa8e2c499c456df29cc9228cbf74ae34f06c408b49c47beda
table1,conv3,legacy,BPTT,1,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,4.0,0.25,,0,,98.96000000000001,98.82,paper_ready_results/bundles/table1_wide_bptt/conv3/legacy/seed1/result.json,efb9b76177c934e50140e54b06e761b202b84394e7911a10ee0e17a41fad4a05
table1,conv3,legacy,BPTT,2,8,8,0.0,100.0,kaiming_uniform,360.0,30,Adam,16,0,4.0,0.25,,0,,98.88,98.86,paper_ready_results/bundles/table1_wide_bptt/conv3/legacy/seed2/result.json,889a2c8b95aad22ae0821019e05a84743fb589bc449fa6fdbacfe6925ccb17bc
table1,conv1,baseline,EqProp,0,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,1.0,1.0,100.0,0.0,2026081601,96.17999999999999,96.04,paper_ready_results/bundles/table2_wide_ep/conv1/baseline/seed0/result.json,493922a5d735cb15e012fce1f24786e5edfae86b2ea7c36d944b12fb38f665fb
table1,conv1,baseline,EqProp,1,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,1.0,1.0,100.0,0.0,2026081601,96.3,96.3,paper_ready_results/bundles/table2_wide_ep/conv1/baseline/seed1/result.json,bb77d744ed2f2d7d6cdb26f29fadf6b4d35247e92bc0707b75f844aec569082b
table1,conv1,baseline,EqProp,2,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,1.0,1.0,100.0,0.0,2026081601,96.36,96.26,paper_ready_results/bundles/table2_wide_ep/conv1/baseline/seed2/result.json,04ff63f21f11c3f2ebc299aef1b06416d963cb599f25de7c5f85ecf547ae811a
table1,conv1,ours,EqProp,0,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,1.0,30.0,0.0,2026081601,96.41999999999999,96.34,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed0/result.json,7854fb167d4ee1539285759338066bf8c29859e7dff66da471dc0b3049d68779
table1,conv1,ours,EqProp,1,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,1.0,30.0,0.0,2026081601,96.39999999999999,96.39999999999999,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed1/result.json,656445b8143dee4edea74669db914fb3c7b5d1c51af96166aada05836c3909c4
table1,conv1,ours,EqProp,2,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,1.0,30.0,0.0,2026081601,96.54,96.32,paper_ready_results/bundles/table2_wide_ep/conv1/ours/seed2/result.json,f9d52d70563e3535ee8c51f172b0b9d1f356568302ad36d35f90bef3cfa3e860
table1,conv1,legacy,EqProp,0,4,4,0.0,100.0,kaiming_uniform,40.0,10,Adam,16,0,4.0,0.25,3.0,0.0,2026081601,96.48,96.44,paper_ready_results/bundles/table2_wide_ep/conv1/legacy/seed0/result.json,1dd241c54dea20834115af2662326968e2d4eaa89cbfc9491ca2b5888f13340a
